Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,Earning_Date,SMA50,SMA200,SMA10W,SMA30W,%_From_52WKH
3,MUU,902.1,4272887.0,ETF,ETF,99.0,99.0,99.0,99.0,182.044,132.669,3112806.0,3415570.0,1235.0,16.73,0,,592.29,234.77,646.75,320.39,-26.96
4,SNDK,1914.46,9221381.0,Technology,Computer Hardware,99.0,97.0,99.0,99.0,191.9783,153.4636,14353533.0,11506970.0,2354.39,40.1,283511914496,,1469.77,643.1,1595.91,883.22,-18.69
5,INTW,362.95,531361.0,ETF,ETF,99.0,90.0,99.0,99.0,54.1007,42.5621,841732.0,785570.0,421.0,13.74,0,,264.71,105.5,296.17,139.78,-13.79
20,SOXL,229.57,53551166.0,ETF,ETF,99.0,95.0,99.0,99.0,46.835,33.5664,70605453.0,64160040.0,302.0,22.57,0,,179.02,81.07,194.08,102.56,-23.98
21,AMDL,66.74,3289185.0,ETF,ETF,99.0,93.0,99.0,99.0,9.8562,7.8486,9936093.0,4757740.0,78.71,7.5,0,,50.49,24.33,56.33,28.93,-15.21
28,BE,326.19,8193652.0,Industrials,Electrical Equipment & Parts,99.0,86.0,98.0,99.0,28.2956,24.8441,10574777.0,11944200.0,349.99,21.5,92782747648,,271.13,158.22,282.51,185.53,-6.8
30,MXL,84.99,2195827.0,Technology,Semiconductors,99.0,8.0,99.0,99.0,9.3936,8.55,4682783.0,3255890.0,106.28,12.77,7610510848,,76.09,31.86,86.09,41.01,-20.03
35,BEX,74.49,768117.0,ETF,ETF,99.0,84.0,99.0,99.0,11.5669,10.0126,882714.0,833730.0,86.12,7.2,0,,57.62,,61.01,34.07,-13.5
37,WDC,643.83,11521792.0,Technology,Computer Hardware,99.0,97.0,98.0,99.0,58.2586,44.4943,8015943.0,10731110.0,799.87,62.13,221916708864,,500.3,275.0,527.77,343.61,-19.51
38,MU,1048.51,57301842.0,Technology,Semiconductors,99.0,98.0,99.0,99.0,102.9907,76.2857,50893654.0,54289640.0,1213.56,103.38,1182440357888,2026-06-24,773.66,415.44,826.05,519.76,-13.6
49,AEHR,95.2,1456358.0,Technology,Semiconductor Equipment & Materials,99.0,53.0,98.0,99.0,14.1214,12.4107,3001925.0,1631130.0,126.62,11.61,2994349568,,96.47,46.4,99.05,55.9,-24.81
51,INTC,131.65,101683749.0,Technology,Semiconductors,99.0,88.0,99.0,99.0,10.6979,8.4593,134774574.0,148808690.0,141.45,18.97,661672820736,,105.74,57.17,113.97,68.67,-6.93
54,VICR,322.28,643448.0,Technology,Electronic Components,99.0,95.0,97.0,99.0,29.3186,24.7386,843343.0,740400.0,369.4,41.76,14689976320,,283.16,159.61,290.33,197.76,-12.76
56,STX,993.25,4068040.0,Technology,Computer Hardware,99.0,95.0,98.0,99.0,76.6607,65.8178,4107224.0,4921060.0,1145.0,136.28,224724910080,,792.96,434.73,842.58,530.96,-13.25
59,ORKA,82.09,1298710.0,Healthcare,Biotechnology,99.0,98.0,98.0,98.0,5.4036,4.7829,1669440.0,1565740.0,91.0,10.83,4951020032,,65.98,39.72,66.17,47.15,-9.79
60,LITE,842.53,4075390.0,Technology,Communication Equipment,99.0,11.0,50.0,98.0,78.4251,75.3094,6055075.0,5959430.0,1085.68,88.37,65548836864,,903.61,523.15,898.57,662.94,-22.4
62,VPG,133.39,488997.0,Technology,Scientific & Technical Instruments,99.0,94.0,99.0,99.0,12.6464,12.0036,469909.0,591030.0,148.39,25.58,1774220416,,96.4,53.81,105.62,64.63,-10.11
66,NEBX,53.1,961512.0,ETF,ETF,99.0,98.0,99.0,99.0,11.3596,10.6882,2359820.0,2077700.0,70.77,6.62,0,,37.37,,40.2,21.71,-24.97
67,ICHR,89.38,857082.0,Technology,Semiconductor Equipment & Materials,99.0,97.0,96.0,99.0,8.1649,6.7256,990554.0,1238540.0,101.65,13.12,3116417024,,72.95,39.59,76.12,49.69,-12.07
71,SYRE,86.24,4033208.0,Healthcare,Biotechnology,99.0,93.0,98.0,98.0,6.4857,5.355,1271711.0,1667510.0,102.06,14.0,7489189888,,75.08,42.05,76.56,51.86,-15.5
74,HUT,116.1,3845443.0,Financial Services,Capital Markets,99.0,88.0,98.0,98.0,11.1471,10.4879,4757388.0,3792640.0,140.8,17.03,13072176128,,101.56,61.18,105.72,70.43,-17.54
75,NBIL,51.08,1165330.0,ETF,ETF,99.0,98.0,99.0,99.0,11.0646,10.4192,1617093.0,1594500.0,68.49,6.37,0,,36.19,,38.9,20.94,-25.42
78,VSH,55.59,6321351.0,Technology,Semiconductors,99.0,94.0,99.0,99.0,6.9279,6.1721,5671491.0,9017130.0,69.47,11.77,7566123008,,42.96,23.24,46.56,27.54,-19.98
79,PRAX,308.94,559134.0,Healthcare,Biotechnology,99.0,12.0,49.0,73.0,17.8801,17.2608,449330.0,512040.0,366.52,37.19,8612868096,,315.31,249.2,314.7,306.48,-15.71
80,SIMO,321.66,772243.0,Technology,Semiconductors,99.0,93.0,99.0,99.0,26.4382,22.6682,1000919.0,901740.0,355.0,70.12,10906795008,,242.05,139.38,263.71,164.39,-9.39
81,KOD,36.0,620504.0,Healthcare,Biotechnology,99.0,41.0,96.0,91.0,2.6475,2.6289,1095054.0,684280.0,47.84,3.55,2252823808,,38.64,26.78,37.7,31.46,-24.75
84,MRVL,276.7,34013774.0,Technology,Semiconductors,99.0,98.0,99.0,99.0,34.0104,28.1382,41970769.0,75936230.0,329.88,61.44,242265571328,,207.62,116.43,220.81,134.32,-16.12
86,UCTT,108.42,1252527.0,Technology,Semiconductor Equipment & Materials,99.0,97.0,96.0,99.0,9.9547,8.244,1108440.0,1317440.0,125.0,21.28,4860290048,,87.92,51.12,92.09,62.71,-13.26
87,NBIG,35.7,899312.0,ETF,ETF,99.0,98.0,99.0,99.0,7.7781,7.2996,1113330.0,1098950.0,47.81,4.51,0,,25.3,,27.14,14.7,-25.33
92,TTMI,209.74,1695755.0,Technology,Electronic Components,99.0,89.0,98.0,99.0,15.839,13.5947,2257661.0,2064330.0,223.83,38.05,21781512192,,167.53,100.45,178.42,120.85,-6.29
95,AIP,41.03,872040.0,Technology,Semiconductors,99.0,91.0,98.0,98.0,3.1565,2.9285,911132.0,1016630.0,45.3,8.42,1894436480,,33.03,19.28,35.39,22.76,-9.43
98,PENG,64.72,2654327.0,Technology,Information Technology Services,99.0,95.0,99.0,99.0,7.7911,7.3648,2766451.0,2960060.0,77.4,16.04,3401693440,,47.5,27.64,51.79,30.59,-16.38
99,TSEM,275.32,1248773.0,Technology,Semiconductors,99.0,26.0,94.0,98.0,23.3879,18.9514,2569846.0,2141320.0,319.94,42.08,32760059904,,244.66,146.68,250.27,177.7,-13.95
102,DOCN,148.59,3037734.0,Technology,Software - Infrastructure,99.0,18.0,96.0,99.0,15.8216,15.2784,4284632.0,2868430.0,187.5,25.56,15507473408,,142.2,75.33,149.34,91.31,-20.75
104,TNGX,29.12,4692718.0,Healthcare,Biotechnology,98.0,98.0,94.0,99.0,2.9855,2.5234,3828996.0,6634340.0,34.39,4.6,4741163008,,24.84,14.67,24.08,17.46,-15.32
110,LQDA,75.54,1904194.0,Healthcare,Drug Manufacturers - Specialty & Generic,98.0,96.0,98.0,98.0,5.0371,4.8336,1749635.0,3215580.0,77.09,11.85,6717628416,,54.14,37.59,57.72,43.59,-2.01
113,ALAB,399.92,3934093.0,Technology,Semiconductors,98.0,97.0,99.0,98.0,38.3311,33.5609,6075798.0,7542920.0,440.99,84.78,68549464064,,273.86,189.62,299.89,198.03,-9.31
114,NBIS,259.66,14692843.0,Communication Services,Internet Content & Information,98.0,95.0,98.0,98.0,28.6894,27.0423,17464296.0,19522720.0,299.86,43.89,65927204864,,204.85,128.16,215.1,139.83,-13.41
115,DELL,434.06,5763090.0,Technology,Computer Hardware,98.0,98.0,98.0,99.0,30.635,29.6257,8810687.0,8512730.0,469.47,110.22,280464556032,,296.96,178.14,327.83,202.9,-7.54
116,BRUN,34.26,1605092.0,Technology,Software - Infrastructure,98.0,98.0,99.0,98.0,4.4006,4.1786,1368135.0,1704780.0,42.0,10.19,2104546176,,25.05,15.07,27.23,16.86,-18.43
119,CDNL,81.94,794570.0,Industrials,Engineering & Construction,98.0,99.0,98.0,99.0,5.8142,5.7135,480993.0,569670.0,82.66,21.98,1253361152,,57.01,,60.25,,-0.87
120,CRDU,94.0,391733.0,ETF,ETF,98.0,98.0,99.0,96.0,19.5789,17.6676,612093.0,799110.0,126.88,12.87,0,,63.92,,69.96,46.48,-25.91
121,SHAZ,83.69,837656.0,Technology,Information Technology Services,98.0,96.0,99.0,,11.4021,10.62,630040.0,1482470.0,97.48,16.55,1412736768,,58.85,,64.11,,-14.15
125,AMD,519.74,23779030.0,Technology,Semiconductors,98.0,90.0,98.0,98.0,38.0843,30.4893,37910643.0,31643170.0,562.99,133.5,847488352256,,428.3,266.73,460.63,298.82,-7.68
131,VIAV,49.41,7015265.0,Technology,Communication Equipment,98.0,45.0,92.0,98.0,4.7221,4.4729,7200617.0,10200100.0,60.43,9.62,12188737536,,49.26,28.15,50.14,34.28,-18.24
139,ATEX,79.09,487020.0,Communication Services,Telecom Services,98.0,96.0,98.0,99.0,6.8161,6.6822,392983.0,688940.0,88.12,17.58,1495929728,,59.09,34.48,63.81,41.71,-10.25
140,ACMR,101.6,1703992.0,Technology,Semiconductor Equipment & Materials,98.0,98.0,98.0,98.0,10.4937,9.1183,1507824.0,1803960.0,111.41,23.03,7021523968,,71.43,50.64,77.34,58.37,-8.81
141,RVMD,169.77,3200042.0,Healthcare,Biotechnology,98.0,91.0,97.0,97.0,6.1036,5.8418,3204279.0,2767100.0,171.25,34.0,36092502016,,150.02,97.11,150.71,116.04,-0.86
144,AMBQ,81.18,2044334.0,Technology,Semiconductors,98.0,41.0,99.0,98.0,7.5674,7.1445,605061.0,757620.0,91.61,22.12,1773412608,,62.19,37.75,68.28,42.57,-11.39
146,POWL,294.49,367177.0,Industrials,Electrical Equipment & Parts,98.0,81.0,95.0,98.0,21.5957,20.505,667072.0,736240.0,328.0,62.07,10728755200,,279.99,172.39,286.51,202.13,-10.22
150,ARM,359.08,8495059.0,Technology,Semiconductors,98.0,94.0,99.0,99.0,41.3316,36.2528,11631422.0,13957490.0,452.7,100.02,383525715968,,278.07,171.47,305.05,185.8,-20.68
152,COHR,392.5,4576456.0,Technology,Scientific & Technical Instruments,98.0,77.0,93.0,97.0,40.4121,37.5943,6185241.0,6480680.0,440.0,81.61,76788432896,,363.23,228.49,366.64,273.83,-10.8
156,FORM,141.42,1241068.0,Technology,Semiconductor Equipment & Materials,98.0,88.0,91.0,98.0,12.5904,10.1961,1829419.0,1381540.0,159.09,26.08,11024363520,,134.75,83.43,136.7,101.82,-11.11
161,MANE,117.29,1039822.0,Healthcare,Biotechnology,98.0,93.0,97.0,,7.975,7.7364,579748.0,493410.0,118.63,32.0,4900222464,,96.27,,97.62,,-1.13
163,STRL,867.23,601023.0,Industrials,Engineering & Construction,98.0,94.0,97.0,98.0,73.8021,67.155,624814.0,673590.0,1005.68,217.07,26611779584,,735.93,458.51,778.78,512.83,-13.77
165,TER,427.2,3241692.0,Technology,Semiconductor Equipment & Materials,98.0,94.0,90.0,98.0,32.9286,26.0321,3946951.0,5838690.0,459.19,88.6,66874814464,,376.26,258.13,382.02,306.5,-6.97
166,COHU,63.66,1257896.0,Technology,Semiconductor Equipment & Materials,98.0,98.0,98.0,98.0,4.8343,3.9843,1365872.0,1489680.0,70.92,17.8,3003182592,,51.02,32.22,53.27,37.11,-10.24
167,KLIC,123.28,1775737.0,Technology,Semiconductor Equipment & Materials,98.0,94.0,97.0,98.0,8.5971,7.8329,843472.0,1200220.0,129.65,31.32,6451596800,,99.72,64.11,104.15,75.58,-4.91
174,SMTC,158.48,1782274.0,Technology,Semiconductors,98.0,64.0,98.0,97.0,14.3607,12.73,3275683.0,4312710.0,177.35,42.38,14762596352,,135.85,90.43,142.08,101.73,-10.64
176,MKSI,381.62,1794035.0,Technology,Scientific & Technical Instruments,98.0,94.0,95.0,98.0,25.6207,19.7671,1165666.0,1295760.0,421.58,88.49,25776189440,,314.69,215.35,326.7,252.78,-9.48
177,VSXY,80.64,1297576.0,Consumer Cyclical,Apparel Retail,98.0,99.0,97.0,91.0,4.0607,3.9514,2347372.0,1724610.0,83.92,17.53,6410212352,,59.63,48.85,62.27,56.94,-3.91
178,VECO,71.16,1189466.0,Technology,Semiconductor Equipment & Materials,98.0,95.0,98.0,98.0,6.92,6.2714,1519179.0,2223680.0,86.63,19.29,4343142912,,58.94,37.78,62.4,42.47,-17.86
182,DRAM,69.93,68216015.0,ETF,ETF,98.0,97.0,,,6.5261,4.2139,30410541.0,50642990.0,81.34,26.14,0,,53.3,,56.5,,-14.03
185,TWST,91.35,2440509.0,Healthcare,Diagnostics & Research,98.0,99.0,97.0,98.0,6.0293,5.69,1596462.0,2330700.0,93.78,23.3,5688484352,,64.75,44.11,67.91,50.99,-2.59
187,FLEX,150.72,6360722.0,Technology,Electronic Components,98.0,92.0,98.0,98.0,9.9813,9.337,6523253.0,13214330.0,166.86,47.83,55220482048,,126.28,78.61,134.64,88.53,-9.67
188,ANAB,58.48,467420.0,Healthcare,Biotechnology,98.0,29.0,92.0,96.0,2.8282,2.8218,713908.0,516210.0,72.36,11.4,1701820672,,57.98,36.72,59.59,43.55,-19.18
190,MBX,48.4,928630.0,Healthcare,Biotechnology,98.0,99.0,96.0,94.0,3.4908,3.4245,661791.0,1142720.0,49.25,9.63,2303720704,,33.97,29.07,35.57,33.76,-1.73
192,LABU,248.04,455613.0,ETF,ETF,98.0,98.0,97.0,93.0,18.295,16.4407,601524.0,685360.0,257.29,55.12,0,,187.0,154.79,188.66,173.16,-3.6
