Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
1,MULL,35.26,7153856,ETF,ETF,98.0,96.0,98.0,98.0,6.4785,4.6227,11187679.0,10168110.0,43.53,0.59,0,NO,21.92,8.61,22.98,11.37,405,0.0,7256100.0,NO,NO,2026-04-01,23787500.0,-19.0
2,SNDK,2090.71,16567766,Technology,Computer Hardware,98.0,97.0,98.0,98.0,217.247,166.3588,14128935.0,11712830.0,2354.39,40.1,309612740608,NO,1521.57,664.52,1613.54,889.09,343,0.0,16799100.0,YES,NO,2025-11-26,43000900.0,-11.2
4,SNXX,36.5,38945106,ETF,ETF,98.0,98.0,98.0,,7.5694,5.7394,62410088.0,35944550.0,49.34,3.14,0,NO,23.34,,25.58,,105,0.0,39677500.0,YES,NO,2026-05-01,141068800.0,-26.02
5,MUU,1020.02,3296010,ETF,ETF,98.0,96.0,98.0,98.0,187.044,136.1811,3159058.0,3456530.0,1252.8,16.73,0,NO,627.61,245.51,658.55,324.32,428,0.0,3393500.0,NO,NO,2026-06-09,5492900.0,-18.58
7,INTW,42.71,2110756,ETF,ETF,98.0,65.0,98.0,98.0,7.0285,5.7344,6707711.0,5532050.0,52.62,1.72,0,NO,34.34,13.61,36.76,17.38,343,0.0,2132500.0,NO,NO,2025-09-18,79455200.0,-18.83
14,MXL,96.6,7470681,Technology,Semiconductors,98.0,19.0,98.0,98.0,9.1857,8.5364,4877716.0,3515040.0,106.28,12.77,8650139648,NO,79.04,32.65,87.25,41.4,4090,0.0,8184900.0,NO,NO,2026-04-24,29044000.0,-9.11
15,AMDL,66.73,3601035,ETF,ETF,98.0,77.0,98.0,98.0,9.7879,7.9924,9594122.0,4113380.0,78.71,7.5,0,NO,51.51,24.63,56.67,29.05,570,0.0,4438900.0,NO,NO,2025-10-06,106498200.0,-15.22
22,MU,1132.33,84431604,Technology,Semiconductors,98.0,95.0,98.0,98.0,107.1914,78.6764,52241711.0,59354710.0,1255.0,103.38,1278845648896,NO,802.14,425.84,834.43,522.55,10599,0.0,86115000.0,YES,NO,2013-10-11,153906100.0,-9.77
30,WDC,586.45,21366429,Technology,Computer Hardware,98.0,88.0,97.0,98.0,64.4964,49.2186,8387769.0,13509760.0,799.87,62.94,202138845184,NO,510.91,280.37,522.04,341.69,12011,0.0,23368900.0,YES,NO,2009-06-30,65696343.0,-26.68
35,ORKA,90.6,4732649,,,98.0,98.0,97.0,98.0,5.5093,4.8657,1748835.0,2006580.0,91.12,10.97,5464275968,NO,66.87,40.45,67.02,47.44,7265,0.0,4732900.0,NO,NO,2026-04-29,7921000.0,-0.57
