Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
1,SNDK,1744.43,8664403,Technology,Computer Hardware,98.0,15.0,98.0,98.0,231.2671,173.3139,13661583.0,12836390.0,2354.39,40.1,,258332229632,NO,1625.76,711.62,1744.79,990.92,348,0.0,8664403,NO,NO,2025-11-26,43000900.0,-25.91
10,AMDL,73.79,4653010,ETF,ETF,98.0,16.0,98.0,98.0,10.0936,8.265,9158078.0,4077130.0,83.79,7.5,,0,NO,57.42,26.49,63.14,32.51,576,5.91,4653010,NO,NO,2025-10-06,106498200.0,-11.93
18,MXL,95.68,3116082,Technology,Semiconductors,98.0,71.0,98.0,98.0,12.4193,11.325,5225662.0,4615660.0,128.3,12.77,,8567757312,NO,86.81,34.94,92.38,46.48,4095,0.35,3116082,NO,NO,2026-04-24,29044000.0,-25.42
21,BE,295.05,8916547,Industrials,Electrical Equipment & Parts,98.0,64.0,97.0,98.0,35.9303,31.1846,11912503.0,18424970.0,351.28,23.75,,83925164032,NO,280.62,165.96,279.52,194.79,1996,3.7,8916547,NO,NO,2024-11-15,64722200.0,-16.01
23,ABVX,143.99,1543427,Healthcare,Biotechnology,98.0,98.0,80.0,45.0,10.4511,7.7541,2039181.0,3619210.0,148.83,7.7,,11490499584,NO,112.89,112.33,117.53,118.99,677,0.0,1543427,NO,NO,2025-07-23,27831900.0,-3.25
26,MU,984.75,35948270,Technology,Semiconductors,98.0,9.0,98.0,98.0,106.0315,77.0543,51461354.0,63100320.0,1255.0,103.38,,1112169906176,NO,862.03,448.47,926.57,571.95,10604,0.0,35948270,YES,NO,2013-10-11,153906100.0,-21.53
27,FCEL,29.73,9371687,Industrials,Electrical Equipment & Parts,98.0,97.0,98.0,98.0,4.7914,4.7021,10965309.0,17272220.0,37.88,3.78,,2009991040,NO,19.69,10.87,22.19,12.78,8565,2.42,9371687,YES,NO,2026-06-26,27123800.0,-21.52
36,ATEX,106.04,517269,Communication Services,Telecom Services,98.0,98.0,98.0,98.0,7.1922,7.1915,445068.0,636520.0,111.9,17.58,,2067618048,NO,67.12,37.19,76.51,47.66,2871,0.0,517269,NO,NO,2020-12-21,3077900.0,-5.24
38,ICHR,95.67,1033165,Technology,Semiconductor Equipment & Materials,98.0,96.0,97.0,98.0,9.5414,8.3942,1134462.0,1593370.0,113.58,13.12,,3335730688,NO,78.15,42.57,82.44,55.12,2403,0.0,1033165,NO,NO,2018-08-24,8215700.0,-15.77
39,VICR,285.34,651994,Technology,Electronic Components,98.0,5.0,96.0,97.0,32.9436,28.8521,898026.0,1182230.0,382.65,41.76,,13006198784,NO,298.81,169.45,293.44,210.37,9129,0.0,651994,NO,NO,2023-07-26,4839800.0,-25.43
40,BAND,60.67,644698,Technology,Software - Infrastructure,98.0,11.0,98.0,98.0,4.6016,4.3701,1244337.0,1403980.0,75.98,12.5,,1942489984,NO,53.51,25.05,59.83,31.51,2172,0.0,644998,NO,NO,2022-11-02,11116300.0,-20.15
43,SYRE,88.74,1271635,Healthcare,Biotechnology,98.0,93.0,96.0,97.0,5.9921,4.8807,1457244.0,2459870.0,102.06,14.51,,7706292736,NO,77.6,44.6,80.36,55.53,2575,0.74,1272459,NO,NO,2023-06-22,10228380.0,-13.05
44,DFTX,44.33,2073829,Healthcare,Biotechnology,98.0,98.0,97.0,98.0,3.8422,2.8622,2852704.0,7584500.0,49.2,6.95,,5884508672,NO,26.72,17.96,29.6,21.56,2420,0.0,2073829,NO,NO,2024-03-07,38010300.0,-9.9
47,INTC,122.2,85811308,Technology,Semiconductors,98.0,79.0,97.0,98.0,10.8264,9.27,137506732.0,128221660.0,142.35,18.97,,614177177600,NO,114.52,60.82,119.68,74.0,11669,0.0,85811308,YES,NO,1993-04-19,567708800.0,-14.16
48,ALAB,432.74,4114168,Technology,Semiconductors,98.0,92.0,98.0,97.0,44.7301,40.3806,6340706.0,7573310.0,499.48,88.19,,74175070208,NO,308.84,196.65,341.44,215.4,574,2.68,4114168,NO,NO,2024-11-05,24756900.0,-13.36
49,ORKA,83.13,1579405,Healthcare,Biotechnology,98.0,98.0,94.0,97.0,5.9114,5.2686,1827716.0,2619500.0,97.78,12.48,,5013744640,NO,68.98,42.3,70.7,51.01,7270,0.0,1579405,NO,NO,2026-04-29,7921000.0,-14.98
51,LQDA,79.21,1683553,Healthcare,Drug Manufacturers - Specialty & Generic,98.0,97.0,97.0,97.0,4.3757,4.2864,1870704.0,3149460.0,80.98,11.86,,7043994624,NO,59.68,39.38,66.25,46.69,1995,0.0,1683553,NO,NO,2022-07-19,30246200.0,-2.19
52,VPG,123.0,680343,Technology,Scientific & Technical Instruments,98.0,14.0,98.0,98.0,12.2786,11.5286,524701.0,656260.0,151.78,25.58,,1636023040,NO,107.81,57.43,117.44,70.04,4032,0.0,680343,NO,NO,2026-05-13,1453400.0,-18.96
53,SIMO,318.86,641493,Technology,Semiconductors,98.0,69.0,98.0,98.0,28.8472,24.5765,1049201.0,956060.0,355.0,70.12,,10811851776,NO,267.31,147.49,285.23,178.5,5285,4.09,641493,NO,NO,2023-07-26,17771600.0,-10.18
58,STX,868.26,3444889,Technology,Computer Hardware,98.0,11.0,97.0,98.0,92.7264,77.2021,4337960.0,5910060.0,1145.0,138.3,,196445667328,NO,845.96,460.1,870.77,565.24,5927,5.06,3444889,NO,NO,2012-06-29,89629700.0,-24.17
65,PENG,67.71,2913988,Technology,Information Technology Services,98.0,14.0,98.0,98.0,8.1914,7.6432,2978700.0,3755660.0,77.4,16.04,,3558848000,NO,53.15,29.1,58.27,33.4,2290,4.6,2913988,NO,NO,2019-01-09,15604200.0,-12.52
66,PRAX,313.5,387253,Healthcare,Biotechnology,98.0,86.0,31.0,44.0,20.3021,19.6192,498996.0,784460.0,366.52,37.19,,8739995648,NO,313.82,259.26,312.88,310.95,1434,0.0,387253,NO,NO,2025-10-16,13741900.0,-14.47
68,RVMD,189.99,2267385,Healthcare,Biotechnology,98.0,93.0,96.0,97.0,7.4228,7.2806,3547247.0,4421760.0,193.69,34.0,,40391204864,NO,155.48,102.11,162.39,123.8,1605,0.0,2267385,NO,NO,2025-06-27,26439100.0,-1.91
69,UCTT,105.53,1419241,Technology,Semiconductor Equipment & Materials,98.0,88.0,95.0,98.0,11.9893,10.1957,1212324.0,1725770.0,144.22,21.28,,4730736128,NO,94.12,54.51,98.57,68.38,5604,0.0,1419241,NO,NO,2018-01-02,7165600.0,-26.83
72,KOD,37.02,436200,Healthcare,Biotechnology,98.0,81.0,8.0,86.0,2.8321,2.7986,770047.0,1090070.0,47.84,3.7,,2316653824,NO,37.63,27.74,36.37,32.37,1946,0.0,436200,NO,NO,2022-02-23,26802500.0,-22.62
73,AMD,552.05,29556990,Technology,Semiconductors,98.0,60.0,98.0,97.0,38.4929,31.6714,36952532.0,32389910.0,584.73,133.5,,900173004800,NO,465.35,280.14,496.97,320.25,11669,3.36,29556990,YES,NO,2018-08-27,325058400.0,-5.59
82,BRUN,32.31,1805583,Technology,Software - Infrastructure,97.0,4.0,98.0,97.0,4.3786,4.1584,1551555.0,1760220.0,42.0,10.21,,1984760448,NO,27.92,15.9,30.16,18.22,378,0.0,1805583,NO,NO,2025-09-16,5067100.0,-23.07
83,HUT,103.78,4186086,Financial Services,Capital Markets,97.0,2.0,97.0,97.0,11.2127,10.5502,4928380.0,4981420.0,140.8,18.68,,11685016576,NO,106.68,63.99,111.11,74.57,2092,5.93,4186086,NO,NO,2025-12-17,22652500.0,-26.29
84,DELL,411.8,7138435,Technology,Computer Hardware,97.0,22.0,97.0,98.0,31.385,29.0593,8725580.0,8603230.0,469.47,110.22,,266081435648,NO,327.04,188.2,362.36,219.65,2483,0.22,7138435,NO,NO,2016-09-07,147907159.0,-12.28
89,CDNL,80.09,972302,Industrials,Engineering & Construction,97.0,96.0,96.0,98.0,8.1593,8.0907,602680.0,1200570.0,96.4,21.98,,1545423360,NO,62.2,,66.39,44.17,141,0.54,972302,NO,NO,2025-12-10,3595800.0,-16.92
90,VSAT,83.8,2288869,Technology,Communication Equipment,97.0,93.0,94.0,97.0,6.9914,6.6661,2459496.0,3802940.0,93.03,14.0,,11444478976,NO,69.9,48.27,72.5,55.74,7442,0.0,2299639,NO,NO,2024-06-28,18455500.0,-9.92
91,MRVL,249.27,25129311,Technology,Semiconductors,97.0,4.0,97.0,97.0,27.6321,23.4161,43155086.0,60496870.0,329.88,61.44,,218249134080,NO,225.47,123.53,236.34,144.36,6540,0.0,25129311,YES,NO,2026-06-18,250989400.0,-24.44
95,AMBQ,83.82,320160,Technology,Semiconductors,97.0,56.0,98.0,97.0,6.9245,6.5606,693345.0,1070270.0,91.61,22.12,,1998724608,NO,69.34,39.48,77.26,46.16,234,0.0,320160,NO,NO,2025-07-30,5479500.0,-8.5
98,LABU,304.95,454338,ETF,ETF,97.0,98.0,96.0,95.0,19.9371,18.2307,579798.0,611040.0,308.94,56.75,,0,NO,198.82,162.06,216.33,183.34,2792,0.0,454338,NO,NO,2025-04-09,7938800.0,-1.29
99,MANE,122.07,474864,Healthcare,Biotechnology,97.0,95.0,96.0,,8.3404,8.1932,663716.0,1111330.0,131.24,32.0,,5099924480,NO,103.26,,106.87,,104,0.0,474864,NO,NO,2026-06-26,4047300.0,-6.99
100,SHAZ,79.96,3040354,Technology,Information Technology Services,97.0,35.0,98.0,,11.4186,10.375,830118.0,1735470.0,97.48,16.55,,1887095040,NO,64.79,,70.29,,95,6.76,3040354,NO,NO,2026-06-17,3956900.0,-17.97
