Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
11,DLLL,25.87,24.5,696498.0,ETF,ETF,98.0,95.0,98.0,98.0,2.9941,2.7299,2359015.0,1126240.0,32.1,2.17,,0,NO,25.06,23.81,10.46,23.58,13.91,384,0.0,696498,NO,NO,2026-05-28,15772800.0,-19.41
18,MRNA,149.66,158.83,21836510.0,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,18.9152,13.4395,13898833.0,49448700.0,176.66,22.28,,59749646336,NO,86.64,73.52,50.61,80.33,60.16,1939,0.0,21836510,YES,NO,2026-08-19,199252300.0,-15.28
24,TWST,150.06,151.42,1209309.0,Healthcare,Diagnostics & Research,98.0,98.0,98.0,98.0,9.8021,8.78,1815946.0,1756040.0,154.96,23.3,,9409875968,NO,122.37,104.19,61.04,109.53,73.72,1964,0.0,1209309,NO,NO,2022-11-15,7568500.0,-3.16
27,MU,938.4,932.97,17071668.0,Technology,Semiconductors,98.0,88.0,45.0,97.0,51.1836,41.8786,47144060.0,29515380.0,1255.0,114.25,,1059822567424,NO,912.35,958.92,581.54,943.45,703.73,10641,0.0,17071668,YES,NO,2013-10-11,153906100.0,-25.23
28,ORKA,99.44,101.82,526711.0,Healthcare,Biotechnology,98.0,83.0,97.0,98.0,5.7679,5.6671,1221633.0,911960.0,115.52,14.61,,6583892480,NO,103.5,93.36,55.93,96.12,67.03,7307,0.0,526711,NO,NO,2026-04-29,7921000.0,-13.92
29,TXG,64.26,64.72,3076494.0,Healthcare,Health Information Services,98.0,96.0,98.0,98.0,4.403,4.1926,3290882.0,3110860.0,66.94,11.16,,8372510720,NO,56.16,46.82,27.32,49.33,31.83,1748,0.0,3076494,NO,NO,2025-06-27,17909500.0,-4.0
35,ETON,62.62,63.05,359805.0,Healthcare,Drug Manufacturers - Specialty & Generic,98.0,96.0,98.0,98.0,4.37,3.4929,532315.0,880910.0,66.37,14.27,,1789875968,NO,52.51,43.92,26.76,47.07,32.11,1955,0.0,359805,NO,NO,2023-08-11,15757000.0,-5.65
37,DFTX,43.77,44.81,1599054.0,Healthcare,Biotechnology,98.0,66.0,98.0,98.0,3.0543,2.8396,3005011.0,2405750.0,49.7,8.7,,5881241088,NO,44.18,42.81,23.95,44.46,28.51,2457,0.0,1599054,NO,NO,2024-03-07,38010300.0,-11.93
39,LITE,939.03,885.565,4402277.0,Technology,Communication Equipment,98.0,97.0,61.0,88.0,81.8494,74.4166,5222757.0,5155220.0,1085.68,123.78,,84230995968,NO,851.74,812.14,662.59,817.91,800.46,2790,0.0,4402277,NO,NO,2026-03-20,22868800.0,-13.51
43,SYRE,93.61,107.36,3114066.0,Healthcare,Biotechnology,98.0,7.0,92.0,97.0,5.5829,4.6801,1248244.0,827080.0,110.17,14.51,,8253505024,NO,103.66,98.21,59.67,98.16,71.98,2612,0.0,3114066,NO,NO,2023-06-22,10228380.0,-15.03
44,DELL,463.82,451.5,4352278.0,Technology,Computer Hardware,98.0,90.0,96.0,98.0,26.8414,24.655,8383944.0,5174680.0,514.0,110.22,,299693768704,NO,452.03,431.07,241.54,431.85,294.93,2520,0.0,4352278,NO,NO,2016-09-07,147907159.0,-9.76
47,RVMD,215.44,211.38,3507017.0,Healthcare,Biotechnology,98.0,90.0,95.0,97.0,7.8615,7.7956,2517184.0,1500950.0,220.34,35.64,,46176636928,NO,204.08,190.51,128.96,195.49,147.19,1642,0.0,3507017,NO,NO,2025-06-27,26439100.0,-2.22
51,MBX,66.76,68.62,214662.0,Healthcare,Biotechnology,98.0,85.0,98.0,96.0,3.0638,2.9745,767352.0,444740.0,72.64,9.63,,3215168000,NO,67.12,60.55,39.41,63.15,43.18,489,0.0,214662,NO,NO,2025-09-22,28303500.0,-8.09
57,PLSE,48.1,49.0,269086.0,Healthcare,Medical Instruments & Supplies,98.0,96.0,98.0,98.0,3.4158,3.4011,377880.0,415690.0,50.9,12.56,,3430617344,NO,43.38,34.39,22.8,36.35,26.95,2583,0.0,269086,NO,NO,2022-09-26,4339700.0,-5.5
63,LABU,331.59,335.54,344541.0,ETF,ETF,98.0,96.0,98.0,96.0,23.4091,19.6498,522785.0,455130.0,341.93,68.0,,0,NO,283.16,271.36,193.53,281.46,208.52,2829,0.0,344541,NO,NO,2025-04-09,7938800.0,-3.02
65,STX,846.37,821.67,2068146.0,Technology,Computer Hardware,98.0,87.0,19.0,97.0,59.1186,51.9386,4772139.0,4132150.0,1145.0,163.86,,191825117184,NO,858.8,884.33,574.16,860.85,690.78,5964,0.33,2068146,NO,NO,2012-06-29,89629700.0,-26.08
73,TRAX,44.19,45.11,540205.0,Healthcare,Biotechnology,98.0,73.0,98.0,,2.9386,2.9386,760360.0,573850.0,49.91,14.72,,1578945920,NO,45.05,34.65,,36.43,,100,0.0,540205,NO,NO,2026-07-09,4512600.0,-11.46
76,DNTH,110.76,112.11,335353.0,Healthcare,Biotechnology,98.0,82.0,92.0,97.0,4.9386,4.8271,1063974.0,635780.0,117.88,22.81,,6054832128,NO,111.16,102.21,73.56,105.04,86.55,2056,0.0,335353,NO,NO,2025-09-08,5974200.0,-6.04
77,MRVL,245.11,240.38,15919680.0,Technology,Semiconductors,98.0,96.0,90.0,98.0,16.3714,13.3043,40789630.0,24468440.0,329.88,61.44,2026-08-27,220281487360,NO,219.8,230.76,147.28,224.12,174.27,6577,0.0,15919680,YES,NO,2026-06-18,250989400.0,-25.7
82,LIFE,39.11,38.56,1613017.0,Financial Services,Insurance Brokers,97.0,98.0,98.0,98.0,2.5293,2.5293,883844.0,1548500.0,40.97,9.45,,3748242176,NO,31.63,23.74,,25.57,18.7,145,0.0,1613017,NO,NO,2026-08-04,5332100.0,-4.54
87,VSXY,90.79,87.36,1258627.0,Consumer Cyclical,Apparel Retail,97.0,47.0,97.0,93.0,4.3771,4.1214,2105311.0,1282070.0,102.46,21.91,,7217053184,NO,89.92,85.24,61.21,86.1,66.04,1281,0.27,1258627,NO,NO,2024-03-07,25901500.0,-11.39
100,HPE,55.23,53.44,10288748.0,Technology,Communication Equipment,97.0,92.0,96.0,98.0,2.8445,2.6238,25721223.0,14894000.0,64.25,19.84,,73135759360,NO,53.84,49.38,32.22,49.55,36.52,2729,0.0,10288748,YES,NO,2026-06-02,153197800.0,-14.04
112,SIMO,263.11,241.83,769855.0,Technology,Semiconductors,97.0,91.0,11.0,96.0,17.8764,15.8857,1053130.0,1081320.0,355.0,77.22,,8921467904,NO,251.81,278.05,178.86,276.77,215.58,5322,0.0,769855,NO,NO,2023-07-26,17771600.0,-25.88
115,PBF,69.73,66.51,2081156.0,Energy,Oil & Gas Refining & Marketing,97.0,88.0,98.0,97.0,4.232,4.1049,2917560.0,2465360.0,75.68,24.53,,8265574912,NO,69.43,59.18,43.07,61.76,47.92,3445,0.0,2081156,NO,NO,2022-11-30,33081200.0,-7.86
118,ARWR,89.12,88.88,859443.0,Healthcare,Biotechnology,97.0,64.0,82.0,93.0,2.8544,2.6795,2035701.0,1038160.0,95.49,21.06,,12553178112,NO,87.52,83.28,69.58,83.44,73.15,8228,0.0,859443,NO,NO,2014-10-08,54778100.0,-6.67
119,CORT,119.8,123.57,980746.0,Healthcare,Biotechnology,97.0,94.0,98.0,98.0,3.7464,3.7179,1107733.0,777510.0,126.38,28.66,,12950189056,NO,115.61,99.65,65.52,103.71,67.62,5628,0.0,980746,NO,NO,2020-09-02,88404100.0,-5.21
126,DK,70.84,67.59,1717994.0,Energy,Oil & Gas Refining & Marketing,97.0,87.0,97.0,97.0,4.0697,3.9433,1273590.0,1580880.0,72.0,25.66,,4337687040,NO,65.71,59.41,43.88,61.65,48.7,5110,0.0,1717994,NO,NO,2014-05-15,9035100.0,-1.61
128,MANE,102.8,102.35,657047.0,Healthcare,Biotechnology,97.0,6.0,54.0,98.0,6.1236,5.88,728926.0,691990.0,131.24,32.0,,4294998016,NO,107.41,110.88,,113.48,86.7,141,0.0,657047,NO,NO,2026-06-26,4047300.0,-21.67
133,LQDA,71.36,70.49,846005.0,Healthcare,Drug Manufacturers - Specialty & Generic,97.0,1.0,84.0,98.0,4.9271,4.7221,1924169.0,2046870.0,93.61,21.15,,6387354112,NO,79.77,79.09,49.92,78.99,56.58,2032,0.0,846005,NO,NO,2022-07-19,30246200.0,-23.77
137,CAKE,115.35,113.49,1398827.0,Consumer Cyclical,Restaurants,97.0,95.0,97.0,96.0,4.3325,4.2275,1619157.0,1868230.0,118.46,43.07,,5739888640,NO,109.22,92.58,66.42,96.33,73.67,8543,0.84,1398827,NO,NO,1992-09-18,24816375.0,-2.63
138,KOD,39.33,39.46,296797.0,Healthcare,Biotechnology,97.0,15.0,81.0,92.0,2.7841,2.7391,705719.0,607740.0,47.84,8.29,,2471869184,NO,41.37,40.04,32.5,40.58,36.0,1983,0.0,296797,NO,NO,2022-02-23,26802500.0,-17.79
143,RNG,66.06,65.61,919580.0,Technology,Software - Application,97.0,89.0,97.0,96.0,2.9525,2.9075,1874790.0,1385880.0,68.45,24.14,,5516416512,NO,63.13,49.81,38.28,52.48,43.26,3247,0.0,919580,NO,NO,2026-02-11,15343500.0,-3.49
153,AMD,480.93,479.18,13804691.0,Technology,Semiconductors,97.0,73.0,19.0,97.0,19.8686,17.1564,28238560.0,19102790.0,584.73,149.22,,785106206720,NO,483.0,507.63,333.23,504.31,382.53,11706,0.0,13804691,YES,NO,2018-08-27,325058400.0,-17.75
161,KYMR,125.55,126.64,558041.0,Healthcare,Biotechnology,96.0,90.0,96.0,91.0,4.9514,4.7243,850587.0,657600.0,130.05,39.84,,10439560192,NO,114.16,111.1,87.14,114.1,93.45,1510,0.0,558041,NO,NO,2025-12-08,7495500.0,-3.46
162,SPHR,157.4,159.85,557921.0,Communication Services,Entertainment,96.0,86.0,88.0,91.0,7.5674,7.3189,737557.0,779990.0,181.63,42.96,,5652801536,NO,160.04,154.39,121.35,154.73,135.84,1603,0.0,557921,NO,NO,2023-12-05,9793100.0,-13.34
