Rank,Ticker,Price,Sector,Industry,RS Percentile,ATR,ADR,AvgVol10,52WKH,52WKL,%_From_52WKL,%_From_52WKH,Recovery_Score
117,CELC,88.38,Healthcare,Biotechnology,97.0,7.9164,6.9586,2239420.0,151.02,13.47,556.12,-41.48,556.12
23,AMDL,58.14,ETF,ETF,98.0,10.4903,8.4909,3386640.0,83.79,8.88,554.73,-30.61,554.73
55,ICHR,82.87,Technology,Semiconductor Equipment & Materials,98.0,10.8701,9.5415,1118770.0,113.58,13.12,531.63,-27.04,531.63
45,SOXL,135.47,ETF,ETF,98.0,33.8793,26.4743,61011070.0,302.0,22.57,500.22,-55.14,500.22
41,STX,787.66,Technology,Computer Hardware,98.0,80.94,67.7207,4629510.0,1145.0,138.3,469.53,-31.21,469.53
53,VICR,237.62,Technology,Electronic Components,98.0,31.5418,27.3454,724190.0,382.65,41.76,469.01,-37.9,469.01
15,MXL,71.84,Technology,Semiconductors,98.0,13.1211,11.6111,2977390.0,128.3,12.77,462.57,-44.01,462.57
90,AAOI,102.41,Technology,Communication Equipment,97.0,14.1626,13.0548,9241760.0,233.67,18.5,453.57,-56.17,453.57
67,TSEM,234.1,Technology,Semiconductors,98.0,22.0821,18.5757,2087910.0,319.94,43.12,442.9,-26.83,442.9
50,AEHR,81.05,Technology,Semiconductor Equipment & Materials,98.0,11.1114,9.005,3734220.0,126.62,14.99,440.69,-35.99,440.69
85,INTC,95.04,Technology,Semiconductors,97.0,9.2493,7.8921,104730270.0,142.35,18.97,401.0,-33.23,401.0
132,HUT,91.45,Financial Services,Capital Markets,97.0,10.8691,10.018,3693560.0,140.8,18.68,389.56,-35.05,389.56
75,DOCN,118.91,Technology,Software - Infrastructure,98.0,12.3486,11.5801,3461260.0,187.5,25.56,365.22,-36.58,365.22
144,CIEN,374.41,Technology,Communication Equipment,97.0,31.1143,27.7586,1717640.0,637.51,83.2,350.01,-41.27,350.01
84,UCTT,92.43,Technology,Semiconductor Equipment & Materials,97.0,13.9243,12.4643,1629980.0,144.22,21.28,334.35,-35.91,334.35
52,VPG,103.89,Technology,Scientific & Technical Instruments,98.0,11.555,10.3021,560060.0,151.78,25.58,306.14,-31.55,306.14
218,FORM,105.57,Technology,Semiconductor Equipment & Materials,96.0,12.5671,10.4493,1634310.0,160.27,26.08,304.79,-34.13,304.79
104,VIAV,38.16,Technology,Communication Equipment,97.0,3.2514,2.9764,4619210.0,60.43,9.62,296.67,-36.85,296.67
148,SHAZ,63.64,Technology services,Data processing services,97.0,9.5114,8.5521,2123330.0,97.48,16.55,284.53,-34.71,284.53
65,PENG,60.41,Technology,Information Technology Services,98.0,9.9751,9.2192,6653890.0,89.86,16.04,276.62,-32.77,276.62
59,SIMO,264.33,Electronic technology,Semiconductors,98.0,27.3736,23.4443,692140.0,355.0,71.16,271.46,-25.54,271.46
128,AIP,31.04,Technology,Semiconductors,97.0,3.5956,3.2357,863520.0,50.26,8.42,268.65,-38.24,268.65
147,MKSI,324.69,Technology,Scientific & Technical Instruments,97.0,29.8207,24.8371,1287220.0,447.62,88.49,266.92,-27.46,266.92
129,ACMR,83.92,Technology,Semiconductor Equipment & Materials,97.0,10.9114,9.0225,1340730.0,127.19,23.03,264.39,-34.02,264.39
238,NBIS,177.71,Communication Services,Internet Content & Information,95.0,25.3185,22.3014,17611250.0,299.86,49.0,262.67,-40.74,262.67
195,TER,322.36,Technology,Semiconductor Equipment & Materials,96.0,35.7967,30.096,3627360.0,487.91,89.18,261.47,-33.93,261.47
832,ECHO,92.0,Communication Services,Telecom Services,87.0,4.6171,4.3221,4592100.0,147.25,26.04,253.3,-37.52,253.3
176,LRCX,313.3,Technology,Semiconductor Equipment & Materials,96.0,29.9636,24.3478,11646170.0,438.5,90.94,244.51,-28.55,244.51
