Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKL,%_From_52WKH
1,AXTI,81.64,77.45,9587106,Technology,Semiconductor Equipment & Materials,98.0,98.0,2.0,98.0,11.5007,10.0907,10291620.0,15991330.0,143.16,2.05,,5341148672,NO,62.25,69.19,50.25,68.95,66.08,7102,1.34,9587106,YES,NO,2024-02-23,103105600.0,3882.44,-42.97
6,DFNS,33.78,34.54,353122,Industrials,Aerospace & Defense,98.0,98.0,98.0,98.0,20.3717,14.2419,3272220.0,2842670.0,1948.75,3.7,,34134520,NO,32.07,12.94,5.24,10.47,4.26,1524,0.0,353122,NO,NO,2026-06-12,369341100.0,812.97,-98.27
21,AAOI,150.28,130.08,18618908,Technology,Communication Equipment,98.0,97.0,2.0,98.0,17.0902,14.8366,11939824.0,14633080.0,233.67,18.5,,12709065728,NO,115.39,133.94,94.99,129.03,119.61,3240,0.24,18618908,YES,NO,2022-09-16,77414200.0,712.32,-35.69
22,MXL,84.84,76.65,3204215,Technology,Semiconductors,98.0,89.0,16.0,98.0,6.9293,5.935,4056950.0,2300210.0,128.3,12.77,,7694410240,NO,72.56,82.71,43.69,82.43,55.6,4124,0.0,3204215,NO,NO,2026-04-24,29044000.0,564.37,-33.87
119,NBIL,39.64,33.66,4304360,ETF,ETF,97.0,98.0,15.0,98.0,6.2039,5.246,2831016.0,5745570.0,68.49,6.37,,0,NO,25.16,34.92,21.4,33.95,24.35,215,1.72,4304360,NO,NO,2026-08-12,11337100.0,522.29,-42.12
102,NEBX,40.7,34.69,2971810,ETF,ETF,97.0,98.0,14.0,98.0,6.3755,5.3901,2635885.0,4460750.0,70.77,6.62,,0,NO,25.89,35.98,22.17,34.96,25.16,235,3.08,2971810,NO,NO,2025-11-11,10629300.0,514.8,-42.49
183,CIEN,428.77,442.79,2514748,Technology,Communication Equipment,96.0,85.0,2.0,91.0,32.8564,26.9493,2773451.0,2073230.0,637.51,84.41,,60693647360,NO,394.81,428.07,363.2,422.05,421.31,7425,0.0,2514748,NO,NO,2011-06-08,36581000.0,407.96,-32.74
170,VIAV,43.54,42.99,3140864,Technology,Communication Equipment,96.0,92.0,5.0,94.0,3.2929,2.77,6962361.0,5675690.0,60.43,10.45,,10740692992,NO,39.27,43.47,33.25,43.03,39.39,8240,0.0,3148215,NO,NO,2013-12-20,87404420.0,316.65,-27.95
87,PENG,63.8,60.9,1343774,Technology,Information Technology Services,97.0,10.0,92.0,98.0,4.9848,4.329,3585198.0,1740070.0,89.86,16.04,,3269284096,NO,55.4,62.58,34.32,62.25,40.08,2319,0.0,1343774,NO,NO,2019-01-09,15604200.0,297.76,-29.0
397,NKTR,73.02,75.92,828321,Healthcare,Biotechnology,93.0,83.0,11.0,87.0,2.8764,2.7993,968259.0,569290.0,109.0,25.34,,2467055872,NO,71.74,67.23,63.66,68.54,68.48,8124,0.0,828321,NO,NO,2025-06-24,37172700.0,188.16,-33.01
1869,KOLD,30.53,30.11,1944157,ETF,ETF,74.0,85.0,89.0,92.0,1.4664,1.0143,3024412.0,2108900.0,49.47,13.44,,0,NO,29.33,26.03,26.2,26.32,23.57,3735,0.0,1944157,NO,NO,2022-11-23,97627200.0,127.16,-38.29
1773,PI,172.65,178.81,283401,Technology,Semiconductors,75.0,92.0,78.0,93.0,10.2435,9.7992,443979.0,544690.0,247.06,87.36,,5275218944,NO,154.75,143.12,144.26,144.9,130.54,2528,0.0,283401,NO,NO,2018-02-02,11711900.0,97.63,-30.12
998,ELF,91.44,92.05,1608389,Consumer Defensive,Household & Personal Products,85.0,94.0,97.0,81.0,4.6657,4.44,3541419.0,3186620.0,150.99,48.82,,5395691520,NO,86.01,74.69,75.6,76.98,72.79,2487,0.0,1608389,NO,NO,2025-02-07,23546500.0,87.3,-39.44
1487,SPSC,79.4,79.37,542927,Technology,Software - Application,79.0,93.0,97.0,81.0,3.6932,3.1154,677675.0,756370.0,117.37,49.04,,2858414080,NO,70.17,62.86,69.17,64.01,62.16,4104,0.0,542927,NO,NO,2016-09-22,4884400.0,61.91,-32.35
