Rank,Ticker,Type,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,Latest Volume,9M+ Volume,History_Days,Gap (%),HVE,HVE Date,HVE Volume,IPO,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,SMA50,SMA200,SMA10W,SMA30W
40,INTC,Stock,128.32,98046468,Technology,Semiconductors,98.0,80.0,98.0,98.0,99247000.0,YES,11664,0.0,NO,1993-04-19,567708800.0,NO,10.9529,8.9757,136021440.0,135499720.0,141.45,18.97,644936368128,108.39,58.23,113.64,68.55
22,MU,Stock,1132.33,84431604,Technology,Semiconductors,98.0,95.0,98.0,98.0,86115000.0,YES,10599,0.0,NO,2013-10-11,153906100.0,NO,107.1914,78.6764,52241711.0,59354710.0,1255.0,103.38,1278845648896,802.14,425.84,834.43,522.55
17,SOXL,ETF,215.6,50842802,ETF,ETF,98.0,37.0,98.0,98.0,51538300.0,YES,4099,0.0,NO,2025-04-09,787748800.0,NO,43.2843,30.9936,68469064.0,51741790.0,302.0,22.57,0,184.96,83.14,192.68,102.09
80,MRVL,Stock,266.77,40984037,Technology,Semiconductors,98.0,97.0,98.0,98.0,41916500.0,YES,6535,0.0,NO,2026-06-18,250989400.0,NO,30.4021,25.1479,42809432.0,67032330.0,329.88,61.44,233370386432,213.21,118.51,219.81,133.99
4,SNXX,ETF,36.5,38945106,ETF,ETF,98.0,98.0,98.0,,39677500.0,YES,105,0.0,NO,2026-05-01,141068800.0,NO,7.5694,5.7394,62410088.0,35944550.0,49.34,3.14,0,23.34,,25.58,
63,FCEL,Stock,24.0,26456717,Industrials,Electrical Equipment & Parts,98.0,66.0,98.0,97.0,27068400.0,YES,8560,2.65,YES,2026-06-26,27068400.0,NO,3.5721,3.4893,9662059.0,13721000.0,27.69,3.78,1622596224,17.47,10.25,18.85,11.42
30,WDC,Stock,586.45,21366429,Technology,Computer Hardware,98.0,88.0,97.0,98.0,23368900.0,YES,12011,0.0,NO,2009-06-30,65696343.0,NO,64.4964,49.2186,8387769.0,13509760.0,799.87,62.94,202138845184,510.91,280.37,522.04,341.69
75,UMC,Stock,25.58,18789338,Technology,Semiconductors,98.0,92.0,98.0,98.0,19289200.0,YES,6480,0.0,NO,2025-03-31,50395100.0,NO,1.895,1.2457,16041616.0,20618740.0,28.96,6.56,64187551744,18.24,10.97,18.93,12.54
21,ERAS,Stock,16.01,14675427,Healthcare,Biotechnology,98.0,96.0,44.0,98.0,18328800.0,YES,1242,0.0,NO,2026-04-28,51259600.0,NO,1.0971,1.0429,6977287.0,6493000.0,24.28,1.24,4978862592,13.56,8.89,13.16,11.63
2,SNDK,Stock,2090.71,16567766,Technology,Computer Hardware,98.0,97.0,98.0,98.0,16799100.0,YES,343,0.0,NO,2025-11-26,43000900.0,NO,217.247,166.3588,14128935.0,11712830.0,2354.39,40.1,309612740608,1521.57,664.52,1613.54,889.09
57,TNGX,Stock,31.47,15371009,Healthcare,Biotechnology,98.0,98.0,94.0,98.0,15371100.0,YES,1459,0.0,NO,2023-08-09,74897800.0,NO,2.9646,2.5024,4082700.0,6757600.0,34.39,4.8,5123777024,25.09,14.91,24.31,17.54
59,AAOI,Stock,135.69,16214982,Technology,Communication Equipment,98.0,2.0,82.0,98.0,13301900.0,YES,3205,0.0,NO,2022-09-16,77414200.0,NO,22.6971,21.0989,13011500.0,13934120.0,233.67,18.5,10888141824,170.25,79.44,167.13,100.17
26,BE,Stock,252.02,57026801,Industrials,Electrical Equipment & Parts,98.0,67.0,97.0,98.0,13128300.0,YES,1990,0.0,NO,2024-11-15,64722200.0,NO,30.4191,26.9677,11454979.0,16011500.0,351.28,21.52,71685545984,272.93,159.5,280.81,184.97
74,RLAY,Stock,18.56,9987009,Healthcare,Biotechnology,98.0,96.0,96.0,97.0,12573700.0,YES,1494,0.0,NO,2024-09-09,19068500.0,NO,0.9879,0.9325,4246327.0,5375670.0,18.94,3.02,4044972544,14.45,9.66,14.32,11.18
55,HUT,Stock,123.02,11523319,Financial Services,Capital Markets,98.0,78.0,97.0,97.0,11584700.0,YES,2087,0.0,NO,2025-12-17,22652500.0,NO,10.901,10.6596,4829543.0,4507320.0,140.8,17.87,13851327488,103.51,62.11,106.41,70.66
47,STX,Stock,899.9,9175598,Technology,Computer Hardware,98.0,75.0,97.0,98.0,9299000.0,YES,5922,0.0,NO,2012-06-29,89629700.0,NO,85.5014,73.1136,4256040.0,5897650.0,1145.0,138.3,203604279296,810.4,442.45,833.25,527.84
8,AXTI,Stock,70.15,16354193,Technology,Semiconductor Equipment & Materials,98.0,0.0,38.0,98.0,9257000.0,YES,7067,0.0,NO,2024-02-23,103105600.0,NO,13.8421,12.8043,11845783.0,11781620.0,143.16,1.85,4589436416,97.37,40.39,99.61,55.4
44,LITE,Stock,816.98,8542953,Technology,Communication Equipment,98.0,9.0,77.0,96.0,9111900.0,YES,2748,0.0,NO,2026-03-20,22868800.0,NO,75.9161,70.1493,6080024.0,5921340.0,1085.68,88.37,63561043968,903.65,530.04,896.01,662.09
107,DRAM,ETF,71.88,57942257,ETF,ETF,97.0,96.0,,,104823000.0,YES,58,0.0,NO,2026-06-25,104823000.0,NO,6.7564,4.3743,32953184.0,58893080.0,81.34,26.14,0,54.13,,57.19,
89,WULF,Stock,25.83,66263597,Financial Services,Capital Markets,97.0,22.0,95.0,96.0,66273200.0,YES,8111,0.0,NO,2025-08-14,289277500.0,NO,2.2814,2.1693,30326935.0,29777090.0,29.84,4.23,12799607808,23.96,16.52,24.03,17.84
131,GLW,Stock,221.05,45211402,Technology,Electronic Components,97.0,93.0,95.0,97.0,45374700.0,YES,11211,0.0,NO,2002-07-31,244754000.0,NO,16.5057,13.3186,13970233.0,19270840.0,230.5,51.32,190243995648,183.22,124.09,186.09,140.74
98,VIAV,Stock,47.63,21920780,Technology,Communication Equipment,97.0,9.0,91.0,97.0,34966900.0,YES,8206,0.0,NO,2013-12-20,87404420.0,NO,4.4329,4.1264,7666040.0,13340760.0,60.43,9.62,11749638144,49.62,28.53,49.96,34.22
161,MSTZ,ETF,18.58,26986853,ETF,ETF,97.0,98.0,95.0,76.0,27457400.0,YES,444,5.25,NO,2025-05-08,79041000.0,NO,1.7821,1.6256,22903264.0,21125460.0,28.71,3.09,0,7.56,10.19,8.09,11.33
90,AMD,Stock,521.58,51570759,Technology,Semiconductors,97.0,79.0,98.0,97.0,27031300.0,YES,11663,0.0,NO,2018-08-27,325058400.0,NO,38.1721,31.315,37580227.0,32684350.0,562.99,133.5,850488655872,433.85,268.64,461.91,299.25
