Rank,Ticker,Price,Sector,Industry,RS Percentile,ATR,52WKH,52WKL,Earning_Date,E_Day1,E_Day2,E_Day3,E_Day4,E_Day5,E_Day6
53,ICHR,80.23,Technology,Semiconductor Equipment & Materials,98.0,9.7536,113.58,13.12,2026-08-03,,,,,,
62,TWST,101.06,Healthcare,Diagnostics & Research,98.0,7.75,105.47,23.3,2026-08-03,,,,,,
74,UCTT,89.17,Technology,Semiconductor Equipment & Materials,98.0,10.6323,144.22,21.49,2026-08-03,,,,,,
266,JAZZ,251.58,Healthcare,Biotechnology,95.0,7.1717,261.3,105.0,2026-08-03,,,,,,
314,STRL,611.47,Industrials,Engineering & Construction,94.0,56.9343,1005.68,262.27,2026-08-03,,,,,,
326,MATX,207.45,Industrials,Marine Shipping,94.0,7.8157,230.74,86.97,2026-08-03,,,,,,
367,POWL,219.72,Industrials,Electrical Equipment & Parts,94.0,16.3539,328.0,69.0,2026-08-03,,,,,,
374,ITGR,124.45,Healthcare,Medical Devices,94.0,4.2943,125.54,62.0,2026-08-03,,,,,,
455,KRYS,312.57,Healthcare,Biotechnology,92.0,18.5695,382.54,130.5,2026-08-03,,,,,,
471,VVX,86.38,Industrials,Aerospace & Defense,92.0,4.1204,93.98,47.37,2026-08-03,,,,,,
527,TGTX,46.17,Healthcare,Biotechnology,91.0,2.5933,59.3,25.28,2026-08-03,,,,,,
568,DAC,142.08,Industrials,Marine Shipping,91.0,3.9443,143.48,83.56,2026-08-03,,,,,,
863,ATKR,93.55,Industrials,Electrical Equipment & Parts,87.0,4.4934,93.6,53.49,2026-08-03,,,,,,
865,UFPT,267.53,Healthcare,Medical Devices,87.0,9.9279,279.49,173.86,2026-08-03,,,,,,
955,ANDE,69.86,Consumer Defensive,Food Distribution,86.0,2.7907,82.11,31.84,2026-08-03,,,,,,
1040,AEIS,296.38,Industrials,Electrical Equipment & Parts,85.0,22.1443,397.44,128.4,2026-08-03,,,,,,
1216,CBT,89.58,Basic Materials,Specialty Chemicals,82.0,2.6721,94.53,58.33,2026-08-03,,,,,,
1365,JXN,126.17,Financial Services,Insurance - Life,80.0,3.3396,126.69,83.67,2026-08-03,,,,,,
1453,ECHO,85.63,Communication Services,Telecom Services,79.0,4.25,147.25,26.06,2026-08-03,,,,,,
1545,ON,80.4,Technology,Semiconductors,78.0,5.1338,134.92,44.56,2026-08-03,,,,,,
1641,FANG,198.75,Energy,Oil & Gas E&P,77.0,6.1786,214.51,134.3,2026-08-03,,,,,,
1908,PLOW,42.03,Consumer Cyclical,Auto Parts,73.0,2.2857,55.0,27.86,2026-08-03,,,,,,
2050,MAR,346.83,Consumer Cyclical,Lodging,71.0,9.6829,410.98,255.27,2026-08-03,,,,,,
2156,L,116.25,Financial Services,Insurance - Property & Casualty,70.0,2.2396,121.01,90.53,2026-08-03,,,,,,
2193,TDW,71.48,Energy,Oil & Gas Equipment & Services,69.0,2.995,93.13,46.65,2026-08-03,,,,,,
2559,ALSN,116.31,Consumer Cyclical,Auto Parts,64.0,3.4657,137.62,76.01,2026-08-03,,,,,,
2593,PEN,323.02,Healthcare,Medical Devices,64.0,2.1893,362.41,221.26,2026-08-03,,,,,,
2684,JBTM,142.25,Industrials,Specialty Industrial Machinery,63.0,4.6786,170.19,113.67,2026-08-03,,,,,,
2780,ADUS,116.79,Healthcare,Medical Care Facilities,61.0,3.6457,124.44,87.95,2026-08-03,,,,,,
3264,ALX,261.77,Real Estate,REIT - Retail,55.0,8.115,289.43,201.28,2026-08-03,,,,,,
3484,VRTX,470.72,Healthcare,Biotechnology,52.0,12.3471,533.67,362.5,2026-08-03,,,,,,
3700,OTTR,90.16,Industrials,Conglomerates,49.0,2.3257,95.0,74.15,2026-08-03,,,,,,
3739,BCC,83.03,Basic Materials,Lumber & Wood Production,49.0,3.7596,91.97,65.0,2026-08-03,,,,,,
3828,DORM,127.68,Consumer Cyclical,Auto Parts,47.0,5.6474,166.89,98.45,2026-08-03,,,,,,
4238,SEB,4393.46,Industrials,Conglomerates,42.0,141.9627,5989.37,3140.01,2026-08-03,,,,,,
4928,MMYT,61.78,Consumer Cyclical,Travel Services,33.0,3.375,104.43,32.67,2026-08-03,,,,,,
5305,TKO,183.91,Communication Services,Entertainment,28.0,4.3957,226.94,152.29,2026-08-03,,,,,,
6340,CLX,98.26,Consumer Defensive,Household & Personal Products,14.0,3.1321,128.9,84.7,2026-08-03,,,,,,
6606,VOYG,28.01,Industrials,Aerospace & Defense,10.0,2.2356,52.4,17.41,2026-08-03,,,,,,
6841,BWXT,173.79,Industrials,Aerospace & Defense,7.0,7.5764,241.82,149.57,2026-08-03,,,,,,
6849,ALG,163.93,Industrials,Farm & Heavy Construction Machinery,7.0,4.5814,233.29,145.76,2026-08-03,,,,,,
6863,GPOR,163.84,Energy,Oil & Gas E&P,7.0,4.6757,225.78,149.18,2026-08-03,,,,,,
6874,SBAC,179.54,Real Estate,REIT - Specialty,7.0,6.0229,231.34,162.41,2026-08-03,,,,,,
7044,PLTR,125.65,Technology,Software - Infrastructure,5.0,5.92,207.52,106.37,2026-08-03,,,,,,
7070,WGS,67.86,Healthcare,Diagnostics & Research,4.0,4.76,170.87,32.21,2026-08-03,,,,,,
7214,INSP,52.22,Healthcare,Medical Devices,2.0,2.39,147.03,38.91,2026-08-03,,,,,,
