Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,Gap (%),HVE Date,HVE Volume,ATR,ADR,IPO
DRAM,71.88,ETF,ETF,97.0,96.0,,,13.2,2026-06-25,104823000.0,6.7564,4.3743,NO
BTCZ,6.48,ETF,ETF,93.0,98.0,88.0,93.0,-4.06,2026-06-25,54077500.0,0.5011,0.3374,NO
XBIX,36.47,ETF,ETF,89.0,,,,5.68,2026-06-26,30300.0,1.5664,0.6043,NO
CATG,16.52,ETF,ETF,84.0,96.0,,,4.95,2026-06-25,94800.0,1.2143,0.7986,NO
XLVX,30.08,ETF,ETF,76.0,,,,6.57,2026-06-26,43100.0,0.6621,0.3186,NO
TOLL,40.24,ETF,ETF,76.0,74.0,80.0,73.0,-1.58,2026-06-26,249800.0,0.9083,0.6406,NO
ACLZ,25.47,ETF,ETF,73.0,,,,10.49,2026-06-25,400.0,,,NO
MSEP,32.09,ETF,ETF,73.0,,,,0.16,2026-06-25,4100.0,,,NO
SPGM,84.16,ETF,ETF,70.0,32.0,68.0,65.0,-0.69,2026-06-26,2578700.0,1.3121,1.0679,NO
CHRI,87.21,ETF,ETF,61.0,28.0,68.0,56.0,0.29,2026-06-25,11300.0,1.1282,0.5784,NO
ACMM,27.76,ETF,ETF,54.0,,,,11.46,2026-06-25,2600.0,,,NO
IFLR,52.83,ETF,ETF,53.0,54.0,51.0,53.0,1.09,2026-06-25,228200.0,0.7034,0.5744,NO
ENTL,11.19,ETF,ETF,53.0,,,,12.55,2026-06-25,4500.0,,,NO
SMIN,70.14,ETF,ETF,47.0,79.0,77.0,37.0,0.14,2026-06-26,1488100.0,1.13,0.7429,NO
SSCP,25.93,ETF,ETF,46.0,76.0,,,0.51,2026-06-26,11000.0,0.31,0.2079,NO
FOXY,29.67,ETF,ETF,45.0,68.0,20.0,50.0,-1.57,2026-06-25,1249000.0,0.3629,0.2824,NO
NICO,25.76,ETF,ETF,40.0,33.0,,,0.39,2026-06-26,23200.0,0.3757,0.1479,NO
GAID,24.68,ETF,ETF,38.0,52.0,58.0,,0.57,2026-06-25,6000.0,0.1558,0.0296,NO
MAUG,32.39,ETF,ETF,36.0,48.0,,,0.12,2026-06-25,4100.0,0.0607,0.0021,NO
KCAI,31.79,ETF,ETF,35.0,36.0,38.0,55.0,0.96,2026-06-25,260300.0,0.3261,0.0961,NO
JELM,25.26,ETF,ETF,34.0,42.0,,,0.04,2026-06-25,503700.0,0.0957,0.085,NO
PRXI,24.47,ETF,ETF,33.0,,,,-0.37,2026-06-26,25500.0,,,NO
SMCP,24.77,ETF,ETF,32.0,73.0,,,-0.08,2026-06-26,13000.0,0.3321,0.195,NO
LSCP,25.17,ETF,ETF,30.0,,,,0.08,2026-06-26,1987600.0,,,NO
LSTB,25.15,ETF,ETF,30.0,,,,0.0,2026-06-26,2040600.0,,,NO
DFAL,49.56,ETF,ETF,30.0,,,,0.36,2026-06-25,1000.0,,,NO
JUDB,25.41,ETF,ETF,28.0,32.0,,,-0.08,2026-06-22,9800.0,0.2214,0.1321,NO
PRAB,25.03,ETF,ETF,28.0,46.0,27.0,,0.0,2026-06-25,213400.0,0.0214,0.0079,NO
BKLG,24.37,ETF,ETF,25.0,,,,-0.73,2026-06-25,400.0,,,NO
SSS,19.63,ETF,ETF,23.0,22.0,51.0,,1.09,2026-06-26,86200.0,0.2786,0.0764,NO
HPEL,11.97,ETF,ETF,12.0,,,,-0.86,2026-06-25,38600.0,,,NO
UMCX,23.87,ETF,ETF,10.0,,,,-16.88,2026-06-26,13300.0,,,NO
MCHG,11.29,ETF,ETF,9.0,,,,-7.6,2026-06-26,29900.0,,,NO
SMTG,10.81,ETF,ETF,9.0,,,,-11.69,2026-06-26,5100.0,,,NO
MSFL,14.64,ETF,ETF,5.0,5.0,18.0,3.0,2.34,2026-06-26,5290800.0,1.0239,0.9175,NO
MPG,5.48,ETF,ETF,4.0,1.0,11.0,7.0,-5.82,2026-06-26,468200.0,0.7071,0.6566,NO
PAAU,12.04,ETF,ETF,2.0,1.0,3.0,,1.19,2026-06-26,90200.0,1.2414,0.9993,NO
MSR,11.84,ETF,ETF,1.0,0.0,,,0.16,2026-06-26,2700.0,0.8843,0.2507,NO
ONX,10.89,ETF,ETF,1.0,,,,-30.65,2026-06-26,453200.0,3.61,2.2014,NO
ONG,6.92,ETF,ETF,0.0,,,,-34.51,2026-06-26,427400.0,2.1564,1.2914,NO
