Rank,Ticker,Type,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,Latest Volume,9M+ Volume,History_Days,Gap (%),HVE,HVE Date,HVE Volume,IPO,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,SMA50,SMA200,SMA10W,SMA30W
91,UNHU,ETF,57.13,57022,ETF,ETF,97.0,76.0,97.0,,57022,NO,78,0.0,YES,2026-07-16,57022.0,NO,2.6286,1.6479,5286.0,2240.0,66.92,22.15,0,52.13,,53.44,
2282,ORCZ,ETF,26.07,22672,ETF,ETF,65.0,,,,22672,NO,2,5.59,YES,2026-07-16,22672.0,NO,,,3000.0,3000.0,26.11,23.05,0,,,,
3847,HELO,ETF,68.14,5359190,ETF,ETF,42.0,57.0,47.0,40.0,5359190,NO,700,0.0,YES,2026-07-16,5359190.0,NO,0.3761,0.3526,317796.0,237620.0,68.4,62.64,0,67.72,66.42,67.72,66.78
3993,CVGD,ETF,25.93,7792,ETF,ETF,40.0,70.0,,,7792,NO,41,0.0,YES,2026-07-16,7792.0,NO,0.1942,0.0478,920.0,930.0,26.3,24.77,0,,,,
4479,CHYG,ETF,25.09,230008,ETF,ETF,33.0,54.0,,,230008,NO,29,0.0,YES,2026-07-16,230008.0,NO,0.035,0.0157,19835.0,23630.0,25.15,24.91,0,,,,
4494,TRUU,ETF,24.85,359,ETF,ETF,33.0,,,,359,NO,7,0.0,YES,2026-07-16,359.0,NO,,,133.0,133.0,24.98,24.66,0,,,,
4915,OWN,ETF,24.55,39248,ETF,ETF,27.0,38.0,,,39248,NO,30,0.0,YES,2026-07-16,39248.0,NO,0.273,0.1316,3496.0,470.0,25.23,23.42,0,,,,
5000,JLCO,ETF,24.85,7093,ETF,ETF,25.0,,,,7093,NO,2,0.0,YES,2026-07-16,7093.0,NO,,,1714.0,1714.0,25.1,24.85,0,,,,
5011,QFF,ETF,24.73,2115731,ETF,ETF,25.0,,,,2115731,NO,3,0.0,YES,2026-07-16,2115731.0,NO,,,3900.0,3900.0,24.98,24.73,0,,,,
5402,RMIF,ETF,24.2,397129,ETF,ETF,19.0,48.0,32.0,20.0,397129,NO,777,0.0,YES,2026-07-16,397129.0,NO,0.0315,0.0167,8288.0,32480.0,25.18,24.11,0,24.22,24.6,24.21,24.45
5607,TDCL,ETF,20.54,626,ETF,ETF,16.0,,,,626,NO,3,0.0,YES,2026-07-16,626.0,NO,,,159.0,159.0,21.79,20.54,0,,,,
6040,EGGY,ETF,33.52,180630,ETF,ETF,10.0,2.0,16.0,14.0,180630,NO,387,0.0,YES,2026-07-16,180630.0,NO,2.5874,2.0673,71200.0,110840.0,45.95,29.14,0,40.08,36.94,39.5,36.08
6286,SOFC,ETF,21.39,106,ETF,ETF,6.0,,,,106,NO,5,0.0,YES,2026-07-16,106.0,NO,,,9635.0,9635.0,25.47,21.05,0,,,,
6396,BTDL,ETF,20.88,8100,ETF,ETF,5.0,,,,8100,NO,3,0.0,YES,2026-07-16,8100.0,NO,,,2479.0,2479.0,27.37,20.75,0,,,,
6531,UUUC,ETF,18.39,233,ETF,ETF,3.0,,,,233,NO,5,0.0,YES,2026-07-16,233.0,NO,,,9484.0,9484.0,25.88,18.39,0,,,,
6681,SKHU,ETF,18.42,3553324,ETF,ETF,1.0,,,,3553324,NO,3,0.0,YES,2026-07-16,3553324.0,NO,,,2159950.0,2159950.0,31.03,18.03,0,,,,
6728,STSM,ETF,19.76,162570,ETF,ETF,0.0,82.0,1.0,0.0,162570,NO,164,0.0,YES,2026-07-16,162570.0,NO,1.435,1.2143,15318.0,25270.0,66.08,14.95,0,20.09,,19.93,30.19
