Rank,Ticker,Type,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,Latest Volume,9M+ Volume,History_Days,Gap (%),HVE,HVE Date,HVE Volume,IPO,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,SMA50,SMA200,SMA10W,SMA30W
63,FCEL,Stock,24.0,26456717,Industrials,Electrical Equipment & Parts,98.0,66.0,98.0,97.0,27068400.0,YES,8560,2.65,YES,2026-06-26,27068400.0,NO,3.5721,3.4893,9662059.0,13721000.0,27.69,3.78,1622596224,17.47,10.25,18.85,11.42
109,MANE,Stock,126.89,1235426,Healthcare,Biotechnology,97.0,96.0,96.0,,4047300.0,NO,99,0.0,YES,2026-06-26,4047300.0,NO,7.9707,7.7321,660317.0,995120.0,128.24,32.0,5301297664,98.08,,98.58,
136,STRO,Stock,30.52,2573854,Healthcare,Biotechnology,97.0,73.0,82.0,98.0,2773500.0,NO,1946,0.41,YES,2026-06-26,2773500.0,NO,2.6979,2.65,318075.0,548300.0,43.85,6.7,505729792,32.08,18.55,31.8,22.34
225,GH,Stock,149.22,18770032,Healthcare,Diagnostics & Research,96.0,93.0,95.0,91.0,18770300.0,YES,1941,1.87,YES,2026-06-26,18770300.0,NO,6.8686,6.5314,2553943.0,3990960.0,151.85,40.35,19786561536,111.18,95.82,115.4,104.22
234,LIND,Stock,29.57,4388120,Consumer Cyclical,Travel Services,96.0,97.0,95.0,96.0,4872900.0,NO,3265,0.0,YES,2026-06-26,4872900.0,NO,1.3643,1.2021,822493.0,1338190.0,30.0,11.37,1939792000,21.35,16.7,22.06,18.67
335,LASR,Stock,61.37,5704763,Technology,Semiconductors,94.0,1.0,12.0,93.0,5745800.0,NO,2053,0.0,YES,2026-06-26,5745800.0,NO,5.3168,5.1425,1324941.0,1523400.0,86.95,17.84,3461802240,71.3,50.4,71.06,57.82
352,INTT,Stock,16.62,327101,Technology,Semiconductor Equipment & Materials,94.0,13.0,74.0,97.0,1783600.0,NO,7302,0.0,YES,2026-06-26,1783600.0,NO,1.35,1.2307,355146.0,371810.0,20.0,6.63,208824608,17.32,11.53,17.58,13.04
355,FROG,Stock,87.58,19803660,Technology,Software - Application,94.0,95.0,96.0,87.0,26088500.0,YES,1451,0.08,YES,2026-06-26,26088500.0,NO,4.9771,4.94,2983293.0,4618310.0,89.16,34.05,10607666176,67.65,56.12,71.74,58.55
380,FBYD,Stock,16.03,1781431,Industrials,Conglomerates,94.0,86.0,96.0,17.0,1781500.0,NO,682,0.0,YES,2026-06-26,1781500.0,NO,1.4847,1.4819,118538.0,261620.0,29.02,3.71,785664960,14.56,11.74,14.77,11.59
395,MOD,Stock,255.99,9419951,Consumer Cyclical,Auto Parts,94.0,11.0,77.0,96.0,9421600.0,YES,11030,0.0,YES,2026-06-26,9421600.0,NO,19.1236,17.6479,1296408.0,2161090.0,323.25,86.48,13520313344,269.62,195.25,270.66,213.11
721,ESP,Stock,67.12,318307,Industrials,Electrical Equipment & Parts,90.0,91.0,79.0,92.0,319000.0,NO,11664,0.0,YES,2026-06-26,319000.0,NO,3.1721,3.055,37417.0,62680.0,74.77,36.0,201086288,64.12,51.81,63.61,56.68
724,HONIV,Stock,256.01,7067827,n/a,n/a,90.0,,,,7067800.0,NO,9,0.92,YES,2026-06-26,7067800.0,YES,,,787800.0,787800.0,267.99,180.01,0,,,,
791,FNRN,Stock,17.72,1702796,Financial Services,Banks - Regional,89.0,73.0,62.0,90.0,2154100.0,NO,6911,0.0,YES,2026-06-26,2154100.0,NO,0.5143,0.5021,134958.0,570480.0,18.62,9.24,290732128,17.18,14.16,17.41,15.0
816,FRST,Stock,16.65,1728888,Financial Services,Banks - Regional,88.0,92.0,85.0,86.0,1935500.0,NO,4942,1.59,YES,2026-06-26,1935500.0,NO,0.3871,0.3607,267451.0,379160.0,16.77,9.55,414229024,14.68,12.88,14.89,13.86
972,SNDA,Stock,39.03,700558,Healthcare,Medical Care Facilities,87.0,79.0,83.0,80.0,3873100.0,NO,7206,0.0,YES,2026-06-26,3873100.0,NO,1.6257,1.6071,716217.0,1214790.0,40.22,23.78,1847924352,36.22,32.43,36.63,34.2
1378,NXT,Stock,106.95,27193468,n/a,n/a,82.0,2.0,7.0,77.0,27195700.0,YES,847,0.0,YES,2026-06-26,27195700.0,NO,8.5097,8.139,2644170.0,4791200.0,163.13,51.69,16276002816,125.71,105.21,128.47,113.49
1461,HBNC,Stock,20.29,3426388,Financial Services,Banks - Regional,81.0,88.0,83.0,73.0,3684800.0,NO,6155,0.51,YES,2026-06-26,3684800.0,NO,0.4329,0.42,454006.0,1138790.0,20.31,14.84,1041480960,18.55,17.25,18.73,17.77
1598,HTFL,Stock,35.65,9659723,Healthcare,Health Information Services,79.0,95.0,90.0,76.0,12523600.0,YES,221,0.0,YES,2026-06-26,12523600.0,NO,1.9524,1.9374,1413162.0,2654970.0,41.22,20.13,3074485760,30.58,30.07,30.8,28.59
