Section,Type,Ticker,Price,Relative Strength Percentile,1 Month Ago Percentile,3 Months Ago Percentile,6 Months Ago Percentile,Sector,Industry,Rank
🔹 RS > 95: Leading Stocks,Stock,PTIR,26.21,99,99.0,99.0,99.0,ETF,ETF,7
🔹 RS > 95: Leading Stocks,Stock,SEZL,144.12,99,99.0,99.0,99.0,Financial Services,Credit Services,13
🔹 RS > 95: Leading Stocks,Stock,RKLX,95.11,99,99.0,97.0,99.0,ETF,ETF,19
🔹 RS > 95: Leading Stocks,Stock,ALMU,21.5,99,99.0,99.0,98.0,Technology,Semiconductors,21
🔹 RS > 95: Leading Stocks,Stock,NEON,27.85,99,99.0,99.0,99.0,Technology,Electronic Components,31
🔹 RS > 95: Leading Stocks,Stock,OKLO,74.63,99,99.0,97.0,99.0,Utilities,Utilities - Regulated Electric,33
🔹 RS > 95: Leading Stocks,Stock,RKLB,47.26,99,99.0,99.0,99.0,Industrials,Aerospace & Defense,39
🔹 RS > 95: Leading Stocks,Stock,DAVE,209.82,99,99.0,99.0,99.0,Technology,Software - Application,43
🔹 RS > 95: Leading Stocks,Stock,AGFY,25.54,99,99.0,99.0,99.0,Industrials,Farm & Heavy Construction Machinery,44
🔹 RS > 95: Leading Stocks,Stock,ARQQ,38.0,99,99.0,96.0,98.0,Technology,Software - Infrastructure,53
🔹 RS > 95: Leading Stocks,Stock,SMR,50.47,99,99.0,96.0,99.0,Industrials,Specialty Industrial Machinery,55
🔹 RS > 95: Leading Stocks,Stock,HOOD,103.1,99,99.0,98.0,99.0,Financial Services,Capital Markets,62
🔹 RS > 95: Leading Stocks,Stock,PLTR,159.22,99,99.0,99.0,99.0,Technology,Software - Infrastructure,65
🔹 RS > 95: Leading Stocks,Stock,HSAI,21.04,99,99.0,99.0,99.0,Consumer Cyclical,Auto Parts,78
🔹 RS > 95: Leading Stocks,Stock,ASTS,55.38,99,99.0,99.0,99.0,Technology,Communication Equipment,81
🔹 RS > 95: Leading Stocks,Stock,VRNA,105.15,99,99.0,99.0,98.0,Healthcare,Biotechnology,82
🔹 RS > 95: Leading Stocks,Stock,IONQ,43.48,99,99.0,99.0,99.0,Technology,Computer Hardware,86
🔹 RS > 95: Leading Stocks,Stock,CLS,166.16,98,98.0,96.0,98.0,Technology,Electronic Components,105
🔹 RS > 95: Leading Stocks,Stock,GEV,646.87,98,98.0,98.0,97.0,Industrials,Specialty Industrial Machinery,112
🔹 RS > 95: Leading Stocks,Stock,RBLX,121.5,98,98.0,96.0,96.0,Communication Services,Electronic Gaming & Multimedia,115
🔹 RS > 95: Leading Stocks,Stock,HIMS,57.31,98,98.0,98.0,99.0,Consumer Defensive,Household & Personal Products,117
🔹 RS > 95: Leading Stocks,Stock,IONX,67.78,98,99.0,96.0,98.0,ETF,ETF,118
🔹 RS > 95: Leading Stocks,Stock,APP,365.1,98,98.0,99.0,99.0,Communication Services,Advertising Agencies,133
🔹 RS > 95: Leading Stocks,Stock,GDS,36.6,98,97.0,98.0,98.0,Technology,Information Technology Services,155
🔹 RS > 95: Leading Stocks,Stock,TSAT,25.43,98,97.0,97.0,97.0,Technology,Communication Equipment,159
🔹 RS > 95: Leading Stocks,Stock,AS,37.24,98,98.0,96.0,98.0,Consumer Cyclical,Leisure,164
🔹 RS > 95: Leading Stocks,Stock,TPR,108.04,98,96.0,96.0,96.0,Consumer Cyclical,Luxury Goods,170
🔹 RS > 95: Leading Stocks,Stock,SNWV,37.36,97,97.0,97.0,97.0,Healthcare,Medical Devices,189
🔹 RS > 95: Leading Stocks,Stock,AGX,234.64,97,98.0,98.0,97.0,Industrials,Engineering & Construction,195
🔹 RS > 95: Leading Stocks,Stock,TLN,347.42,97,97.0,97.0,97.0,Utilities,Utilities - Independent Power Producers,196
🔹 RS > 95: Leading Stocks,Stock,NNE,38.74,97,96.0,98.0,99.0,Industrials,Specialty Industrial Machinery,209
🔹 RS > 95: Leading Stocks,Stock,INOD,46.3,97,98.0,99.0,99.0,Technology,Information Technology Services,219
