Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
Leading Stocks (RS > 90),1,CYD,30.91,528662,Consumer Cyclical,Auto Manufacturers,99.0,97.0,96.0,99.0,218475.0,338150.0,32.23,8.61,1159503104.0,No
Leading Stocks (RS > 90),2,BKTI,64.72,149617,Technology,Communication Equipment,98.0,94.0,98.0,97.0,73322.0,101780.0,67.32,17.67,242855312.0,No
Leading Stocks (RS > 90),3,VEON,60.44,565289,Communication Services,Telecom Services,96.0,92.0,97.0,97.0,241530.0,185350.0,62.0,25.92,4236819712.0,No
Leading Stocks (RS > 90),4,TATT,40.09,530933,Industrials,Aerospace & Defense,95.0,93.0,97.0,97.0,228025.0,236650.0,41.0,14.44,517296224.0,No
Leading Stocks (RS > 90),5,LTM,45.2,1181616,Industrials,Airlines,95.0,94.0,94.0,92.0,724993.0,890050.0,45.35,23.59,13766487040.0,No
Leading Stocks (RS > 90),6,OPOF,41.67,42982,Financial Services,Banks - Regional,95.0,96.0,98.0,97.0,28559.0,23430.0,42.13,17.02,212633664.0,No
Leading Stocks (RS > 90),7,CCRD,27.27,211801,Technology,Software - Application,94.0,96.0,97.0,95.0,90908.0,92470.0,31.99,12.12,212482608.0,No
Leading Stocks (RS > 90),8,ASA,34.7,137509,Financial Services,Asset Management,94.0,92.0,96.0,95.0,84762.0,171180.0,35.6,18.51,656189888.0,No
"Top Movers (RS ≥ 85, Improving)",1,BLBD,58.47,854485,Industrials,Farm & Heavy Construction Machinery,94.0,57.0,34.0,9.0,503085.0,1103130.0,60.45,30.04,1854753536.0,No
"Top Movers (RS ≥ 85, Improving)",2,KE,27.32,607245,Industrials,Electrical Equipment & Parts,95.0,74.0,23.0,16.0,167401.0,225000.0,27.91,12.41,666560128.0,No
"Top Movers (RS ≥ 85, Improving)",3,SPNS,42.69,2270753,Technology,Software - Application,94.0,38.0,24.0,16.0,617982.0,2949460.0,42.76,23.69,2386396416.0,No
"Top Movers (RS ≥ 85, Improving)",4,ASMB,25.79,93311,Healthcare,Biotechnology,97.0,93.0,38.0,19.0,51146.0,158200.0,26.24,7.75,401136800.0,No
"Top Movers (RS ≥ 85, Improving)",5,ORA,92.03,817686,Utilities,Utilities - Renewable,90.0,85.0,42.0,18.0,510793.0,573500.0,92.07,61.58,5564575232.0,No
"Top Movers (RS ≥ 85, Improving)",6,WLDN,109.53,816963,Industrials,Engineering & Construction,99.0,98.0,96.0,37.0,338183.0,652370.0,121.0,30.43,1606268416.0,No
