Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
Leading Stocks (RS > 90),1,PVLA,76.53,379589,Healthcare,Biotechnology,99.0,99.0,98.0,97.0,160017.0,124590.0,83.0,11.17,846366272.0,No
Leading Stocks (RS > 90),2,CMPO,20.72,3804805,Industrials,Metal Fabrication,93.0,92.0,96.0,95.0,907846.0,399220.0,26.78,9.24,2121285376.0,No
Leading Stocks (RS > 90),3,LQDA,24.76,5905367,Healthcare,Biotechnology,94.0,95.0,95.0,91.0,2700275.0,2022470.0,29.94,9.71,2134207232.0,No
"Top Movers (RS ≥ 85, Improving)",1,PRAX,177.29,1384908,Healthcare,Biotechnology,99.0,27.0,11.0,2.0,789621.0,860470.0,206.71,26.7,4412770816.0,No
"Top Movers (RS ≥ 85, Improving)",2,RCUS,20.1,2007116,Healthcare,Biotechnology,96.0,88.0,7.0,3.0,1081564.0,1781240.0,22.11,6.5,2170268160.0,No
"Top Movers (RS ≥ 85, Improving)",3,RHLD,140.53,230809,Industrials,Specialty Business Services,99.0,97.0,94.0,11.0,63076.0,49780.0,148.57,24.22,1198161152.0,No
"Top Movers (RS ≥ 85, Improving)",4,AMKR,37.99,8260183,Technology,Semiconductor Equipment & Materials,95.0,88.0,49.0,7.0,2542965.0,3551110.0,38.22,14.03,9385934848.0,No
"Top Movers (RS ≥ 85, Improving)",5,CSIQ,22.89,7368427,Technology,Solar,97.0,83.0,43.0,14.0,2232700.0,3803310.0,24.7,6.57,1532994688.0,No
"Top Movers (RS ≥ 85, Improving)",6,MTSR,61.12,3617786,Healthcare,Biotechnology,97.0,96.0,81.0,20.0,2219337.0,2146970.0,66.1,12.3,6432030720.0,No
"Top Movers (RS ≥ 85, Improving)",7,TWN,57.41,22759,Financial Services,Asset Management,90.0,89.0,87.0,17.0,14781.0,18290.0,59.89,26.45,365856640.0,No
