Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
Leading Stocks (RS > 90),1,ASTC,29.43,43987368,Technology,Scientific & Technical Instruments,99.0,99.0,99.0,99.0,4469208.0,14596740.0,35.8,1.92,51766016.0,No,,3.79,3.84,5.6,3.98
Leading Stocks (RS > 90),2,UMAC,29.6,47832627,Technology,Computer Hardware,98.0,99.0,98.0,99.0,4869760.0,5298330.0,32.0,4.81,1414700160.0,No,,14.98,13.33,15.8,13.92
Leading Stocks (RS > 90),3,VSAT,86.69,3512645,Technology,Communication Equipment,99.0,97.0,97.0,98.0,1723185.0,2341750.0,89.78,8.61,11775224832.0,No,2026-05-28,61.56,43.17,64.72,48.51
Leading Stocks (RS > 90),4,BRUN,32.91,2605265,Technology,Software - Infrastructure,98.0,99.0,99.0,98.0,780845.0,2088060.0,34.61,10.13,2021617536.0,No,,16.74,12.93,18.71,14.04
Leading Stocks (RS > 90),5,LUNR,45.7,23240988,Industrials,Aerospace & Defense,99.0,98.0,99.0,99.0,14732178.0,20045460.0,46.75,7.78,7332670464.0,No,,26.58,16.66,29.06,19.97
Leading Stocks (RS > 90),6,TTMI,187.79,3287382,Technology,Electronic Components,99.0,95.0,97.0,98.0,2125700.0,2647170.0,200.68,29.26,19502002176.0,No,,135.18,87.2,145.1,103.85
Leading Stocks (RS > 90),7,VPG,125.25,544908,Technology,Scientific & Technical Instruments,99.0,99.0,99.0,99.0,363001.0,913500.0,131.68,24.89,1665950208.0,No,,65.03,44.48,71.39,51.25
Leading Stocks (RS > 90),8,IMOS,66.99,209789,Technology,Semiconductors,98.0,97.0,95.0,98.0,75332.0,89500.0,67.25,15.06,2329302784.0,No,,45.79,32.09,48.08,38.46
Leading Stocks (RS > 90),9,RDW,25.9,80730017,Industrials,Aerospace & Defense,98.0,99.0,99.0,99.0,29668198.0,66893410.0,26.62,4.87,5151994880.0,No,,11.25,9.24,12.51,9.84
Leading Stocks (RS > 90),10,VSH,52.24,7752980,Technology,Semiconductors,98.0,99.0,99.0,99.0,3453924.0,7010730.0,53.6,11.77,7110168576.0,No,,28.25,19.25,31.27,21.44
Leading Stocks (RS > 90),11,MRVL,204.83,52361036,Technology,Semiconductors,98.0,95.0,98.0,98.0,26760106.0,30576210.0,218.26,58.61,179339558912.0,No,,144.33,97.81,154.76,108.11
Leading Stocks (RS > 90),12,STRL,842.96,1070767,Industrials,Engineering & Construction,98.0,98.0,97.0,98.0,551727.0,571650.0,893.13,183.4,25867032576.0,No,,572.87,405.41,604.6,442.41
Leading Stocks (RS > 90),13,SMTC,166.33,4815486,Technology,Semiconductors,98.0,98.0,97.0,97.0,2855585.0,4234980.0,172.36,34.59,15487735808.0,No,,106.66,80.85,114.79,90.22
Leading Stocks (RS > 90),14,ACMR,92.86,2196190,Technology,Semiconductor Equipment & Materials,98.0,98.0,96.0,98.0,1359036.0,2168120.0,93.9,21.87,6417507328.0,No,,54.38,44.87,57.73,50.06
Leading Stocks (RS > 90),15,DELL,317.05,13096795,Technology,Computer Hardware,97.0,97.0,99.0,98.0,7728662.0,6820810.0,327.73,106.38,205945602048.0,No,2026-05-28,210.42,152.86,226.15,162.86
Leading Stocks (RS > 90),16,COHU,54.05,1651376,Technology,Semiconductor Equipment & Materials,97.0,92.0,97.0,97.0,1069277.0,1435920.0,55.2,16.95,2549827584.0,No,,41.22,28.69,43.05,32.1
Leading Stocks (RS > 90),17,ARM,335.27,14266974,Technology,Semiconductors,97.0,98.0,99.0,98.0,9163101.0,12146310.0,349.42,100.02,356745314304.0,No,,193.94,149.79,211.91,153.1
Leading Stocks (RS > 90),18,GFS,80.63,9387481,Technology,Semiconductors,96.0,95.0,96.0,97.0,4831654.0,7462520.0,92.55,31.51,44218818560.0,No,,59.5,43.34,62.85,47.86
Leading Stocks (RS > 90),19,POWI,87.07,1773388,Technology,Semiconductors,96.0,95.0,97.0,98.0,1153345.0,1584830.0,88.17,30.86,4851538944.0,No,,63.49,47.36,66.63,49.68
Leading Stocks (RS > 90),20,MOV,35.59,418737,Consumer Cyclical,Luxury Goods,94.0,94.0,93.0,95.0,161072.0,227980.0,35.78,14.71,791067200.0,No,,26.83,22.17,27.72,24.03
Leading Stocks (RS > 90),21,DGII,68.22,457304,Technology,Communication Equipment,94.0,93.0,93.0,94.0,299506.0,358610.0,69.81,30.69,2572044032.0,No,,56.44,44.9,58.26,48.93
Leading Stocks (RS > 90),22,WILC,36.45,8293,Consumer Defensive,Food Distribution,93.0,91.0,94.0,91.0,3032.0,2560.0,36.9,15.2,507759808.0,No,,30.54,26.02,31.47,28.55
Leading Stocks (RS > 90),23,PDEX,67.5,46371,Healthcare,Medical Instruments & Supplies,93.0,95.0,95.0,96.0,28632.0,36720.0,68.26,23.47,215511232.0,No,,53.76,42.11,55.55,45.08
Leading Stocks (RS > 90),24,NVEC,100.86,159192,Technology,Semiconductors,91.0,94.0,94.0,94.0,83340.0,168150.0,110.03,57.21,487900832.0,No,,79.97,70.07,83.51,71.86
