Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
Leading Stocks (RS > 90),1,TWIN,24.19,1244106,Industrials,Specialty Industrial Machinery,94.0,97.0,94.0,91.0,72783.0,98490.0,24.48,8.03,348888192,NO,18.42,16.58,18.91,17.43
Leading Stocks (RS > 90),2,NVCT,27.19,1277225,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,127138.0,355110.0,28.37,5.55,721229248,NO,11.32,8.4,12.15,9.56
Leading Stocks (RS > 90),3,BIOA,23.76,2632171,Healthcare,Drug Manufacturers - Specialty & Generic,97.0,97.0,91.0,94.0,446216.0,654550.0,24.93,4.07,1056196992,NO,17.83,14.35,18.05,17.56
Leading Stocks (RS > 90),4,TNGX,31.47,15371009,Healthcare,Biotechnology,98.0,98.0,94.0,98.0,3864396.0,5865100.0,34.39,4.8,5123777024,NO,25.09,14.91,24.31,17.54
Leading Stocks (RS > 90),5,DFTX,44.95,9633533,Healthcare,Biotechnology,98.0,98.0,97.0,98.0,2570140.0,5742570.0,47.01,6.4,5966809600,NO,24.06,16.9,25.15,19.44
Leading Stocks (RS > 90),6,CDNL,92.0,1530823,Industrials,Engineering & Construction,98.0,98.0,97.0,98.0,529093.0,808770.0,93.72,21.98,1407239680,NO,57.86,,61.25,
Leading Stocks (RS > 90),7,ORKA,90.6,4732649,Healthcare,Biotechnology,98.0,98.0,97.0,97.0,1686782.0,1652170.0,91.12,10.83,5464275968,NO,66.87,40.45,67.02,47.44
Leading Stocks (RS > 90),8,AIP,43.29,2552399,Technology,Semiconductors,98.0,91.0,97.0,97.0,912238.0,1024260.0,45.3,8.42,1998785280,NO,33.5,19.46,35.64,22.84
Leading Stocks (RS > 90),9,ICHR,94.0,2556128,Technology,Semiconductor Equipment & Materials,98.0,96.0,96.0,98.0,1002627.0,1146800.0,101.65,13.12,3277502976,NO,73.57,39.99,76.69,49.88
Leading Stocks (RS > 90),10,LIND,29.57,4388120,Consumer Cyclical,Travel Services,96.0,96.0,94.0,96.0,755866.0,899830.0,30.0,11.29,1939792000,NO,21.35,16.7,22.06,18.67
Leading Stocks (RS > 90),11,SYRE,87.89,3406107,Healthcare,Biotechnology,98.0,94.0,96.0,97.0,1339054.0,2027650.0,102.06,14.0,7632477696,NO,75.95,42.77,76.73,51.92
