Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Semiconductor Equipment & Materials,92,86,85,89
🔹 RS > 80: Leading Sectors,Semiconductors,90,93,89,81
🔹 RS > 80: Leading Sectors,Trucking,82,82,84,86
🔸 RS ≥ 75: Top Moving Sectors,Electronic Components,82,80,77,76
🔹 RS ≥ 80: Breakout Sectors,Uranium,89,77,21,54
🔹 RS ≥ 80: Breakout Sectors,Copper,88,31,14,76
🔹 RS ≥ 80: Breakout Sectors,Other Precious Metals & Mining,85,22,25,78
🔹 RS ≥ 80: Breakout Sectors,Gold,85,17,32,80
🔹 RS ≥ 80: Breakout Sectors,Real Estate - Diversified,84,15,36,90
🕵️ Improving Watchlist (RS < 75),Apparel Manufacturing,69,66,65,64
🕵️ Improving Watchlist (RS < 75),Utilities - Renewable,64,55,50,47
