Rank,Ticker,Price,Sector,Industry,Relative Strength Percentile,Consistency Score
1,RGTI,15.65,Technology,Computer Hardware,99,99.0
3,TGEN,8.15,Industrials,Electrical Equipment & Parts,99,99.0
5,CRCL,190.18,Financial Services,Capital Markets,99,99.0
6,PTIR,26.21,ETF,ETF,99,99.0
8,DBVT,10.22,Healthcare,Biotechnology,99,99.0
12,DGNX,56.28,Industrials,Consulting Services,99,99.0
13,MNPR,47.0,Healthcare,Biotechnology,99,99.0
14,SEZL,144.12,Financial Services,Credit Services,99,99.0
16,TSSI,28.53,Technology,Information Technology Services,99,99.0
29,NEON,27.85,Technology,Electronic Components,99,99.0
30,PSIX,89.27,Industrials,Specialty Industrial Machinery,99,99.0
35,NUTX,94.07,Healthcare,Medical Care Facilities,99,99.0
37,UMAC,11.64,Technology,Computer Hardware,99,99.0
39,RKLB,47.26,Industrials,Aerospace & Defense,99,99.0
41,DAVE,209.82,Technology,Software - Application,99,99.0
42,YI,7.38,Healthcare,Medical Distribution,99,99.0
46,AGFY,25.54,Industrials,Farm & Heavy Construction Machinery,99,99.0
52,KC,15.55,Technology,Software - Application,99,99.0
61,CNVS,5.85,Communication Services,Entertainment,99,99.0
63,PDYN,10.24,Technology,Software - Infrastructure,99,99.0
