Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
16,MXL,94.86,4850200.0,Technology,Semiconductors,99.0,99.0,99.0,99.0,3489026.0,5338410.0,104.27,10.96,8494329856.0,No,,41.98,23.08,52.3,28.9
27,ABVX,113.73,1100498.0,Healthcare,Biotechnology,99.0,48.0,16.0,47.0,945300.0,918510.0,148.83,5.59,9017786368.0,No,,117.3,107.32,117.07,118.25
45,BAND,53.88,931481.0,Technology,Software - Infrastructure,99.0,99.0,99.0,99.0,739347.0,1136050.0,57.43,12.5,1725092608.0,No,,27.1,17.98,31.62,20.26
50,MU,698.74,61031215.0,Technology,Semiconductors,99.0,99.0,97.0,99.0,44973352.0,58230010.0,818.67,90.93,787992870912.0,No,,498.65,312.96,523.12,389.79
57,INTC,110.8,145931345.0,Technology,Semiconductors,99.0,99.0,99.0,99.0,116102537.0,157188310.0,132.75,18.97,556880822272.0,No,,72.1,45.69,79.49,54.52
86,HUT,93.31,5228906.0,Financial Services,Capital Markets,99.0,95.0,97.0,98.0,4920596.0,6802570.0,112.26,14.74,10506156032.0,No,,69.87,49.79,73.21,57.18
89,TTMI,161.41,2080233.0,Technology,Electronic Components,99.0,97.0,97.0,98.0,2029091.0,2135380.0,180.0,28.12,16762437632.0,No,,124.33,82.98,132.63,98.88
99,SYRE,66.62,1346401.0,Healthcare,Biotechnology,98.0,16.0,98.0,99.0,1118216.0,1184450.0,78.8,13.93,5785364480.0,No,,59.58,34.59,61.61,42.36
101,WOLF,58.83,5803090.0,Technology,Semiconductors,98.0,99.0,99.0,99.0,4475170.0,13634570.0,73.74,8.05,2843788288.0,No,,28.83,,33.36,23.54
102,VPG,97.95,1038721.0,Technology,Scientific & Technical Instruments,98.0,99.0,99.0,99.0,300093.0,708150.0,108.0,24.89,1302832896.0,No,,56.23,41.81,61.34,47.79
108,ICHR,64.58,1517427.0,Technology,Semiconductor Equipment & Materials,98.0,60.0,94.0,99.0,857147.0,1179220.0,78.0,13.12,2244175104.0,No,,58.75,32.34,61.1,38.7
109,VSAT,70.95,2004420.0,Technology,Communication Equipment,98.0,91.0,96.0,97.0,1583249.0,1575900.0,75.14,8.61,9637237760.0,No,2026-05-19,57.74,41.53,60.33,46.82
112,SIMO,252.92,1919642.0,Technology,Semiconductors,98.0,99.0,98.0,99.0,774770.0,1204520.0,273.9,60.35,8575969792.0,No,,162.46,114.35,176.86,129.93
113,RKLB,127.31,29875828.0,Industrials,Aerospace & Defense,98.0,98.0,97.0,98.0,23880500.0,33535070.0,138.38,23.92,73680781312.0,No,,81.58,65.77,86.48,73.45
114,BKSY,45.17,2324550.0,Industrials,Specialty Business Services,98.0,96.0,98.0,99.0,1988362.0,3145130.0,45.5,9.88,1676214528.0,No,,32.7,23.71,34.46,25.25
137,SILC,42.57,144000.0,Technology,Communication Equipment,98.0,98.0,99.0,99.0,91696.0,208720.0,52.58,13.34,242910464.0,No,,29.0,19.75,32.02,21.67
152,ENLT,85.42,214479.0,Utilities,Utilities - Renewable,98.0,78.0,88.0,98.0,166690.0,195860.0,96.0,16.87,11900783616.0,No,,79.64,51.28,80.45,60.83
153,SITM,693.66,1016490.0,Technology,Semiconductors,98.0,97.0,97.0,98.0,466090.0,618890.0,901.81,186.49,18310422528.0,No,,496.98,360.19,535.32,412.09
155,STRL,728.29,821073.0,Industrials,Engineering & Construction,98.0,99.0,98.0,98.0,565354.0,920320.0,893.13,176.15,22348273664.0,No,,529.88,391.07,560.0,426.75
176,GSAT,81.78,1557510.0,Communication Services,Telecom Services,98.0,73.0,95.0,87.0,1394386.0,1257590.0,83.0,17.91,10532358144.0,No,,73.55,56.01,76.32,66.04
179,MRVL,176.27,24849463.0,Technology,Semiconductors,98.0,95.0,99.0,97.0,24790065.0,24774820.0,192.15,58.61,154333757440.0,No,,131.45,94.18,141.06,103.74
180,PENG,46.27,3073190.0,Technology,Information Technology Services,98.0,99.0,99.0,98.0,1940552.0,4880470.0,53.27,16.04,2431958528.0,No,,27.29,23.19,30.39,23.33
186,FLEX,126.29,5870713.0,Technology,Electronic Components,98.0,98.0,98.0,97.0,4445465.0,9251500.0,147.34,40.15,46433538048.0,No,,87.53,67.08,94.3,73.28
192,AMBQ,71.14,1073478.0,Technology,Semiconductors,98.0,99.0,99.0,99.0,492554.0,1077060.0,73.72,22.12,1520671104.0,No,,36.07,32.62,40.19,32.88
197,FIX,1825.5,513915.0,Industrials,Engineering & Construction,97.0,89.0,95.0,97.0,434016.0,410350.0,2073.99,452.04,64262025216.0,No,,1639.59,1131.09,1674.78,1294.17
201,SMTC,134.79,3233367.0,Technology,Semiconductors,97.0,97.0,96.0,97.0,2487757.0,2810110.0,149.13,34.59,12550903808.0,No,,98.2,77.7,103.32,86.21
212,KLIC,97.62,1117946.0,Technology,Semiconductor Equipment & Materials,97.0,94.0,95.0,98.0,691916.0,1172880.0,107.01,31.21,5108735488.0,No,,79.4,55.31,82.84,63.46
219,LQDA,59.98,1552543.0,Healthcare,Drug Manufacturers - Specialty & Generic,97.0,99.0,97.0,98.0,1469444.0,2296580.0,60.54,11.85,5333906944.0,No,,40.69,32.82,42.18,36.85
220,MTSI,358.98,1749179.0,Technology,Semiconductors,97.0,97.0,95.0,98.0,1223539.0,1829370.0,401.25,118.16,27388657664.0,No,,271.81,195.22,288.41,227.16
229,AXGN,42.69,1291950.0,Healthcare,Medical Devices,97.0,93.0,90.0,96.0,1058765.0,795780.0,45.83,9.22,2270161152.0,No,,36.41,27.58,37.52,32.93
