Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
50,VPG,139.52,599678.0,Technology,Scientific & Technical Instruments,99.0,98.0,99.0,99.0,12.6407,12.3371,435436.0,599660.0,145.03,25.49,,1855755520,No,83.8,49.98,88.46,57.65
54,INTC,124.57,148537475.0,Technology,Semiconductors,99.0,73.0,99.0,99.0,9.8964,8.4036,129271295.0,133155080.0,132.75,18.97,,626088804352,No,95.69,53.5,100.5,62.31
59,ICHR,86.8,1123980.0,Technology,Semiconductor Equipment & Materials,99.0,94.0,98.0,99.0,6.867,6.4312,950338.0,1231290.0,88.1,13.12,,3026460160,No,67.47,36.96,69.65,44.48
62,VSH,59.38,7749398.0,Technology,Semiconductors,99.0,99.0,99.0,99.0,6.5207,6.1229,5011523.0,10741150.0,66.65,11.77,,8081964032,No,37.26,21.64,39.35,24.4
69,MRVL,279.7,40774345.0,Technology,Semiconductors,99.0,99.0,99.0,99.0,33.5836,27.9143,34943947.0,77480270.0,324.2,61.44,,244681572352,No,183.0,108.52,188.9,120.31
77,AIP,41.0,1357425.0,Technology,Semiconductors,99.0,93.0,99.0,98.0,2.9046,2.7941,840968.0,1001220.0,41.56,8.01,,1893051392,No,29.71,18.12,31.02,20.82
104,ATEX,82.5,977485.0,Communication Services,Telecom Services,98.0,99.0,98.0,99.0,5.5449,5.406,365285.0,545090.0,88.12,17.58,,1560427392,No,53.54,32.53,56.25,37.96
115,ARM,380.81,16297928.0,Technology,Semiconductors,98.0,99.0,99.0,98.0,40.4589,34.7274,10757019.0,12977150.0,427.99,100.02,,406735093760,No,243.0,162.27,256.76,168.09
123,VECO,77.48,1909606.0,Technology,Semiconductor Equipment & Materials,98.0,97.0,99.0,98.0,5.2371,5.0479,1446649.0,1817410.0,78.6,19.29,,4728874496,No,53.44,35.94,55.62,39.33
136,ELVR,84.51,135618.0,Basic Materials,Other Industrial Metals & Mining,98.0,15.0,96.0,97.0,4.8859,3.3828,96477.0,79940.0,101.5,15.54,,1531443072,No,81.53,,84.53,61.71
138,LQDA,71.23,1686207.0,Healthcare,Drug Manufacturers - Specialty & Generic,98.0,96.0,98.0,98.0,4.3729,4.1764,1463184.0,2325850.0,72.71,11.85,,6334348800,No,49.42,36.06,50.86,40.76
143,VSAT,70.17,3551755.0,Technology,Communication Equipment,98.0,31.0,94.0,97.0,7.1986,6.7071,2120868.0,3258340.0,89.79,12.4,,9583043584,No,66.49,45.52,67.83,50.49
145,CDNL,68.73,619164.0,Industrials,Engineering & Construction,98.0,96.0,98.0,,5.0123,4.9309,497031.0,542120.0,69.29,21.98,,1051086848,No,52.43,,53.64,
154,ACMR,93.95,2244472.0,Technology,Semiconductor Equipment & Materials,98.0,98.0,98.0,98.0,9.3649,8.4396,1412403.0,1652090.0,99.45,23.03,,6492836352,No,63.8,48.13,66.06,53.44
162,AMKR,82.78,7453420.0,Technology,Semiconductor Equipment & Materials,98.0,89.0,97.0,96.0,6.8021,6.1664,4664787.0,5963420.0,83.3,19.79,,20518885376,No,68.55,46.55,70.45,53.23
167,FLEX,149.71,5067205.0,Technology,Electronic Components,98.0,75.0,98.0,97.0,9.7936,8.9807,5014231.0,5197750.0,166.86,43.15,,54850441216,No,115.53,75.29,120.66,82.4
189,AMAT,567.25,7474715.0,Technology,Semiconductor Equipment & Materials,98.0,97.0,96.0,97.0,33.5457,28.7657,7228646.0,9799360.0,569.95,154.47,,450373484544,No,427.21,309.24,437.71,352.49
