Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
4,SNDK,2090.71,16567766,Technology,Computer Hardware,98.0,97.0,98.0,98.0,217.247,166.3588,14124222.0,11391130.0,2354.39,40.1,309612740608,NO,1521.57,664.52,1613.54,889.09,343,-7.07,16799100.0,YES,NO,2025-11-26,43000900.0
17,AGL,119.25,637506,Healthcare,Medical Care Facilities,98.0,95.0,98.0,98.0,10.4024,10.3402,430630.0,311700.0,119.25,7.48,1989541504,NO,71.33,31.96,80.12,38.2,1305,-0.4,386500.0,NO,NO,2025-08-05,7008856.0
19,MXL,96.6,7470681,Technology,Semiconductors,98.0,22.0,98.0,98.0,9.1857,8.5364,4757322.0,3001100.0,106.28,12.77,8650139648,NO,79.04,32.65,87.25,41.4,4090,-4.54,8184900.0,NO,NO,2026-04-24,29044000.0
28,MU,1132.33,84431604,Technology,Semiconductors,98.0,95.0,98.0,98.0,107.1914,78.6764,51577108.0,56595390.0,1255.0,103.38,1278845648896,NO,802.14,425.84,834.43,522.55,10599,-6.14,86115000.0,YES,NO,2013-10-11,153906100.0
51,ORKA,90.6,4732649,Healthcare,Biotechnology,98.0,98.0,97.0,97.0,5.5093,4.8657,1686782.0,1652170.0,91.12,10.83,5464275968,NO,66.87,40.45,67.02,47.44,7265,-1.26,4732900.0,NO,NO,2026-04-29,7921000.0
52,VICR,326.93,4158203,Technology,Electronic Components,98.0,19.0,97.0,98.0,28.155,24.7329,833496.0,678390.0,369.4,41.76,14901928960,NO,288.65,162.4,290.8,197.91,9124,-3.64,4158400.0,NO,NO,2023-07-26,4839800.0
59,ICHR,94.0,2556128,Technology,Semiconductor Equipment & Materials,98.0,96.0,96.0,98.0,8.3821,6.9571,1002627.0,1146800.0,101.65,13.12,3277502976,NO,73.57,39.99,76.69,49.88,2397,8.97,1129100.0,NO,NO,2018-08-24,8215700.0
61,DFTX,44.95,9633533,Healthcare,Biotechnology,98.0,98.0,97.0,98.0,3.4721,2.4921,2570140.0,5742570.0,47.01,6.4,5966809600,NO,24.06,16.9,25.15,19.44,2414,-0.33,8278700.0,NO,NO,2024-03-07,38010300.0
62,LITE,816.98,8542953,Technology,Communication Equipment,98.0,13.0,78.0,96.0,75.9161,70.1493,6018140.0,5477370.0,1085.68,88.37,63561043968,NO,903.65,530.04,896.01,662.09,2748,-4.57,9111900.0,YES,NO,2026-03-20,22868800.0
65,STX,899.9,9175598,Technology,Computer Hardware,98.0,76.0,97.0,98.0,85.5014,73.1136,4143516.0,5243250.0,1145.0,138.3,203604279296,NO,810.4,442.45,833.25,527.84,5922,-3.0,9299000.0,YES,NO,2012-06-29,89629700.0
