Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
11,AGL,115.15,440198,Healthcare,Medical Care Facilities,98.0,96.0,98.0,98.0,11.2228,11.1607,438553.0,354340.0,125.71,7.48,1921137920,NO,74.86,32.85,90.22,41.89,,1307,0.0,440198,NO,NO,2025-08-05,7008856.0
13,MXL,108.47,5419490,Technology,Semiconductors,98.0,88.0,98.0,98.0,9.6086,8.9593,4877716.0,3515040.0,108.65,12.77,9713050624,NO,80.74,33.11,92.07,44.39,,4091,2.22,5419490,NO,NO,2026-04-24,29044000.0
25,MU,1145.28,59870891,Technology,Semiconductors,98.0,95.0,98.0,98.0,109.0629,84.2971,52227241.0,59265000.0,1255.0,103.38,1293471449088,NO,815.9,430.86,899.29,552.82,,10600,0.0,59870891,YES,NO,2013-10-11,153906100.0
27,WDC,651.88,11223777,Technology,Computer Hardware,98.0,95.0,97.0,98.0,67.2136,52.2057,8387270.0,13506670.0,799.87,62.94,224691404800,NO,516.71,283.16,546.82,357.79,,12012,2.38,11223777,YES,NO,2009-06-30,65696343.0
30,BE,275.01,16678048,Industrials,Electrical Equipment & Parts,98.0,16.0,96.0,97.0,33.0493,28.955,11454979.0,16011500.0,351.28,21.52,78224908288,NO,275.0,161.55,279.48,188.26,,1992,8.11,16678048,YES,NO,2024-11-15,64722200.0
31,VICR,366.79,1014560,Technology,Electronic Components,98.0,81.0,97.0,98.0,30.0678,26.6457,887304.0,1040100.0,370.0,41.76,16718804992,NO,291.92,163.98,300.12,206.91,,9125,1.09,1014560,NO,NO,2023-07-26,4839800.0
33,ICHR,105.46,1088750,Technology,Semiconductor Equipment & Materials,98.0,98.0,97.0,98.0,8.9573,7.7709,1049600.0,1358470.0,105.6,13.12,3677079296,NO,75.0,40.82,80.04,52.77,,2399,0.0,1088750,NO,NO,2018-08-24,8215700.0
39,DFTX,46.55,4662724,Healthcare,Biotechnology,98.0,98.0,97.0,98.0,3.5872,2.6072,2738975.0,6726720.0,47.2,6.4,6179198464,NO,25.0,17.26,27.57,20.58,,2416,0.0,4662724,NO,NO,2024-03-07,38010300.0
42,UCTT,130.7,1372990,Technology,Semiconductor Equipment & Materials,98.0,98.0,97.0,98.0,10.5904,8.9111,1158350.0,1478840.0,130.85,21.28,5859065344,NO,90.73,52.6,97.9,66.54,,5600,0.0,1372990,NO,NO,2018-01-02,7165600.0
43,VPG,142.09,693410,Technology,Scientific & Technical Instruments,98.0,90.0,98.0,98.0,12.6707,12.01,478314.0,571140.0,148.39,25.58,1889939072,NO,101.4,55.38,113.21,67.88,,4028,1.38,693410,NO,NO,2026-05-13,1453400.0
46,STX,968.53,5337614,Technology,Computer Hardware,98.0,86.0,97.0,98.0,89.795,77.8886,4256040.0,5897650.0,1145.0,138.3,219131969536,NO,819.14,446.33,871.47,550.84,,5923,1.79,5337614,NO,NO,2012-06-29,89629700.0
53,BAND,60.89,1252615,Technology,Software - Infrastructure,98.0,78.0,98.0,98.0,5.279,5.0476,1186074.0,2150000.0,75.98,12.5,1949533824,NO,50.41,24.13,58.18,29.97,,2168,1.3,1252615,NO,NO,2022-11-02,11116300.0
54,PRAX,350.56,682332,Healthcare,Biotechnology,98.0,37.0,74.0,84.0,19.8536,19.2343,486806.0,731280.0,366.52,37.19,9773182976,NO,315.36,253.62,317.16,310.53,,1430,0.0,682332,NO,NO,2025-10-16,13741900.0
55,AIP,47.36,1378363,Technology,Semiconductors,98.0,96.0,98.0,97.0,3.3301,3.1915,948222.0,1175760.0,47.58,8.42,2186705152,NO,34.47,19.83,37.68,23.82,,1171,1.43,1378363,NO,NO,2025-08-05,21920200.0
59,SIMO,331.94,1463080,Technology,Semiconductors,98.0,93.0,98.0,98.0,28.3693,24.8007,1007174.0,970700.0,355.0,70.12,11255366656,NO,253.17,142.93,279.92,171.84,,5281,0.0,1463080,NO,NO,2023-07-26,17771600.0
61,SYRE,90.16,1898488,Healthcare,Biotechnology,98.0,95.0,96.0,97.0,6.3814,5.2507,1397262.0,2344980.0,102.06,14.0,7829607936,NO,76.36,43.14,78.78,53.81,,2571,0.0,1976673,NO,NO,2023-06-22,10228380.0
64,VSH,56.28,6758126,Technology,Semiconductors,98.0,83.0,98.0,98.0,6.745,5.9443,5893019.0,7424240.0,69.47,11.77,7660035584,NO,44.95,23.88,49.45,28.93,,11665,0.0,6758126,NO,NO,2010-11-04,49052300.0
65,ALAB,455.96,6193428,Technology,Semiconductors,98.0,96.0,98.0,97.0,40.9771,37.5116,6186754.0,7201550.0,456.76,85.85,78155161600,NO,288.5,192.55,323.39,207.59,,570,2.68,6193428,NO,NO,2024-11-05,24756900.0
66,ATEX,98.24,812412,Communication Services,Telecom Services,98.0,98.0,97.0,98.0,7.503,7.3691,410622.0,622360.0,99.2,17.58,1915529856,NO,62.15,35.5,70.17,44.66,,2867,0.11,812412,NO,NO,2020-12-21,3077900.0
70,CDNL,94.31,990115,Industrials,Engineering & Construction,98.0,98.0,97.0,98.0,6.796,6.731,552064.0,929200.0,95.17,21.98,1819813632,NO,59.55,,65.86,43.16,,137,0.0,1011763,NO,NO,2025-12-10,3595800.0
78,ACMR,118.88,2485301,Technology,Semiconductor Equipment & Materials,97.0,96.0,98.0,97.0,10.7134,9.303,1579572.0,2069740.0,120.7,23.03,8215735808,NO,75.07,51.87,83.91,61.26,,2173,7.23,2485301,NO,NO,2024-02-28,12244400.0
81,RVMD,192.62,5299876,Healthcare,Biotechnology,97.0,95.0,96.0,97.0,7.5063,7.2963,3420162.0,3809330.0,192.8,34.0,40950329344,NO,152.1,99.26,157.68,120.21,,1601,0.23,5299876,NO,NO,2025-06-27,26439100.0
