Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
15,SNDK,223.28,13299197.0,Technology,Computer Hardware,98.0,87.0,98.0,98.0,10438530.0,20352280.0,284.76,27.89,32722395136.0,No
23,SLGL,42.42,22835.0,Healthcare,Biotechnology,98.0,92.0,97.0,98.0,18565.0,22960.0,52.26,4.02,118159160.0,No
37,PVLA,102.79,229770.0,Healthcare,Biotechnology,98.0,97.0,97.0,98.0,198369.0,325770.0,106.71,11.17,1216672768.0,No
69,JMIA,12.68,4538218.0,Consumer Cyclical,Internet Retail,98.0,86.0,94.0,98.0,3307436.0,3539350.0,13.14,1.6,1552828672.0,No
82,FBYD,20.42,92212.0,Industrials,Conglomerates,98.0,98.0,98.0,97.0,58046.0,49440.0,22.59,3.62,760600192.0,No
83,ASM,5.6,5602658.0,Basic Materials,Other Precious Metals & Mining,98.0,93.0,90.0,93.0,5316393.0,3497040.0,6.67,0.85,878564288.0,No
90,ARWR,52.7,2479239.0,Healthcare,Biotechnology,97.0,96.0,98.0,97.0,2385231.0,3197720.0,59.15,9.57,7286173184.0,No
126,SYM,83.77,2620710.0,Industrials,Specialty Industrial Machinery,97.0,85.0,97.0,97.0,2253787.0,3527730.0,87.88,16.32,49658216448.0,No
172,AU,85.68,4571241.0,Basic Materials,Gold,97.0,96.0,95.0,94.0,3277622.0,2717260.0,89.19,22.45,43258826752.0,No
197,SVRA,6.29,6539147.0,Healthcare,Biotechnology,96.0,97.0,97.0,97.0,1642853.0,2291530.0,6.37,1.89,1279812736.0,No
213,TGB,5.28,6301424.0,Basic Materials,Copper,96.0,93.0,96.0,96.0,5420573.0,6453120.0,5.3,1.67,1904159872.0,No
215,OESX,15.87,28099.0,Industrials,Electrical Equipment & Parts,96.0,98.0,98.0,96.0,27285.0,51540.0,16.09,5.5,56034908.0,No
253,VZLA,5.07,7273050.0,Basic Materials,Other Industrial Metals & Mining,96.0,95.0,93.0,92.0,4865598.0,11095560.0,5.08,1.67,1744557696.0,No
268,AAUC,21.11,1165040.0,Basic Materials,Gold,95.0,95.0,95.0,88.0,350561.0,530710.0,21.51,6.78,2617640192.0,No
270,GFI,42.89,4257389.0,Basic Materials,Gold,95.0,90.0,91.0,93.0,3826838.0,3268590.0,47.18,12.98,38600040448.0,No
271,ENLT,40.02,39037.0,Utilities,Utilities - Renewable,95.0,92.0,94.0,95.0,27185.0,29950.0,40.65,14.01,5279254528.0,No
279,COHR,164.26,4779505.0,Technology,Scientific & Technical Instruments,95.0,94.0,97.0,95.0,4120744.0,4801850.0,168.57,45.58,25814052864.0,No
288,DIBS,5.71,218383.0,Consumer Cyclical,Internet Retail,95.0,98.0,97.0,95.0,202307.0,648800.0,5.81,2.3,209067936.0,No
291,TBPH,20.3,502312.0,Healthcare,Biotechnology,95.0,97.0,94.0,95.0,448758.0,663440.0,20.33,7.9,1028650304.0,No
319,ERO,25.37,1745916.0,Basic Materials,Copper,95.0,94.0,97.0,93.0,972588.0,828870.0,25.78,9.3,2642391296.0,No
383,PAAS,45.67,7168820.0,Basic Materials,Gold,94.0,96.0,92.0,94.0,6586249.0,5654720.0,45.97,19.8,19274885120.0,No
419,KRMD,5.92,195222.0,Healthcare,Medical Instruments & Supplies,94.0,98.0,93.0,95.0,112307.0,239600.0,5.95,1.86,274230112.0,No
421,PHAR,17.5,28358.0,Healthcare,Biotechnology,94.0,96.0,86.0,91.0,15025.0,17260.0,17.86,7.35,1199008256.0,No
557,BWAY,17.49,148709.0,Healthcare,Medical Devices,92.0,77.0,83.0,92.0,64487.0,52210.0,17.92,7.84,342176672.0,No
569,SEB,4679.57,7546.0,Industrials,Conglomerates,92.0,97.0,87.0,92.0,4680.0,13310.0,4740.0,2365.0,4482798592.0,No
586,KF,34.54,19315.0,Financial Services,Asset Management,92.0,19.0,90.0,90.0,10079.0,17540.0,37.69,18.15,144106032.0,No
597,IHS,7.1,581197.0,Real Estate,Real Estate Services,92.0,77.0,27.0,81.0,528584.0,951220.0,8.0,2.9,2382200576.0,No
625,WILC,25.53,13324.0,Consumer Defensive,Food Distribution,91.0,95.0,90.0,91.0,8341.0,21520.0,26.26,12.54,355463520.0,No
649,HLF,12.73,1905502.0,Consumer Defensive,Packaged Foods,91.0,98.0,91.0,91.0,1671868.0,2721150.0,13.35,5.04,1315145472.0,No
650,SHIP,10.57,229159.0,Industrials,Marine Shipping,91.0,95.0,93.0,92.0,150504.0,251140.0,10.61,4.78,223176016.0,No
694,ELPC,10.13,2850.0,Utilities,Utilities - Regulated Electric,90.0,82.0,88.0,79.0,2069.0,2420.0,10.51,5.04,7590238208.0,No
711,CVAC,5.49,5367832.0,Healthcare,Biotechnology,90.0,68.0,53.0,78.0,634092.0,1435280.0,5.72,2.48,1236198400.0,No
753,TLSI,6.87,173157.0,Healthcare,Medical Devices,90.0,97.0,92.0,86.0,123225.0,163150.0,6.89,3.42,343254816.0,No
765,HSHP,8.99,178651.0,Industrials,Marine Shipping,90.0,93.0,87.0,89.0,145790.0,127360.0,9.22,4.29,423055392.0,No
808,LYG,5.1,8796488.0,Financial Services,Banks - Regional,89.0,87.0,87.0,76.0,7114746.0,10576260.0,5.14,2.56,74998849536.0,No
852,FRAF,53.51,29443.0,Financial Services,Banks - Regional,89.0,93.0,84.0,86.0,23650.0,43850.0,54.31,28.01,239673264.0,No
889,STNE,16.85,6394700.0,Technology,Software - Infrastructure,88.0,10.0,53.0,78.0,5898314.0,10965770.0,19.95,7.72,4507786752.0,No
921,SB,5.29,571254.0,Industrials,Marine Shipping,88.0,92.0,90.0,86.0,397092.0,633710.0,5.54,3.02,541317184.0,No
1060,URBN,74.07,2441079.0,Consumer Cyclical,Apparel Retail,86.0,90.0,81.0,44.0,2102130.0,3631990.0,80.71,41.89,6645002240.0,No
1079,DAO,10.07,214861.0,Consumer Defensive,Education & Training Services,86.0,14.0,82.0,51.0,109496.0,176750.0,11.82,5.94,1204062336.0,No
1098,CAAP,25.35,240694.0,Industrials,Airports & Air Services,86.0,92.0,87.0,78.0,229709.0,212820.0,25.38,15.01,4135035392.0,No
1103,FNWD,38.01,26448.0,Financial Services,Banks - Regional,86.0,90.0,87.0,83.0,25522.0,42540.0,38.49,26.12,164447632.0,No
