Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
2,CDTX,220.07,1573424.0,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,1432139.0,1026460.0,221.2,15.22,6920388608.0,No
3,ONDS,9.02,85826078.0,Technology,Communication Equipment,98.0,98.0,96.0,98.0,78210263.0,104661530.0,11.7,0.57,3360459520.0,No
5,XWIN,5.71,994593.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",98.0,74.0,88.0,98.0,933007.0,577620.0,6.08,0.4,239087568.0,No
6,PRAX,270.98,1541911.0,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,997420.0,1254190.0,277.53,26.7,6776443904.0,No
8,AXTI,12.71,4862578.0,Technology,Semiconductor Equipment & Materials,98.0,97.0,98.0,98.0,2775504.0,2916680.0,13.2,1.13,592580480.0,No
19,COGT,40.3,4783883.0,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,3088077.0,2620000.0,43.73,3.72,6186274304.0,No
35,TE,6.02,11003953.0,Industrials,Electrical Equipment & Parts,98.0,98.0,98.0,98.0,9292961.0,12643130.0,6.14,0.92,1278442112.0,No
54,ARWR,68.6,4253221.0,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,2330011.0,3735290.0,71.48,9.57,9484468224.0,No
60,BNR,18.2,55726.0,Healthcare,Diagnostics & Research,98.0,97.0,97.0,98.0,38401.0,77090.0,23.59,2.18,195952048.0,No
80,SATS,88.26,10480409.0,Communication Services,Telecom Services,98.0,95.0,73.0,98.0,4172992.0,5785420.0,90.4,14.9,25407965184.0,No
81,NUTX,181.06,281932.0,Healthcare,Medical Care Facilities,98.0,97.0,98.0,91.0,147026.0,223250.0,187.2,28.12,1280441088.0,No
83,IMMX,6.15,6962659.0,Healthcare,Biotechnology,98.0,98.0,98.0,97.0,577019.0,514840.0,6.15,1.34,206503920.0,No
94,DBVT,16.98,566830.0,Healthcare,Biotechnology,97.0,94.0,97.0,95.0,203501.0,634390.0,18.0,2.74,681468096.0,No
99,FULC,12.99,24592323.0,Healthcare,Biotechnology,97.0,98.0,97.0,94.0,670068.0,721680.0,15.74,2.31,702998528.0,No
102,GALT,6.02,552859.0,Healthcare,Biotechnology,97.0,84.0,89.0,98.0,373525.0,382710.0,6.66,0.73,388164832.0,No
107,TWG,22.01,22526612.0,Consumer Defensive,Food Distribution,97.0,98.0,98.0,96.0,249257.0,686940.0,28.08,4.25,20103120.0,No
