Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
4,MGRT,77.89,80.56,12382.0,Technology,Information Technology Services,98.0,81.0,96.0,98.0,8.4991,8.3156,21562.0,16590.0,170.0,1.5,1070987520,NO,77.59,94.72,37.14,84.37,51.09,,250,0.0,12382,NO,NO,2025-12-17,3760600.0
24,SNDU,36.67,33.51,5736999.0,ETF,ETF,98.0,0.0,98.0,,11.8157,9.0314,2912645.0,4848230.0,79.0,5.72,0,NO,51.82,43.41,,44.95,,,85,0.0,5736999,NO,NO,2026-07-13,6488300.0
54,LQDA,76.49,71.21,1152068.0,Healthcare,Drug Manufacturers - Specialty & Generic,98.0,85.0,97.0,97.0,4.5007,4.3657,1916452.0,1582580.0,82.96,14.04,6802109952,NO,75.99,64.49,41.02,69.54,48.05,,2001,0.27,1152068,NO,NO,2022-07-19,30246200.0
89,LABX,115.1,115.96,140424.0,ETF,ETF,97.0,3.0,98.0,98.0,35.6131,32.5316,309434.0,212770.0,234.25,12.0,0,NO,155.97,115.91,60.81,126.31,64.8,,231,0.0,140424,NO,NO,2026-02-11,1873200.0
92,ALAB,361.78,362.05,3212650.0,Electronic technology,Semiconductors,97.0,23.0,98.0,97.0,46.5243,41.7851,6112555.0,5249140.0,499.48,88.73,62011961344,NO,405.41,331.81,201.21,355.66,221.32,,580,0.0,3212650,NO,NO,2024-11-05,24756900.0
96,VIAV,41.85,40.92,3371725.0,Technology,Communication Equipment,97.0,2.0,39.0,97.0,3.2014,2.8875,7523391.0,4976840.0,60.43,9.62,10323793920,NO,46.32,49.17,30.23,47.19,36.63,,8217,0.0,3371725,NO,NO,2013-12-20,87404420.0
127,VSAT,69.84,69.54,1629531.0,Technology,Communication Equipment,97.0,13.0,88.0,95.0,7.3129,6.8814,2567303.0,3512650.0,93.03,14.0,9537975296,NO,70.99,71.25,49.54,71.46,56.59,,7448,0.0,1629531,NO,NO,2024-06-28,18455500.0
128,BTSG,69.67,69.64,1785141.0,Healthcare,Health Information Services,97.0,90.0,95.0,96.0,2.2611,2.1496,3210083.0,2932960.0,72.22,19.01,13673323520,NO,68.52,62.11,43.95,64.41,49.72,,617,0.0,1785141,NO,NO,2024-01-26,24876200.0
134,INBX,93.21,92.165,316740.0,Healthcare,Biotechnology,97.0,36.0,86.0,86.0,7.0396,6.9218,473178.0,390890.0,155.29,20.55,1367501184,NO,95.27,102.9,80.49,96.48,86.84,,532,0.16,316740,NO,NO,2025-10-24,6079600.0
153,LASR,71.48,68.79,828443.0,Technology,Semiconductors,96.0,63.0,45.0,96.0,6.1224,5.6553,1277500.0,1397630.0,86.95,18.51,4032094720,NO,65.97,70.48,52.42,69.67,61.04,,2064,0.0,828443,NO,NO,2026-06-26,5746600.0
165,TXNU,54.5,52.02,15125.0,ETF,ETF,96.0,51.0,97.0,,5.0057,3.8193,37791.0,34220.0,70.29,22.9,0,NO,55.01,55.5,,55.49,,,76,0.0,15125,NO,NO,2026-04-23,220800.0
