Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
22,SLGL,63.5,30767.0,Healthcare,Biotechnology,98.0,97.0,97.0,98.0,19170.0,19530.0,75.0,4.02,176897472.0,No
49,INBX,73.98,365981.0,Healthcare,Biotechnology,98.0,11.0,75.0,98.0,269875.0,186810.0,94.56,10.8,1075945728.0,No
65,ASTS,121.23,17183525.0,Technology,Communication Equipment,98.0,98.0,95.0,96.0,14026052.0,17248130.0,124.32,17.5,44540063744.0,No
125,ATRO,76.59,573202.0,Industrials,Aerospace & Defense,97.0,96.0,95.0,95.0,728172.0,918670.0,79.99,16.77,2728834048.0,No
135,ASTX,99.85,2402001.0,ETF,ETF,97.0,98.0,96.0,97.0,1653650.0,2292920.0,107.79,15.03,,No
144,INTW,68.01,2068115.0,ETF,ETF,97.0,97.0,80.0,98.0,809237.0,1788290.0,90.32,13.56,,No
150,TYRA,31.08,480865.0,Healthcare,Biotechnology,97.0,93.0,98.0,97.0,543283.0,712940.0,32.44,6.42,1658804736.0,No
175,CYD,46.0,148666.0,Consumer Cyclical,Auto Manufacturers,97.0,95.0,89.0,95.0,154285.0,149530.0,48.63,10.3,1725842944.0,No
214,RVMD,97.33,3129076.0,Healthcare,Biotechnology,96.0,93.0,97.0,97.0,3439006.0,4398380.0,124.49,29.17,18815817728.0,No
257,AXGN,34.11,1114176.0,Healthcare,Medical Devices,96.0,57.0,97.0,97.0,960311.0,1118060.0,35.5,9.22,1711271936.0,No
265,FTAI,275.66,2415989.0,Industrials,Rental & Leasing Services,96.0,98.0,96.0,94.0,1402026.0,2084580.0,310.0,81.45,28275253248.0,No
268,CECO,69.58,432794.0,Industrials,Pollution & Treatment Controls,96.0,90.0,95.0,92.0,322167.0,238020.0,71.69,17.57,2479902976.0,No
281,BELFB,207.78,136728.0,Technology,Electronic Components,96.0,92.0,93.0,93.0,165554.0,179470.0,214.31,58.0,2630611712.0,No
331,INTG,32.08,21497.0,Consumer Cyclical,Lodging,95.0,90.0,11.0,97.0,15326.0,22000.0,42.5,9.57,68933896.0,No
334,NVMI,487.18,356537.0,Technology,Semiconductor Equipment & Materials,95.0,97.0,95.0,94.0,337129.0,392780.0,507.27,154.0,14446087168.0,No
339,ANAB,47.45,289809.0,Healthcare,Biotechnology,95.0,10.0,92.0,94.0,555665.0,358140.0,52.47,12.21,1327318784.0,No
340,INTC,48.78,200002733.0,Technology,Semiconductors,95.0,95.0,84.0,96.0,96443421.0,169816470.0,54.6,17.67,243664797696.0,No
377,KEN,72.0,20812.0,Utilities,Utilities - Independent Power Producers,95.0,80.0,94.0,90.0,12216.0,13330.0,75.9,27.1,3754817280.0,No
439,FN,501.0,521205.0,Technology,Electronic Components,94.0,73.0,83.0,91.0,638313.0,688070.0,531.22,148.55,17949431808.0,No
453,RNA,72.46,1111078.0,Healthcare,Biotechnology,94.0,41.0,60.0,95.0,3289509.0,1259890.0,72.74,21.51,10917963776.0,No
489,SYRE,33.14,310772.0,Healthcare,Biotechnology,93.0,60.0,93.0,94.0,717121.0,608100.0,35.31,10.91,2571403008.0,No
529,VERA,45.11,1054807.0,Healthcare,Biotechnology,93.0,4.0,95.0,95.0,1555670.0,1110310.0,56.05,18.53,3202218496.0,No
