Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
2,SNDK,1727.18,1617.7,11838624,Technology,Computer Hardware,98.0,88.0,98.0,98.0,236.7064,174.1432,13535042.0,12979440.0,2354.39,40.1,,255777685504,NO,1958.12,1654.21,727.38,1743.07,990.34,350,0.0,11838624,YES,NO,2025-11-26,43000900,-26.64
13,AMDL,64.43,64.19,2403474,ETF,ETF,98.0,92.0,98.0,98.0,9.7944,7.7929,8902093.0,4197650.0,83.79,7.96,,0,NO,67.68,58.77,27.04,62.2,32.2,578,0.0,2403474,NO,NO,2025-10-06,106498200,-23.11
22,ABVX,138.54,142.17,1200596,Healthcare,Biotechnology,98.0,97.0,80.0,68.0,10.1921,7.4651,2073081.0,3515290.0,148.83,7.76,,12075239424,NO,110.35,113.95,112.92,116.98,118.81,679,0.0,1200596,NO,NO,2025-07-23,27831900,-6.91
24,BAND,70.49,67.56,2116994,Technology,Software - Infrastructure,98.0,16.0,98.0,98.0,4.6499,4.6499,1275827.0,1303600.0,75.98,12.5,,2256900096,NO,58.62,55.33,25.55,60.81,31.83,2174,0.0,2117673,NO,NO,2022-11-02,11116300,-7.23
26,MU,948.8,938.38,40550345,Technology,Semiconductors,98.0,87.0,98.0,98.0,102.1322,75.095,51456011.0,60233470.0,1255.0,103.38,,1071568191488,NO,1046.4,880.21,456.27,922.98,570.75,10606,0.0,40550345,YES,NO,2013-10-11,153906100,-24.4
31,SYRE,95.4,94.23,1185787,Healthcare,Biotechnology,98.0,96.0,97.0,98.0,6.4482,5.3368,1471200.0,2206770.0,102.06,14.51,,8284656128,NO,87.45,78.62,45.39,81.02,55.75,2577,0.12,1229692,NO,NO,2023-06-22,10228380,-6.53
34,ATEX,104.92,100.9,363030,Communication Services,Telecom Services,98.0,98.0,98.0,98.0,7.4469,7.4469,453073.0,615980.0,111.9,17.58,,2045779584,NO,87.04,69.45,38.0,76.4,47.62,2873,0.0,363030,NO,NO,2020-12-21,3077900,-6.24
36,PENG,78.47,62.71,13716404,Technology,Information Technology Services,98.0,96.0,98.0,98.0,9.0707,8.2784,3105583.0,3853830.0,80.0,16.04,,4124395520,NO,65.58,54.81,29.53,59.35,33.76,2292,8.2,13716404,YES,NO,2019-01-09,15604200,-1.91
37,DFTX,45.32,44.48,2615360,Healthcare,Biotechnology,98.0,98.0,97.0,98.0,4.0422,3.0347,2886003.0,5773450.0,49.2,7.54,,6015924224,NO,35.6,27.6,18.32,29.7,21.59,2422,0.87,2615360,NO,NO,2024-03-07,38010300,-7.89
38,KOD,40.63,38.3,943429,Healthcare,Biotechnology,98.0,96.0,15.0,94.0,2.9793,2.9457,746303.0,1008550.0,47.84,3.87,,2542562048,NO,35.87,37.41,28.04,36.73,32.49,1948,0.0,943429,NO,NO,2022-02-23,26802500,-15.07
