Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Aluminum,Basic Materials,94,46,66,91,"KALU,CSTM,CENX,AA"
2,Semiconductor Equipment & Materials,Technology,92,79,86,90,"AXTI,AEHR,ICHR,UCTT,TRT,FORM,TER,COHU,ACMR,AMKR,VECO,LRCX,ASYS,AMAT,KLIC,ONTO,KLAC,ATOM,ACLS,INTT,ENTG,ASML,Q,NVMI,CAMT,IPGP,PLAB,AMBA,DQ"
3,Semiconductors,Technology,91,71,91,91,"MXL,MU,INTC,VSH,TSEM,MRVL,AIP,SIMO,ALAB,UMC,MRAM,AMD,QUIK,AMBQ,NVTS,ARM,ASX,SMTC,WOLF,STM,IMOS,CRDO,SITM,SKYT,MTSI,ON,CEVA,GFS,POET,AOSL,LSCC,DIOD,HIMX,ALGM,SYNA,MX,POWI,LASR,TXN,TSM,MPWR,ALMU,ADI,GSIT,RMBS,NVEC,MCHP,IPWR,NXPI,QCOM,MCHPP,SLAB,CRUS,AVGO,NVDA,QRVO,WKEY,SWKS,PI,PXLW,CBRS"
4,REIT - Hotel & Motel,Real Estate,89,93,91,88,"CLDT,PEB,RLJ,XHR,HST,DRH,APLE,INN,PK,RHP,SHO"
5,Silver,Basic Materials,89,30,59,63,"SVM,AYA,AG,EXK"
6,Textile Manufacturing,Consumer Cyclical,88,93,94,84,"SMJF,AIN"
7,Copper,Basic Materials,85,74,75,75,"HBM,TGB,SCCO,ERO,FCX,IE"
8,Trucking,Industrials,85,68,84,85,"ARCB,CVLG,RXO,HTLD,KNX,TFII,SNDR,WERN,SAIA,MRTN,XPO,ODFL,PAMT,ULH"
9,Electronic Components,Technology,83,86,82,83,"OPTX,VICR,TTMI,FLEX,GLW,LPTH,SANM,OUST,MEI,BHE,BELFB,BELFA,ALNT,KN,CPSH,ROG,PLXS,MPTI,LFUS,RELL,CLS,JBL,FN,CTS,RAL,APH,LYTS,DAKT,TEL,ELTK,OSIS,OLED,MSAI"
10,Healthcare Plans,Healthcare,82,77,89,75,"CLOV,OSCR,HUM,CNC,CVS,UNH,PGNY,ALHC,ELV,MOH,CI"
11,Banks - Diversified,Financial Services,80,78,78,70,"C,SMFG,TD,BMO,SAN,UBS,HSBC,BNY,MUFG,CM,RY,BNS,BCS,ING,BBVA,NTB,BAC,JPM,WFC,FRBT"
12,Computer Hardware,Technology,79,84,82,67,"SNDK,WDC,STX,VELO,ALOT,DELL,OSS,QMCO,UMAC,IONQ,ANET,CRSR,TACT,QBTS,RGTI,DPRO,SMCI,P,SMCIP,LOGI,HPQ,QUBT,SSYS,BRAI"
13,Publishing,Communication Services,78,56,67,81,"LEE,TDAY,SCHL,WLYB,WLY,PSO,NYT"
14,Rental & Leasing Services,Industrials,77,89,85,67,"VSTS,CTOS,CAR,R,WSC,URI,WLFC,HRI,ALTG,PRG,UHAL,SUNB,AER,GATX,MGRC,HTZ,EQPT"
15,Marine Shipping,Industrials,77,26,58,77,"ECO,SHIP,HSHP,MATX,EDRY,SB,ASC,NMM,SBLK,CMDB,GNK,DAC,KEX,ZIM,SFL,PANL,HAFN,ESEA,EHLD,SMHI,GSL,CMRE,GASS,CCEC,SVRN"
16,Communication Equipment,Technology,76,55,67,76,"AAOI,LITE,OCC,VIAV,AMPG,WATT,CIEN,SILC,NOK,VSAT,HPE,FEIM,ONDS,EXTR,CSCO,DGII,ADTN,TSAT,HLIT,AIRG,LTRX,CLFD,ASTS,ERIC,BKTI,GILT,BDC,VISN,AUDC,UI,ZBRA,INSG,NTGR,MSI,AVNW"
17,Electrical Equipment & Parts,Industrials,75,80,77,64,"BE,TE,FCEL,STI,RFIL,POWL,VRT,FPS,AEIS,NVT,PLPC,ENS,ELVA,AMPX,TGEN,ESP,FAC,ATKR,HUBB,EOSE,ENVX,AYI,OESX,ENR,ADSE,KE,HAYW,ULBI,EAF,LTBR"
18,Oil & Gas Drilling,Energy,75,4,15,90,"NBR,PTEN,HP,VAL,RIG,NE,PDS,SDRL,SOC"
19,Electronics & Computer Distribution,Technology,75,87,87,77,"SNX,ARW,AVT,SCSC,NSIT,CNXN,CLMB"
20,Solar,Technology,74,55,70,56,"ASTI,TOYO,SEDG,SHLS,NXT,FSLR,ENPH,RUN,CSIQ,ARRY,FTCI,JKS"
21,Integrated Freight & Logistics,Industrials,74,70,66,63,"NCEW,PSIG,CYRX,JBHT,PBI,LSTR,FDX,RLGT,CHRW,EXPD,HUBG,UPS,ZTO,FDXF,PAL,GXO,FWRD"
22,Real Estate - Diversified,Real Estate,73,34,34,61,"STRS,JOE"
23,Financial Conglomerates,Financial Services,72,43,70,74,"RILYP,RILYL,RILY,IX,VOYA,HTH,FRHC,TREE"
24,Engineering & Construction,Industrials,71,65,66,65,"VATE,CDNL,STRL,AGX,FIX,LGN,MYRG,IESC,ECG,MTZ,MAGH,PWR,BBCP,ESOA,ORN,DY,ACA,PHOE,EME,GVA,TPC,FLR,MTRX,FER,AMRC,BLD,APG,ROAD,CDLR,WLDN,BWMN,PRIM,J,TTEK,EXPO,KBR,STN,ACM"
25,Steel,Basic Materials,71,72,78,60,"NWPX,FRD,NUE,STLD,MT,RS,CLF,TX,WS,MTUS,PKX,LUD,SIM,MSB,INHD"
26,Other Precious Metals & Mining,Basic Materials,71,21,37,32,"SLSR,BVN,HL,ASM,MUX,MTA,GMTL,VOXR,PPTA,VMET,ELE,TFPM,SBSW"
27,Oil & Gas Equipment & Services,Energy,70,22,36,74,"STAK,NESR,SEI,EFXT,PUMP,KGS,FTK,WTTR,LBRT,FET,NINE,FTI,TS,AESI,AROC,NGS,OII,WFRD,WBI,INVX,HAL,FLOC,WHD,BKR,SLB,NOV,HLX,ACDC,RES,TDW,NEXT,VTOL,RNGR,XPRO,OIS,NCSM,HMH,LB,USAC,EROK,NOA,CLB,GEOS"
28,Railroads,Industrials,70,57,67,69,"FSTR,CSX,WAB,TRN,CNI,UNP,CP,NSC,RAIL,GBX"
29,Other Industrial Metals & Mining,Basic Materials,70,32,59,55,"ELVR,ALOY,MTRN,LAR,ALM,NEXA,CRML,SGML,USAR,UAMY,BHP,TECK,USAS,CMP,NVA,RIO,BMM,SKE,VALE,SCZM,NB,MP,IPX,REA,NICM,USGO,SSMR,SBMT,EMAT,TMCR"
30,Uranium,Energy,70,50,38,55,"NUCL,UUUU,CCJ,ISOU,NXE,UEC,LEU"
31,Specialty Chemicals,Basic Materials,69,63,66,70,"LWLG,ALTO,PRM,ESI,ODC,SOLS,CLMT,ALB,SQM,CC,SSL,KOP,DD,ASH,ECVT,NGVT,SXT,CBT,MTX,KRO,KWR,AXTA,CMT,FUL,OEC,PPG,NEU,HWKN,AVNT,IFF,LIN,IOSP,SCL,FSI,EMN,NTIC,ECL,BCPC,RPM,APD,WDFC,LYB,SHW,WLK,MATV,HDSN"
32,Airlines,Industrials,69,82,75,50,"ULCC,ALGT,VLRS,DAL,AAL,CPA,LUV,UAL,JBLU,LTM,ALK,AERO,RYAAY,RJET,AZUL,SKYW"
