IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
1,QMMM,119.4,Communication Services,Advertising Agencies,98.0,40.0,12.0,32.0,0.0,0.0,0.0,NO,NO
2,STFS,15.0,Communication Services,Advertising Agencies,97.0,98.0,98.0,98.0,2.1805,2.014,0.0,NO,NO
3,ADV,38.86,Communication Services,Advertising Agencies,93.0,81.0,97.0,95.0,3.9781,3.9624,0.0,NO,NO
4,ZD,52.43,Communication Services,Advertising Agencies,89.0,90.0,83.0,91.0,1.7952,1.7723,0.0,NO,NO
5,MGNI,20.38,Communication Services,Advertising Agencies,84.0,97.0,95.0,81.0,1.0071,1.0043,0.0,NO,NO
1,OMC,78.62,Commercial services,Advertising/Marketing services,33.0,74.0,41.0,17.0,2.6621,2.5929,0.03,NO,NO
1,SIF,24.65,Industrials,Aerospace & Defense,98.0,94.0,96.0,98.0,1.7443,1.7029,0.0,NO,NO
2,PL,31.38,Industrials,Aerospace & Defense,96.0,1.0,35.0,93.0,2.8317,2.721,0.0,NO,NO
3,MRCY,126.21,Industrials,Aerospace & Defense,95.0,87.0,95.0,95.0,6.5029,6.4929,1.5,NO,NO
4,RKLB,100.46,Industrials,Aerospace & Defense,95.0,4.0,94.0,90.0,9.3605,8.6226,0.0,NO,NO
5,DCO,186.6,Industrials,Aerospace & Defense,95.0,94.0,93.0,96.0,7.5646,7.4896,0.0,NO,NO
1,CTVA,85.8,Basic Materials,Agricultural Inputs,65.0,85.0,35.0,84.0,2.0439,2.0332,0.03,NO,NO
2,SMG,68.85,Basic Materials,Agricultural Inputs,62.0,93.0,63.0,76.0,2.7025,2.4254,0.0,NO,NO
3,CF,110.54,Basic Materials,Agricultural Inputs,57.0,27.0,5.0,91.0,3.6021,3.2207,0.12,NO,NO
4,UAN,114.0,Basic Materials,Agricultural Inputs,55.0,21.0,8.0,71.0,3.1664,3.1179,0.7,NO,NO
5,NTR,65.06,Basic Materials,Agricultural Inputs,27.0,20.0,5.0,41.0,1.5632,1.3593,0.0,NO,NO
1,ALGT,118.67,Industrials,Airlines,93.0,97.0,92.0,88.0,6.3279,5.5979,0.0,NO,NO
2,DAL,92.75,Industrials,Airlines,92.0,90.0,90.0,87.0,2.7793,2.5236,0.0,NO,NO
3,AAL,17.92,Industrials,Airlines,91.0,96.0,94.0,72.0,0.7193,0.6493,0.0,NO,NO
4,UAL,133.32,Industrials,Airlines,89.0,94.0,91.0,77.0,5.1579,4.6207,0.0,NO,NO
5,LUV,50.25,Industrials,Airlines,88.0,92.0,87.0,79.0,1.9475,1.7168,0.0,NO,NO
1,CAAP,25.23,Industrials,Airports & Air Services,55.0,16.0,14.0,15.0,0.9671,0.9296,0.0,NO,NO
2,ASR,310.81,Industrials,Airports & Air Services,11.0,68.0,8.0,15.0,9.5746,8.8074,0.52,NO,NO
1,KALU,176.27,Basic Materials,Aluminum,94.0,15.0,89.0,92.0,9.2693,8.4264,0.0,NO,NO
2,CSTM,29.49,Basic Materials,Aluminum,92.0,4.0,50.0,93.0,1.5357,1.3857,0.0,NO,NO
3,CENX,43.76,Basic Materials,Aluminum,82.0,1.0,0.0,58.0,3.1786,2.7029,0.0,NO,NO
4,AA,48.68,Basic Materials,Aluminum,44.0,0.0,0.0,10.0,3.2886,2.5178,2.51,NO,NO
1,RL,398.22,Consumer Cyclical,Apparel Manufacturing,77.0,83.0,63.0,60.0,12.2964,11.1036,0.0,NO,NO
2,LEVI,24.41,Consumer Cyclical,Apparel Manufacturing,76.0,79.0,86.0,70.0,0.785,0.76,0.0,NO,NO
3,KTB,85.0,Consumer Cyclical,Apparel Manufacturing,76.0,93.0,79.0,89.0,3.1994,3.0876,0.0,NO,NO
4,COLM,63.32,Consumer Cyclical,Apparel Manufacturing,60.0,20.0,72.0,64.0,2.2307,2.1286,0.0,NO,NO
5,VFC,16.3,Consumer Cyclical,Apparel Manufacturing,41.0,28.0,13.0,10.0,0.7639,0.7289,0.0,NO,NO
1,VSXY,76.71,Consumer Cyclical,Apparel Retail,96.0,22.0,94.0,90.0,4.1414,3.9136,0.0,NO,NO
2,CTRN,55.28,Consumer Cyclical,Apparel Retail,90.0,93.0,84.0,88.0,4.2157,3.8429,0.0,NO,NO
3,CRI,40.65,Consumer Cyclical,Apparel Retail,81.0,66.0,68.0,84.0,1.7036,1.5393,0.0,NO,NO
4,ROST,213.43,Consumer Cyclical,Apparel Retail,79.0,21.0,14.0,74.0,6.1672,5.95,0.0,NO,NO
5,JILL,16.49,Consumer Cyclical,Apparel Retail,78.0,94.0,92.0,73.0,0.7271,0.7214,0.0,NO,NO
1,MAAS,15.03,Financial Services,Asset Management,98.0,96.0,98.0,97.0,3.4571,3.4571,0.0,NO,NO
2,KF,68.49,Financial Services,Asset Management,95.0,8.0,93.0,96.0,4.4507,3.2221,0.0,NO,NO
3,AAMI,73.09,Financial Services,Asset Management,92.0,59.0,87.0,92.0,3.7181,3.1095,0.0,NO,NO
4,RVI,34.43,Financial Services,Asset Management,91.0,2.0,79.0,,4.195,3.9471,0.0,NO,NO
5,BEN,34.11,Financial Services,Asset Management,90.0,84.0,92.0,90.0,1.0164,0.9643,0.0,NO,NO
1,OPLN,40.6,Consumer Cyclical,Auto & Truck Dealerships,90.0,77.0,90.0,88.0,1.37,1.3243,0.0,NO,NO
2,RUSHB,75.08,Consumer Cyclical,Auto & Truck Dealerships,81.0,91.0,71.0,86.0,2.1664,2.1093,0.0,NO,NO
3,RUSHA,73.16,Consumer Cyclical,Auto & Truck Dealerships,81.0,83.0,57.0,87.0,2.2007,2.1286,0.28,NO,NO
4,SAH,83.73,Consumer Cyclical,Auto & Truck Dealerships,75.0,36.0,86.0,87.0,2.6021,2.5579,0.73,NO,NO
5,VVV,39.08,Consumer Cyclical,Auto & Truck Dealerships,63.0,90.0,69.0,87.0,1.1531,1.0791,0.68,NO,NO
1,CYD,43.39,Consumer Cyclical,Auto Manufacturers,82.0,2.0,54.0,80.0,2.9418,2.9218,0.0,NO,NO
2,RIVN,18.63,Consumer Cyclical,Auto Manufacturers,77.0,80.0,83.0,14.0,1.0565,0.9886,4.76,NO,NO
3,HMC,28.02,Consumer Cyclical,Auto Manufacturers,34.0,77.0,71.0,14.0,0.5607,0.3396,0.0,NO,NO
4,RACE,384.97,Consumer Cyclical,Auto Manufacturers,14.0,82.0,61.0,40.0,10.6618,7.7959,1.43,NO,NO
5,PSNY,20.44,Consumer Cyclical,Auto Manufacturers,9.0,75.0,56.0,43.0,1.5096,1.4882,0.0,NO,NO
1,GTX,31.75,Consumer Cyclical,Auto Parts,96.0,59.0,95.0,95.0,1.4267,1.341,0.0,NO,NO
2,MOD,230.97,Consumer Cyclical,Auto Parts,92.0,2.0,39.0,95.0,18.2845,16.3866,0.0,NO,NO
3,PLOW,50.27,Consumer Cyclical,Auto Parts,90.0,86.0,75.0,92.0,1.9121,1.8671,0.0,NO,NO
4,BWA,63.52,Consumer Cyclical,Auto Parts,89.0,7.0,73.0,89.0,2.4293,2.3414,0.0,NO,NO
5,VGNT,40.2,Consumer Cyclical,Auto Parts,88.0,10.0,,,2.4407,2.3871,0.0,NO,NO
1,TD,119.3,Financial Services,Banks - Diversified,88.0,76.0,84.0,83.0,1.9125,1.7989,0.0,NO,NO
2,BMO,174.13,Financial Services,Banks - Diversified,87.0,76.0,85.0,87.0,2.9596,2.7496,0.0,NO,NO
3,SMFG,24.53,Financial Services,Banks - Diversified,87.0,81.0,77.0,83.0,0.5375,0.3418,0.0,NO,NO
4,RY,204.79,Financial Services,Banks - Diversified,86.0,79.0,84.0,76.0,2.8932,2.8496,0.0,NO,NO
5,BNY,146.62,Financial Services,Banks - Diversified,86.0,72.0,81.0,83.0,3.4964,3.3243,0.0,NO,NO
1,VBNK,21.9,Financial Services,Banks - Regional,93.0,93.0,93.0,91.0,1.3881,1.3552,0.0,NO,NO
2,CARE,33.13,Financial Services,Banks - Regional,93.0,91.0,91.0,94.0,0.9457,0.9371,0.0,NO,NO
3,MSBI,30.35,Financial Services,Banks - Regional,91.0,82.0,88.0,91.0,0.9013,0.887,0.0,NO,NO
4,BOTJ,25.62,Financial Services,Banks - Regional,91.0,88.0,83.0,90.0,0.6536,0.63,0.0,NO,NO
5,CMTV,39.13,Financial Services,Banks - Regional,91.0,83.0,71.0,93.0,2.3668,2.2618,0.0,NO,NO
1,BUD,81.33,Consumer Defensive,Beverages - Brewers,77.0,61.0,70.0,83.0,1.7014,1.4714,0.0,NO,NO
2,STZ,137.47,Consumer Defensive,Beverages - Brewers,10.0,59.0,8.0,20.0,4.811,4.7396,0.0,NO,NO
3,TAP,39.78,Consumer Defensive,Beverages - Brewers,7.0,67.0,9.0,8.0,1.2079,1.1525,1.33,NO,NO
4,SAM,183.62,Consumer Defensive,Beverages - Brewers,6.0,88.0,2.0,12.0,6.96,6.3414,1.33,NO,NO
1,COCO,66.16,Consumer Defensive,Beverages - Non-Alcoholic,90.0,9.0,90.0,81.0,4.1929,4.1886,0.0,NO,NO
2,MNST,97.6,Consumer Defensive,Beverages - Non-Alcoholic,88.0,85.0,89.0,83.0,1.8814,1.8093,0.0,NO,NO
3,COKE,195.63,Consumer Defensive,Beverages - Non-Alcoholic,85.0,87.0,14.0,83.0,6.88,6.6929,0.51,NO,NO
4,PRMB,25.02,Consumer Defensive,Beverages - Non-Alcoholic,79.0,63.0,88.0,92.0,0.76,0.7043,0.57,NO,NO
5,KDP,33.3,Consumer Defensive,Beverages - Non-Alcoholic,76.0,84.0,87.0,75.0,0.8914,0.8229,0.0,NO,NO
1,DEO,82.16,Consumer Defensive,Beverages - Wineries & Distilleries,12.0,71.0,55.0,14.0,2.0632,1.5104,2.94,NO,NO
2,MGPI,16.98,Consumer Defensive,Beverages - Wineries & Distilleries,3.0,61.0,9.0,3.0,0.7143,0.7007,0.0,NO,NO
1,QNCX,17.23,Healthcare,Biotechnology,98.0,98.0,98.0,0.0,1.3702,0.3569,0.0,NO,NO
2,DFTX,44.19,Healthcare,Biotechnology,98.0,98.0,97.0,98.0,3.8208,2.8408,0.0,NO,NO
3,SYRE,86.63,Healthcare,Biotechnology,98.0,95.0,96.0,97.0,5.8807,4.7693,0.0,NO,NO
4,RLYB,15.81,Healthcare,Biotechnology,98.0,28.0,96.0,97.0,0.4258,0.4244,0.0,NO,NO
5,ORKA,85.21,Healthcare,Biotechnology,98.0,98.0,95.0,97.0,5.9529,5.31,0.0,NO,NO
