Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
1,MULL,25.81,26.48,7392451.0,ETF,ETF,98.0,12.0,98.0,98.0,5.9097,4.2176,10567055.0,11105040.0,43.53,0.59,0,NO,31.58,25.54,9.82,26.22,12.91,,414,0.0,7392451,NO,NO,2026-04-01,23787500
2,MGRT,84.6,79.41,8079.0,Technology,Information Technology Services,98.0,83.0,96.0,98.0,9.5556,9.402,22552.0,12720.0,170.0,1.5,1163249920,NO,77.07,96.93,36.39,90.38,48.74,,248,0.0,8079,NO,NO,2025-12-17,3760600
3,SNDK,1915.92,1858.27,10318150.0,Technology,Computer Hardware,98.0,92.0,98.0,98.0,238.8679,176.0461,13449998.0,13189450.0,2354.39,40.1,283728150528,NO,1982.35,1688.24,745.23,1761.94,996.63,,352,0.0,10318150,YES,NO,2025-11-26,43000900
4,MUU,745.39,764.63,1596376.0,ETF,ETF,98.0,13.0,98.0,98.0,168.3111,122.4654,3041275.0,3113400.0,1252.8,16.73,0,NO,909.07,732.58,280.6,753.02,369.04,,437,0.0,1596376,NO,NO,2026-06-09,5492900
5,BWET,203.35,199.43,188674.0,ETF,ETF,98.0,83.0,84.0,98.0,21.9593,15.2018,124504.0,113630.0,223.03,10.81,0,NO,182.82,180.52,81.33,179.47,108.55,,799,0.0,188674,NO,NO,2024-01-30,657200
6,QMMM,119.4,119.4,0.0,Communication Services,Advertising Agencies,98.0,46.0,20.0,35.0,0.0,0.0,0.0,0.0,303.0,1.57,6830437376,NO,119.4,119.4,118.88,119.4,119.4,,493,0.0,773300,NO,NO,2024-11-25,95812300
7,AXTI,57.21,62.55,7576533.0,Technology,Semiconductor Equipment & Materials,98.0,0.0,9.0,97.0,9.3557,8.4079,10501559.0,8967420.0,143.16,1.85,3742860288,NO,75.62,94.95,43.38,93.89,58.35,,7077,0.0,7576533,NO,NO,2024-02-23,103105600
8,SNXX,28.06,26.4,48816371.0,ETF,ETF,98.0,88.0,98.0,,7.979,5.8044,58023385.0,58032140.0,49.34,3.14,0,NO,33.62,26.68,,28.27,,,114,0.0,48816371,YES,NO,2026-05-01,141068800
9,DLLL,24.97,26.83,1496518.0,ETF,ETF,98.0,96.0,98.0,98.0,3.5812,3.2751,2440740.0,1941160.0,30.62,2.17,0,NO,23.32,17.61,7.23,18.95,8.89,,351,0.0,1496518,NO,NO,2026-05-28,15772800
10,AMDL,74.53,71.56,2773844.0,ETF,ETF,98.0,96.0,98.0,98.0,9.9637,7.9015,8699283.0,4147760.0,83.79,8.42,0,NO,69.49,60.46,27.67,63.21,32.53,,580,0.0,2773844,NO,NO,2025-10-06,106498200
11,AMUU,262.46,252.319,75514.0,ETF,ETF,98.0,96.0,98.0,98.0,33.4116,25.3756,148393.0,115570.0,293.65,33.44,0,NO,244.31,212.1,99.19,222.17,114.21,,318,0.0,75514,NO,NO,2025-10-06,1327100
12,AMDG,126.32,121.457,50337.0,ETF,ETF,98.0,96.0,98.0,98.0,16.1108,12.2797,99134.0,62770.0,141.38,16.01,0,NO,117.61,102.37,48.06,107.09,55.31,,366,0.0,50337,NO,NO,2025-10-06,1776500
13,MXL,91.3,95.8,1410277.0,Technology,Semiconductors,98.0,96.0,98.0,98.0,13.0586,11.55,5354221.0,4575050.0,128.3,12.77,8175546368,NO,93.43,90.03,36.4,91.94,46.34,,4099,0.0,1410277,NO,NO,2026-04-24,29044000
14,INTW,30.37,31.97,2702592.0,ETF,ETF,98.0,10.0,98.0,98.0,6.6352,5.5931,6347778.0,4216410.0,52.62,1.72,0,NO,40.8,38.06,15.15,38.41,19.21,,352,0.0,2702592,NO,NO,2025-09-18,79455200
15,ERAS,18.53,19.18,2933525.0,Healthcare,Biotechnology,98.0,97.0,57.0,98.0,1.2259,1.2031,7069332.0,6578930.0,24.28,1.33,5762543616,NO,16.32,13.37,9.65,13.71,12.63,,1251,0.0,2933525,NO,NO,2026-04-28,51259600
16,SNDU,44.84,42.19,4701278.0,ETF,ETF,98.0,88.0,98.0,,12.8129,9.2107,2795890.0,4416020.0,79.0,5.72,0,NO,53.78,42.8,,45.21,,,83,0.0,4701278,NO,NO,2026-07-02,6307800
17,MRVU,139.58,148.7,112741.0,ETF,ETF,98.0,0.0,98.0,,31.31,25.2196,352590.0,290250.0,308.77,20.8,0,NO,195.79,159.21,,159.34,,,102,0.0,112741,NO,NO,2026-06-03,1251400
18,AGL,114.85,115.67,178944.0,Healthcare,Medical Care Facilities,98.0,90.0,98.0,98.0,9.7601,9.6315,419718.0,352040.0,125.71,7.48,1916132736,NO,111.8,88.27,36.16,98.33,44.99,,1315,0.0,178944,NO,NO,2025-08-05,7008856
19,BAND,75.48,78.44,958774.0,Technology,Software - Infrastructure,98.0,94.0,98.0,98.0,5.1731,5.1731,1333660.0,1467480.0,79.08,12.5,2416666624,NO,60.19,57.45,26.15,61.31,32.0,,2176,0.0,958774,NO,NO,2022-11-02,11116300
20,LABX,154.0,157.72,104071.0,ETF,ETF,98.0,96.0,99.0,98.0,35.4053,31.7696,334322.0,201000.0,234.25,12.0,0,NO,157.97,113.06,60.69,119.33,62.46,,229,0.0,104071,NO,NO,2026-02-11,1873200
21,ABVX,139.9,140.74,791212.0,Healthcare,Biotechnology,98.0,97.0,71.0,62.0,9.8682,7.1412,2074919.0,2903150.0,148.83,8.05,12193777664,NO,114.35,115.13,113.5,117.12,118.86,,681,0.0,791212,NO,NO,2025-07-23,27831900
22,SOXL,192.26,192.45,37037907.0,ETF,ETF,98.0,10.0,98.0,98.0,38.6107,27.8557,61771277.0,58288880.0,302.0,22.57,0,NO,226.11,202.26,90.85,204.19,111.61,,4108,0.0,37037907,YES,NO,2025-04-09,787748800
23,LINT,154.55,162.43,80534.0,ETF,ETF,98.0,10.0,98.0,98.0,33.0131,27.3993,208713.0,166750.0,266.71,23.87,0,NO,206.99,192.91,,195.03,97.51,,159,0.0,80534,NO,NO,2026-01-23,456000
24,MU,979.3,991.64,31054394.0,Technology,Semiconductors,98.0,76.0,98.0,98.0,98.19,71.9579,51531932.0,55726550.0,1255.0,103.38,1106014765056,NO,1053.56,899.05,464.48,926.03,571.77,,10608,0.0,31054394,YES,NO,2013-10-11,153906100
25,WDC,582.59,578.05,4789214.0,Technology,Computer Hardware,98.0,90.0,96.0,98.0,60.6043,46.3807,8393890.0,10183060.0,799.87,64.23,200806662144,NO,622.13,546.28,302.02,550.64,367.57,,12020,0.0,4789214,NO,NO,2009-06-30,65696343
26,MVLL,34.55,36.88,1724287.0,ETF,ETF,98.0,0.0,98.0,98.0,7.893,6.4471,6248352.0,4437580.0,77.67,4.32,0,NO,48.86,40.04,16.38,40.04,19.63,,337,0.0,1724287,NO,NO,2025-08-29,36696300
27,SYRE,97.74,98.75,775720.0,Healthcare,Biotechnology,98.0,96.0,97.0,98.0,6.3565,5.1943,1495519.0,1795330.0,102.06,14.51,8487864320,NO,89.69,79.74,46.22,81.26,55.83,,2579,0.0,775720,NO,NO,2023-06-22,10228380
28,ATEX,100.96,106.86,348047.0,Communication Services,Telecom Services,98.0,98.0,98.0,98.0,7.3298,7.3298,450504.0,609940.0,111.9,17.58,1968565760,NO,90.96,71.71,38.82,76.0,47.49,,2875,0.0,348047,NO,NO,2020-12-21,3077900
29,ANRO,26.48,27.64,457439.0,Healthcare,Biotechnology,98.0,95.0,83.0,94.0,2.2551,2.2315,439180.0,935740.0,28.44,2.5,929287488,NO,24.53,23.0,17.88,22.93,20.87,,610,0.0,457439,NO,NO,2025-10-03,61880600
30,BLZE,17.6,17.83,2259177.0,Technology,Software - Infrastructure,98.0,98.0,98.0,98.0,1.6032,1.4918,3236170.0,4677770.0,18.25,3.26,1056259328,NO,12.7,9.41,6.49,10.21,6.22,,1168,0.0,2259177,NO,NO,2026-05-05,37172900
31,ALMS,28.31,30.3,888084.0,Healthcare,Biotechnology,98.0,98.0,87.0,93.0,1.8208,1.7926,1347129.0,2368420.0,31.35,3.25,3609297920,NO,25.78,23.73,18.18,23.8,23.17,,509,0.0,888084,NO,NO,2026-01-06,65139600
32,LRCU,70.38,71.57,118352.0,ETF,ETF,98.0,78.0,95.0,97.0,13.9778,12.4571,127918.0,219710.0,113.66,7.68,0,NO,84.27,68.59,38.89,69.62,47.45,,224,0.0,118352,NO,NO,2026-01-28,366600
33,BBGI,23.34,23.55,2696.0,Communication Services,Broadcasting,98.0,89.0,97.0,98.0,2.2175,2.1761,129198.0,24580.0,29.3,3.14,42251880,NO,23.52,19.92,9.51,19.88,11.53,,6641,0.0,2696,NO,NO,2026-04-08,52492000
34,LITE,802.01,785.77,3552497.0,Technology,Communication Equipment,98.0,15.0,8.0,97.0,68.8159,59.0984,5754970.0,4856860.0,1085.68,90.98,62396379136,NO,828.55,887.52,557.35,865.89,691.24,,2757,0.0,3552497,NO,NO,2026-03-20,22868800
35,DFTX,47.07,48.45,2534654.0,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,4.4351,3.4119,2929209.0,4526130.0,49.2,7.76,6248224768,NO,38.06,28.67,18.7,29.87,21.65,,2424,0.0,2534654,NO,NO,2024-03-07,38010300
36,PENG,78.35,81.39,6284295.0,Technology,Information Technology Services,98.0,96.0,98.0,98.0,9.5308,8.7557,3460093.0,5457700.0,89.86,16.04,4014865408,NO,67.55,56.86,30.06,59.33,33.76,,2294,0.0,6284295,NO,NO,2019-01-09,15604200
37,CHRN,20.9,20.34,164199.0,Technology,Information Technology Services,98.0,89.0,98.0,97.0,3.0747,3.0518,317616.0,410280.0,28.2,2.91,3034989824,NO,20.53,17.86,10.2,18.7,12.56,,3137,1.72,164199,NO,NO,2025-12-30,111143000
38,STX,910.34,890.09,3969817.0,Technology,Computer Hardware,98.0,84.0,96.0,98.0,88.1636,73.6136,4352104.0,5142070.0,1145.0,138.3,205966360576,NO,953.1,868.75,473.13,874.98,566.65,,5931,0.0,3969817,NO,NO,2012-06-29,89629700
39,KORU,557.0,569.91,1230480.0,ETF,ETF,98.0,1.0,93.0,97.0,119.6307,79.16,944327.0,1443070.0,1279.7,74.32,0,NO,759.94,809.36,405.27,792.65,506.54,,3333,0.0,1230480,NO,NO,2024-12-03,5391940
40,BE,244.61,257.02,14713773.0,Industrials,Electrical Equipment & Parts,98.0,8.0,95.0,97.0,36.7142,32.6106,12183940.0,18691120.0,351.28,24.04,69577818112,NO,284.61,282.54,169.43,274.47,193.11,,2000,0.0,14713773,YES,NO,2024-11-15,64722200
41,MAAS,15.46,16.0,27230.0,Financial Services,Asset Management,98.0,98.0,98.0,98.0,3.5377,3.5141,236352.0,138420.0,24.9,2.85,6836034560,NO,15.83,12.59,6.98,13.11,8.53,,1830,0.0,27230,NO,NO,2026-04-20,4246200
