Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
1,DFNS,26.01,27.20,206441,Industrials,Aerospace & Defense,98.00,98.00,98.00,98.00,14.05,9.25,3285332.00,786140.00,1948.75,3.70,26282976,NO,35.50,14.60,5.55,13.05,5.03,,1527,0.00,206441,NO,NO,2026-06-12,369341100
2,WETO,20.76,33.00,959469,Technology,Software - Infrastructure,98.00,98.00,98.00,98.00,6.47,4.89,2032492.00,10812990.00,251.00,2.70,17039808,NO,6.59,3.15,1.32,3.81,1.69,,369,0.00,959469,NO,NO,2026-03-19,108617800
3,SNDK,1568.87,1625.78,15923446,Technology,Computer Hardware,98.00,20.00,78.00,98.00,153.70,134.01,13819864.00,16134180.00,2354.39,43.20,229712396288,NO,1373.64,1656.04,925.26,1636.48,1209.99,,380,0.00,15923446,YES,NO,2025-11-26,43000900
4,CCG,15.60,16.91,9775,Communication Services,Internet Content & Information,98.00,98.00,98.00,98.00,1.82,1.78,123908.00,29300.00,17.99,0.34,39084648,NO,13.45,5.65,2.02,7.42,2.95,,729,0.00,9775,NO,NO,2024-05-29,31389000
5,MGRT,98.80,95.73,15220,Technology,Information Technology Services,98.00,90.00,2.00,98.00,4.52,4.48,16474.00,24070.00,170.00,3.06,1358500096,NO,96.81,85.82,48.65,88.32,66.27,,276,1.86,15220,NO,NO,2025-12-17,3760600
6,BWET,429.75,397.80,371671,ETF,ETF,98.00,98.00,98.00,98.00,21.62,17.77,174638.00,231320.00,431.01,11.92,0,NO,299.35,235.72,115.11,254.17,164.39,,824,1.06,371671,NO,NO,2024-01-30,657200
7,AXTI,73.43,82.31,15052562,Technology,Semiconductor Equipment & Materials,98.00,96.00,0.00,98.00,12.69,11.54,10450717.00,13006700.00,143.16,2.20,4815041024,NO,66.91,68.51,51.40,66.57,67.94,,7105,0.00,15052562,YES,NO,2024-02-23,103105600
8,MUU,29.82,30.12,27133966,ETF,ETF,98.00,3.00,90.00,98.00,3.91,3.35,58168335.00,37609090.00,62.64,0.99,0,NO,28.19,36.01,17.74,35.05,22.82,,465,0.00,27133966,YES,NO,2026-06-09,109858000
9,MULL,20.78,20.93,4860990,ETF,ETF,98.00,3.00,90.00,98.00,2.72,2.33,9875588.00,6265220.00,43.53,0.69,0,NO,19.64,25.06,12.41,24.37,15.93,,442,0.00,4860990,NO,NO,2026-04-01,23787500
10,MRNX,141.64,31.33,2838204,ETF,ETF,98.00,98.00,98.00,98.00,10.86,6.99,34174.00,37760.00,143.84,14.95,0,NO,33.37,34.55,,45.39,,,134,169.26,2838204,NO,YES,2026-08-19,2838204
11,DLLL,23.08,26.67,1507920,ETF,ETF,98.00,85.00,98.00,98.00,3.65,3.28,2525462.00,1407660.00,32.10,2.17,0,NO,24.55,23.49,9.97,23.23,13.11,,379,0.00,1507920,NO,NO,2026-05-28,15772800
12,CLYM,17.34,17.39,1286258,Healthcare,Biotechnology,98.00,97.00,96.00,98.00,1.13,1.10,1309325.00,1334800.00,18.14,1.54,995944704,NO,13.83,12.97,7.78,13.65,10.02,,1260,0.00,1286258,NO,NO,2024-04-11,39106000
13,MRNA,174.38,62.96,185057621,Healthcare,Biotechnology,98.00,98.00,98.00,98.00,11.63,7.84,6881288.00,5812530.00,176.66,22.28,69618761728,NO,64.20,63.91,47.59,74.68,57.61,,1934,84.63,185077360,YES,YES,2026-08-19,185077360
14,QTTB,15.84,15.29,255612,Healthcare,Biotechnology,98.00,71.00,98.00,98.00,0.97,0.97,1533222.00,420980.00,23.57,1.62,471548352,NO,15.52,14.34,7.22,14.17,9.04,,2109,1.77,255612,NO,NO,2025-12-01,168133500
15,ERAS,18.07,18.10,3311690,Healthcare,Biotechnology,98.00,8.00,97.00,92.00,0.98,0.97,4923824.00,2781510.00,24.28,1.33,6320200192,NO,18.36,17.50,11.94,17.80,15.11,,1279,0.00,3311690,NO,NO,2026-04-28,51259600
16,AGL,93.64,95.40,176558,Healthcare,Medical Care Facilities,98.00,1.00,87.00,98.00,9.66,8.92,340533.00,469730.00,133.04,7.48,1572328832,NO,96.38,105.37,45.68,106.96,61.06,,1340,0.00,176558,NO,NO,2025-08-05,7008856
