Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
2851,U,28.23,4910641,Technology,Software - Application,70.00,70.00,95.00,5.00,1.54,1.47,11855417.00,6733020.00,52.15,16.78,12323383296,NO,27.34,32.77,27.66,29.64,1449,-1.50,8115700.00,NO,NO,2026-02-11,104917400.00
2852,DSPY,64.77,15664,ETF,ETF,70.00,49.00,71.00,65.00,0.94,0.74,32716.00,23540.00,66.13,50.40,0,NO,63.55,59.53,63.96,60.57,309,0.94,137600.00,NO,NO,2026-05-29,1364500.00
2853,THRO,41.94,818337,ETF,ETF,70.00,30.00,75.00,62.00,0.74,0.64,2018198.00,1427960.00,43.76,34.95,0,NO,41.99,39.08,42.20,39.55,1135,-0.73,822600.00,NO,NO,2025-05-20,94275700.00
2854,TNXT,27.15,3,ETF,ETF,70.00,52.00,82.00,,0.39,0.14,2241.00,1060.00,27.83,21.63,0,NO,26.47,,26.63,,103,0.63,100.00,NO,NO,2026-02-03,60000.00
2855,DFAX,36.42,478259,ETF,ETF,70.00,24.00,58.00,69.00,0.77,0.55,759330.00,748920.00,38.45,29.09,0,NO,37.00,34.17,37.03,35.24,1201,1.21,1299900.00,NO,NO,2025-07-02,6244600.00
2856,JPXN,98.62,19060,ETF,ETF,70.00,36.00,59.00,73.00,1.79,1.09,16979.00,19240.00,102.69,76.64,0,NO,97.91,91.87,98.26,94.08,6204,1.31,9800.00,NO,NO,2009-04-13,771600.00
2857,TILT,272.24,3115,ETF,ETF,70.00,50.00,70.00,64.00,2.88,2.20,10529.00,4260.00,277.77,221.92,0,NO,268.93,252.99,270.05,257.07,3711,0.63,3100.00,NO,NO,2018-10-19,1136700.00
2858,COSO,26.85,366056,Financial Services,Banks - Regional,70.00,76.00,67.00,66.00,0.60,0.58,104953.00,160030.00,27.64,19.24,326702400,NO,25.86,23.96,25.95,24.84,284,0.11,185500.00,NO,NO,2025-09-19,892700.00
2859,BLCV,40.76,14387,ETF,ETF,70.00,74.00,71.00,64.00,0.62,0.44,24843.00,40270.00,41.61,34.07,0,NO,39.50,37.60,39.75,38.39,775,1.38,5200.00,NO,NO,2025-12-04,400100.00
2860,WBIF,35.12,71,ETF,ETF,70.00,77.00,67.00,68.00,0.32,0.15,1512.00,550.00,35.53,28.70,0,NO,33.52,31.97,33.73,32.45,2974,0.17,100.00,NO,NO,2014-08-27,3561300.00
2861,SHG,60.28,277987,Financial Services,Banks - Regional,70.00,19.00,19.00,75.00,2.45,1.60,262927.00,332670.00,73.40,44.16,28383703040,NO,65.78,59.02,65.62,62.08,5730,-3.15,303900.00,NO,NO,2026-03-05,893900.00
2862,GLBL,27.31,14,ETF,ETF,70.00,26.00,74.00,58.00,0.34,0.02,172.00,120.00,28.66,22.68,0,NO,27.38,25.50,27.58,25.82,293,-0.47,100.00,NO,NO,2026-02-10,2300.00
