Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
7601,KCCA,14.89,4221.00,ETF,ETF,19.00,33.00,26.00,15.00,35625.00,50340.00,18.16,14.36,,No,,14.95,16.09,14.92,15.82
7602,IMMR,6.53,686420.00,Technology,Software - Application,19.00,87.00,38.00,21.00,513023.00,615970.00,8.15,5.25,216145952.00,No,,6.07,6.61,6.09,6.40
7603,GIC,28.71,79886.00,Industrials,Industrial Distribution,19.00,4.00,14.00,48.00,98113.00,91600.00,38.79,25.62,1098476160.00,No,,32.07,32.27,31.51,30.71
7604,ALLT,7.86,597843.00,Technology,Software - Infrastructure,19.00,88.00,6.00,16.00,474825.00,252730.00,11.92,6.12,384535584.00,No,,7.00,8.75,7.08,8.65
7605,XLSI,23.43,3822.00,ETF,ETF,19.00,33.00,20.00,39.00,5583.00,5410.00,25.74,22.87,,No,,23.60,,23.45,24.01
7606,KKRS,16.85,9498.00,,,19.00,49.00,24.00,19.00,32728.00,24090.00,19.30,15.86,,No,,16.84,17.68,16.73,17.32
7607,TUA,20.79,111308.00,ETF,ETF,19.00,19.00,22.00,20.00,538980.00,333800.00,22.30,20.66,,No,,21.15,21.73,21.03,21.60
7608,BTZ,10.28,183363.00,Financial Services,Asset Management,19.00,21.00,24.00,19.00,313973.00,218910.00,11.18,9.70,959375360.00,No,,10.24,10.74,10.18,10.58
7609,SXC,7.47,1260464.00,Basic Materials,Coking Coal,19.00,88.00,13.00,67.00,1939211.00,1541300.00,9.07,5.52,633853376.00,No,,6.44,7.26,6.60,7.01
7610,HIGH,21.65,69744.00,ETF,ETF,19.00,42.00,30.00,20.00,44613.00,16990.00,25.15,21.16,,No,,21.49,22.46,21.49,22.10
7611,BPRO,23.67,5770.00,ETF,ETF,19.00,49.00,27.00,,16115.00,21580.00,30.29,20.84,,No,,23.00,,22.81,
7612,PSKY,10.90,11050139.00,Communication Services,Entertainment,19.00,52.00,57.00,8.00,13595330.00,10924370.00,20.86,8.62,12198986752.00,No,,10.52,13.43,10.36,12.31
7613,PRH,23.85,17898.00,,,19.00,30.00,22.00,21.00,25788.00,27500.00,26.14,23.40,,No,,24.03,24.90,23.91,24.55
7614,ZROZ,62.40,626043.00,ETF,ETF,19.00,19.00,26.00,17.00,595463.00,502830.00,71.22,61.00,,No,,63.94,65.90,63.25,65.35
7615,FTHY,13.48,69336.00,Financial Services,Asset Management,19.00,37.00,23.00,21.00,108916.00,87900.00,14.98,13.20,495699872.00,No,,13.55,14.09,13.49,13.88
7616,MCO,448.39,757743.00,Financial Services,Financial Data & Stock Exchanges,19.00,63.00,44.00,19.00,1305250.00,1031380.00,546.88,402.28,78323171328.00,No,,447.42,482.06,442.51,474.19
7617,APLY,12.56,100616.00,ETF,ETF,19.00,69.00,24.00,17.00,194576.00,130100.00,14.21,11.36,,No,,11.91,12.95,11.94,12.70
