SectorRank,Sector,LeaderRank,Ticker,Leader_Score,Setup_Type,Tightness,Setup_Price,Dist_52WH_%,ATR_%,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,IPO,Gap (%),HVE,SMA50,SMA200,SMA10W,SMA30W,Industry
1,Health technology,1,SI,87.29,Stage 2 Watch,Loose,20.31,11.7,7.75,92.0,94.0,96.0,92.0,NO,0.0,NO,17.91,14.84,18.7,15.57,Medical specialties
2,Energy,1,WTTR,97.32,Breakout Zone,Normal,21.35,0.28,3.93,96.0,95.0,95.0,96.0,NO,1.32,NO,19.0,14.22,19.04,15.75,Oil & Gas Equipment & Services
2,Energy,2,DINO,95.84,Extended Near High,Normal,90.86,2.99,3.08,95.0,98.0,97.0,97.0,NO,0.0,NO,73.14,59.24,74.53,63.14,Oil & Gas Refining & Marketing
2,Energy,3,DK,95.78,Near Breakout,Loose,66.17,4.0,4.13,97.0,98.0,97.0,98.0,NO,0.0,NO,49.5,40.16,51.05,42.52,Oil & Gas Refining & Marketing
2,Energy,4,VLO,95.3,Extended Near High,Normal,310.92,2.84,3.47,95.0,97.0,94.0,96.0,NO,0.0,NO,262.73,213.54,267.1,233.74,Oil & Gas Refining & Marketing
2,Energy,5,PARR,95.21,Near Breakout,Loose,79.42,3.49,4.57,96.0,98.0,93.0,97.0,NO,0.0,NO,60.4,49.7,61.19,54.44,Oil & Gas Refining & Marketing
3,Healthcare,1,FBRX,98.86,Extended Near High,Loose,56.63,0.37,9.86,98.0,98.0,97.0,96.0,NO,0.0,NO,25.13,24.44,28.4,28.23,Biotechnology
3,Healthcare,2,CRNX,98.69,Extended Near High,Loose,83.72,0.33,4.27,97.0,98.0,98.0,93.0,NO,0.0,NO,47.45,44.62,50.57,45.05,Biotechnology
3,Healthcare,3,ETON,98.34,Extended Near High,Loose,43.58,0.8,4.85,97.0,98.0,98.0,98.0,NO,0.28,NO,33.9,22.76,35.2,25.5,Drug Manufacturers - Specialty & Generic
3,Healthcare,4,TXG,98.04,Extended Near High,Loose,47.05,1.67,6.21,98.0,98.0,98.0,97.0,NO,0.0,NO,32.96,22.12,35.59,25.71,Health Information Services
3,Healthcare,5,LQDA,96.42,Extended Near High,Loose,87.04,2.76,5.93,98.0,94.0,98.0,97.0,NO,0.0,NO,69.18,42.74,72.9,49.92,Drug Manufacturers - Specialty & Generic
4,Financial Services,1,AAMI,92.77,Near Breakout,Normal,82.32,3.98,3.69,94.0,92.0,92.0,94.0,NO,0.0,NO,75.53,57.93,76.36,63.22,Asset Management
4,Financial Services,2,ALRS,92.18,Near Breakout,Tight,32.16,1.47,2.26,90.0,86.0,93.0,90.0,NO,0.0,NO,29.71,25.04,30.31,26.58,Banks - Regional
4,Financial Services,3,MUFG,91.7,Near Breakout,Tight,22.41,1.84,2.32,90.0,85.0,93.0,83.0,NO,0.9,NO,20.19,17.68,20.54,18.74,Banks - Diversified
4,Financial Services,4,BNY,91.43,Near Breakout,Tight,160.39,2.06,2.44,90.0,89.0,87.0,89.0,NO,0.0,NO,144.92,124.56,146.82,130.72,Banks - Diversified
4,Financial Services,5,TRST,90.85,Near Breakout,Normal,55.94,1.29,2.82,90.0,81.0,90.0,88.0,NO,0.0,NO,52.82,45.24,53.66,47.75,Banks - Regional
5,Technology,1,DAVE,92.77,Stage 2 Watch,Loose,423.66,7.55,5.57,96.0,98.0,97.0,97.0,NO,0.0,NO,317.64,237.36,337.14,252.09,Software - Application
5,Technology,2,ALOT,91.97,Extended Near High,Very Tight,28.84,0.07,0.28,98.0,62.0,98.0,98.0,NO,0.0,NO,21.57,12.58,23.28,14.74,Computer Hardware
5,Technology,3,SNOW,91.74,Stage 2 Watch,Loose,267.8,6.03,4.68,91.0,96.0,97.0,88.0,NO,0.0,NO,230.5,209.28,243.83,195.56,Software - Application
5,Technology,4,DELL,91.24,Stage 2 Watch,Loose,441.8,5.89,7.63,98.0,80.0,98.0,98.0,NO,2.52,NO,375.33,205.28,398.25,239.84,Computer Hardware
5,Technology,5,PANW,91.16,Stage 2 Watch,Loose,335.28,9.09,5.6,96.0,95.0,98.0,96.0,NO,0.0,NO,292.64,210.45,305.38,217.67,Software - Infrastructure
