Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,pct_below_52wh,pct_of_52wh
1,ERAS,12.29,4265853.0,Healthcare,Biotechnology,99.0,98.0,98.0,98.0,4955298.0,5728850.0,12.47,1.01,3804822016.0,No,1.4434643143544625,98.55653568564554
3,TERN,37.77,1245698.0,Healthcare,Biotechnology,98.0,16.0,98.0,98.0,3426216.0,2320920.0,48.26,1.86,4108140288.0,No,21.736427683381674,78.26357231661832
4,BNR,34.0,6567.0,Healthcare,Diagnostics & Research,98.0,98.0,98.0,98.0,47047.0,14120.0,41.72,2.18,366064256.0,No,18.50431447746884,81.49568552253116
6,ANL,10.01,409801.0,Healthcare,Biotechnology,98.0,99.0,98.0,98.0,861867.0,2613450.0,12.09,0.88,369371680.0,No,17.20430107526882,82.79569892473118
7,IBCA,25.96,85950.0,ETF,ETF,98.0,32.0,37.0,33.0,154829.0,136410.0,26.72,1.0,,No,2.8443113772455018,97.1556886227545
8,CLSM,23.92,22523.0,ETF,ETF,98.0,55.0,49.0,98.0,23480.0,28690.0,24.5,2.28,,No,2.367346938775503,97.63265306122449
10,ALMS,26.19,1381774.0,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,2947591.0,1641550.0,28.29,2.76,3265654784.0,No,7.423117709437957,92.57688229056204
11,SLGL,65.78,5040.0,Healthcare,Biotechnology,98.0,95.0,98.0,98.0,22459.0,32870.0,75.0,4.02,183249072.0,No,12.293333333333333,87.70666666666666
12,KORU,363.24,250265.0,ETF,ETF,98.0,98.0,98.0,98.0,141870.0,266960.0,384.0,27.16,,No,5.406249999999998,94.59375
15,RAPT,57.69,3548433.0,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,1582175.0,4142380.0,57.86,5.66,1670735872.0,No,0.2938126512271029,99.7061873487729
16,LITE,551.99,6668642.0,Technology,Communication Equipment,98.0,97.0,98.0,98.0,4752006.0,5988580.0,558.38,45.65,39412084736.0,No,1.1443819621046574,98.85561803789534
17,CELC,106.75,626959.0,Healthcare,Biotechnology,98.0,23.0,94.0,97.0,860667.0,996060.0,120.31,7.58,4939457024.0,No,11.270883550827032,88.72911644917298
19,OPTX,8.72,900755.0,Technology,Electronic Components,98.0,98.0,98.0,98.0,2639585.0,1419830.0,9.15,1.02,321944352.0,No,4.699453551912565,95.30054644808743
20,PRAX,319.57,398100.0,Healthcare,Biotechnology,98.0,81.0,98.0,98.0,770672.0,578850.0,326.91,26.7,8864518144.0,No,2.2452662812394943,97.7547337187605
