symbol,rsrating,time
RGTI,567.73,2025-07-25
NAKA,563.49,2025-07-25
TGEN,562.87,2025-07-25
BSGM,561.78,2025-07-25
CRCL,555.7,2025-07-25
PTIR,540.31,2025-07-25
DRUG,539.25,2025-07-25
DBVT,522.6,2025-07-25
NEGG,483.5,2025-07-25
BMNR,468.03,2025-07-25
SBDS,466.95,2025-07-25
DGNX,456.56,2025-07-25
MNPR,455.23,2025-07-25
SEZL,449.67,2025-07-25
TMC,436.36,2025-07-25
TSSI,436.33,2025-07-25
MFI,435.76,2025-07-25
AEVA,426.38,2025-07-25
PRCH,425.96,2025-07-25
SBET,411.11,2025-07-25
RKLX,404.24,2025-07-25
TDUP,400.89,2025-07-25
AREN,400.41,2025-07-25
HOOX,400.17,2025-07-25
HOOG,385.6,2025-07-25
GSRTR,383.4,2025-07-25
ALMU,381.48,2025-07-25
DDC,371.44,2025-07-25
NEON,368.42,2025-07-25
PSIX,364.18,2025-07-25
QBTX,361.97,2025-07-25
QNTM,358.54,2025-07-25
OKLO,358.36,2025-07-25
AMPX,356.54,2025-07-25
NUTX,351.46,2025-07-25
CDTX,350.69,2025-07-25
UMAC,350.16,2025-07-25
ZEPP,346.65,2025-07-25
RKLB,337.7,2025-07-25
MB,328.85,2025-07-25
DAVE,324.27,2025-07-25
YI,323.15,2025-07-25
LEU,322.13,2025-07-25
VIGL,297.82,2025-07-25
NVTS,297.46,2025-07-25
AGFY,296.72,2025-07-25
ROBN,289.51,2025-07-25
COIG,288.78,2025-07-25
QSG,287.27,2025-07-25
BTM,286.53,2025-07-25
VVPR,285.99,2025-07-25
KC,283.86,2025-07-25
MP,282.37,2025-07-25
RBLU,280.85,2025-07-25
ARQQ,279.61,2025-07-25
BBAI,275.74,2025-07-25
SMR,275.67,2025-07-25
DALN,274.59,2025-07-25
ATHE,271.75,2025-07-25
HOOD,269.37,2025-07-25
CNVS,262.86,2025-07-25
SGMT,260.72,2025-07-25
PDYN,260.44,2025-07-25
PLTR,258.94,2025-07-25
OCG,258.5,2025-07-25
OUST,257.42,2025-07-25
HYPD,256.88,2025-07-25
BTCS,255.23,2025-07-25
CRWV,253.99,2025-07-25
SDM,252.45,2025-07-25
TAOX,249.09,2025-07-25
MTEN,244.04,2025-07-25
PGY,241.45,2025-07-25
TZUP,241.31,2025-07-25
AMUU,240.42,2025-07-25
JOBY,240.31,2025-07-25
TNGX,238.58,2025-07-25
PAYS,238.42,2025-07-25
ASTS,237.6,2025-07-25
HSAI,235.36,2025-07-25
VRNA,233.49,2025-07-25
ONEG,232.01,2025-07-25
VHC,228.85,2025-07-25
EPSM,228.29,2025-07-25
PHOE,227.74,2025-07-25
AZ,227.38,2025-07-25
RCAT,225.93,2025-07-25
PLTU,225.6,2025-07-25
IONQ,223.59,2025-07-25
MEIP,221.44,2025-07-25
GRRR,220.49,2025-07-25
OCFT,219.51,2025-07-25
LTBR,219.17,2025-07-25
SOGP,218.79,2025-07-25
PRPO,214.83,2025-07-25
CRDO,214.08,2025-07-25
LHAI,213.14,2025-07-25
BLBX,212.95,2025-07-25
QS,209.87,2025-07-25
LAYS,209.73,2025-07-25
INKT,207.93,2025-07-25
ADUR,207.64,2025-07-25
GRPN,207.6,2025-07-25
ASPI,203.53,2025-07-25
COMM,202.26,2025-07-25
MSGY,202.17,2025-07-25
YSG,201.87,2025-07-25
CAR,201.8,2025-07-25
RBLX,201.76,2025-07-25
GEV,200.85,2025-07-25
AMLX,200.8,2025-07-25
CLS,199.74,2025-07-25
BKSY,199.65,2025-07-25
PVLA,198.54,2025-07-25
GENVR,198.05,2025-07-25
RGTX,196.91,2025-07-25
IONX,196.26,2025-07-25
PL,194.75,2025-07-25
CTEV,193.37,2025-07-25
ORCX,192.27,2025-07-25
NBIS,192.12,2025-07-25
VNET,190.55,2025-07-25
HIMS,190.47,2025-07-25
BE,190.23,2025-07-25
EYE,189.58,2025-07-25
WLDN,189.47,2025-07-25
ISSC,189.29,2025-07-25
APP,188.42,2025-07-25
MGRM,188.3,2025-07-25
TTMI,187.83,2025-07-25
JG,187.71,2025-07-25
DOMO,187.0,2025-07-25
OSS,186.89,2025-07-25
SRFM,186.87,2025-07-25
AIRS,186.84,2025-07-25
SBSW,186.59,2025-07-25
METC,186.03,2025-07-25
KTOS,185.03,2025-07-25
TNXP,184.07,2025-07-25
IREN,184.01,2025-07-25
XGN,183.53,2025-07-25
SORA,182.89,2025-07-25
FTK,182.41,2025-07-25
FORD,181.95,2025-07-25
RFIL,181.08,2025-07-25
SNES,181.05,2025-07-25
CEP,179.98,2025-07-25
ETU,179.48,2025-07-25
KOD,178.61,2025-07-25
LASR,178.16,2025-07-25
OWLT,177.11,2025-07-25
CONL,177.05,2025-07-25
ALTS,176.72,2025-07-25
TARK,176.29,2025-07-25
FUTU,175.76,2025-07-25
IPX,175.4,2025-07-25
AMDG,175.34,2025-07-25
TPC,175.24,2025-07-25
ARTL,174.6,2025-07-25
SPCY,174.57,2025-07-25
VRTL,174.57,2025-07-25
GOGO,174.56,2025-07-25
GDS,174.11,2025-07-25
IONL,173.97,2025-07-25
CNL,173.84,2025-07-25
AS,173.81,2025-07-25
NET,173.75,2025-07-25
XYF,173.23,2025-07-25
SGHC,173.16,2025-07-25
TPR,172.9,2025-07-25
PCT,172.82,2025-07-25
JFB,172.76,2025-07-25
IDN,172.63,2025-07-25
XYZG,171.93,2025-07-25
ATYR,171.8,2025-07-25
NAGE,171.57,2025-07-25
VVOS,171.55,2025-07-25
LGCY,171.26,2025-07-25
WKEY,171.24,2025-07-25
UPSX,170.86,2025-07-25
TLN,170.69,2025-07-25
SYM,170.67,2025-07-25
OPRX,170.51,2025-07-25
ACHR,170.48,2025-07-25
