Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
16,PRAX,339.93,489534.0,Healthcare,Biotechnology,98.0,86.0,90.0,98.0,450716.0,384340.0,356.0,28.79,9467332608.0,No
19,KORU,445.88,833460.0,ETF,ETF,98.0,91.0,98.0,98.0,948620.0,1365930.0,665.4,35.7,,No
24,WDC,365.0,6104015.0,Technology,Computer Hardware,98.0,95.0,97.0,98.0,9679945.0,7838300.0,366.3,35.0,124793241600.0,No
28,PL,34.41,9809767.0,Industrials,Aerospace & Defense,98.0,97.0,94.0,97.0,13945540.0,15357960.0,38.21,2.92,11910987776.0,No
31,NBTX,33.2,68095.0,Healthcare,Biotechnology,98.0,12.0,97.0,65.0,48575.0,73060.0,41.89,3.12,1610051072.0,No
44,DNTH,95.76,703312.0,Healthcare,Biotechnology,98.0,94.0,98.0,98.0,1072793.0,940520.0,96.05,16.64,5214014464.0,No
51,CAR,395.77,7102495.0,Industrials,Rental & Leasing Services,98.0,98.0,98.0,98.0,1383155.0,4023700.0,415.26,66.79,13980449792.0,No
54,STX,519.6,3299604.0,Technology,Computer Hardware,98.0,96.0,97.0,97.0,4213770.0,3725820.0,534.23,71.3,116403576832.0,No
68,AFJK,51.2,48789.0,Financial Services,Shell Companies,98.0,98.0,12.0,98.0,21961.0,78550.0,130.37,6.75,313432736.0,No
69,MU,456.23,39383228.0,Technology,Semiconductors,98.0,52.0,94.0,97.0,42527128.0,49902150.0,471.34,65.65,514506096640.0,No
86,ICHR,64.33,797908.0,Technology,Semiconductor Equipment & Materials,98.0,97.0,98.0,98.0,935865.0,660470.0,65.58,13.12,2235127296.0,No
107,FBRX,31.28,213002.0,Healthcare,Biotechnology,97.0,89.0,25.0,97.0,286500.0,583830.0,35.8,4.9,612950528.0,No
136,CENX,64.09,1186762.0,Basic Materials,Aluminum,97.0,90.0,95.0,96.0,2464521.0,2257050.0,68.69,14.77,6343246336.0,No
146,STOK,35.54,281663.0,Healthcare,Biotechnology,97.0,60.0,87.0,78.0,769891.0,684270.0,40.22,7.31,2102219264.0,No
149,APLD,30.81,22975239.0,Technology,Information Technology Services,97.0,85.0,11.0,16.0,24046823.0,26831410.0,42.27,3.31,8804558848.0,No
155,ANAB,67.89,230018.0,Healthcare,Biotechnology,97.0,61.0,95.0,97.0,529746.0,585410.0,73.3,17.11,1951719040.0,No
