Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
13,INTW,335.04,936481,ETF,ETF,99.0,99.0,99.0,99.0,773233.0,1131270.0,407.99,13.74,,No,,127.55,65.09,155.28,87.48
19,LINT,212.41,253784,ETF,ETF,99.0,99.0,99.0,,151988.0,305420.0,257.65,23.87,,No,,80.59,,98.3,
21,LITE,1030.37,4351677,Technology,Communication Equipment,99.0,92.0,97.0,99.0,6441146.0,7010910.0,1085.68,71.04,80162783232.0,No,,806.15,413.81,841.56,536.74
25,SNXX,166.4,8414149,ETF,ETF,99.0,99.0,99.0,,10080895.0,11822000.0,204.56,25.11,,No,,74.8,,86.78,
38,WDC,494.09,5502904,Technology,Computer Hardware,99.0,96.0,97.0,99.0,8541843.0,9880660.0,525.15,48.58,170303995904.0,No,,349.53,207.46,366.13,258.1
39,AMDG,90.21,54309,ETF,ETF,99.0,99.0,99.0,98.0,113306.0,191670.0,99.86,9.71,,No,,38.27,30.75,45.58,35.27
40,AMUU,186.76,120893,ETF,ETF,99.0,99.0,99.0,98.0,152980.0,217270.0,206.68,20.08,,No,,79.01,63.35,94.13,72.43
43,SNDU,100.37,832707,ETF,ETF,99.0,99.0,,,622181.0,1338690.0,123.27,17.16,,No,,,,52.29,
46,LITX,56.34,5536693,ETF,ETF,99.0,96.0,99.0,,5194455.0,8971310.0,62.79,9.23,,No,,38.47,,41.11,
53,STX,817.35,2483342,Technology,Computer Hardware,99.0,97.0,98.0,99.0,4002960.0,6250970.0,841.31,103.73,183273553920.0,No,,522.46,331.45,556.84,398.59
56,INBX,117.95,568837,Healthcare,Biotechnology,99.0,97.0,95.0,92.0,370131.0,636700.0,155.29,10.84,1722929280.0,No,,88.51,65.66,92.52,82.67
62,INTC,120.29,114451062,Technology,Semiconductors,99.0,99.0,99.0,99.0,112855043.0,173056270.0,132.75,18.97,604577529856.0,No,,66.84,43.87,74.14,52.49
93,VCX,246.01,425577,,,99.0,99.0,,,488431.0,513880.0,575.0,31.21,,No,,,,,
96,NVTX,91.12,367731,ETF,ETF,99.0,99.0,99.0,97.0,263891.0,328020.0,192.82,16.3,,No,,41.31,,46.31,41.12
111,WDCX,86.43,261727,ETF,ETF,98.0,98.0,99.0,,576990.0,842370.0,97.49,22.38,,No,,46.95,,51.11,
127,SITM,835.31,470293,Technology,Semiconductors,98.0,99.0,98.0,98.0,453841.0,552130.0,901.81,186.49,22049533952.0,No,,465.17,349.05,504.69,399.94
146,POWL,300.84,497596,Industrials,Electrical Equipment & Parts,98.0,95.0,96.0,98.0,683665.0,869490.0,328.0,54.75,10960097280.0,No,,221.4,143.8,231.18,167.33
191,COGT,34.29,1170874,Healthcare,Biotechnology,98.0,14.0,18.0,54.0,2042245.0,1475360.0,43.73,4.55,5859063808.0,No,,35.98,28.42,35.48,34.65
221,IMOS,54.55,88786,Technology,Semiconductors,97.0,96.0,96.0,98.0,69388.0,117890.0,61.27,15.06,1896752768.0,No,,42.88,30.3,44.25,36.04
223,SPHR,131.79,854408,Communication Services,Entertainment,97.0,27.0,94.0,95.0,820241.0,867570.0,149.0,35.58,4717054464.0,No,,124.21,87.08,125.24,103.21
225,GSAT,82.33,1108040,Communication Services,Telecom Services,97.0,64.0,94.0,91.0,1348426.0,1268470.0,83.0,17.76,10603192320.0,No,,71.68,54.84,74.04,64.83
227,PLU,45.69,156138,ETF,ETF,97.0,95.0,99.0,,193825.0,170830.0,50.69,15.11,,No,,34.62,,37.38,
240,BULZ,45.19,1122624,ETF,ETF,97.0,98.0,98.0,92.0,1926151.0,1806490.0,47.17,12.73,,No,,26.72,25.09,28.51,26.4
246,SKYT,34.9,1561605,Technology,Semiconductors,97.0,86.0,87.0,92.0,1144623.0,1343570.0,36.27,7.72,1717240576.0,No,,30.32,22.01,30.62,25.67
256,NBR,101.35,215101,Energy,Oil & Gas Drilling,97.0,95.0,95.0,97.0,376573.0,353020.0,105.8,23.27,1499565312.0,No,,86.77,59.56,87.55,69.03
289,RAPP,38.08,297682,Healthcare,Biotechnology,97.0,73.0,94.0,93.0,351443.0,373450.0,42.27,7.73,1821249536.0,No,,32.93,27.15,33.68,30.03
296,PDFS,51.57,562578,Technology,Software - Application,96.0,94.0,96.0,96.0,426586.0,628400.0,56.46,17.35,2058730496.0,No,,38.94,30.03,40.97,33.68
313,FEIM,61.11,124530,Technology,Communication Equipment,96.0,80.0,91.0,97.0,188323.0,196940.0,64.99,17.5,601440192.0,No,,51.83,42.32,52.56,47.39
319,MBX,37.5,811414,Healthcare,Biotechnology,96.0,89.0,74.0,93.0,564115.0,791140.0,45.85,9.43,1784907648.0,No,,31.28,26.12,32.31,31.61
325,INTG,38.94,21069,Consumer Cyclical,Lodging,96.0,82.0,92.0,53.0,22803.0,32650.0,43.84,9.57,83674736.0,No,,37.02,28.53,36.91,33.04
328,CHPS,84.87,28115,ETF,ETF,96.0,96.0,95.0,96.0,22448.0,33670.0,86.66,29.31,,No,,63.29,49.67,65.82,55.38
356,SSRM,34.75,2406093,Basic Materials,Gold,96.0,74.0,91.0,95.0,4145318.0,3823960.0,36.52,10.19,7210314752.0,No,,30.07,24.17,30.28,26.1
369,STXX,46.97,98166,ETF,ETF,96.0,,,,165400.0,187650.0,49.73,22.23,,No,,,,,
372,HIBL,102.64,57329,ETF,ETF,96.0,96.0,92.0,94.0,83615.0,57570.0,107.85,29.39,,No,,76.68,66.46,78.79,71.85
397,BTSGU,186.42,5340,Healthcare,Health Information Services,95.0,93.0,94.0,94.0,35398.0,107070.0,188.08,68.14,,No,,152.61,120.57,155.97,135.31
413,AMDW,94.99,41831,ETF,ETF,95.0,99.0,98.0,91.0,49526.0,72130.0,100.75,38.3,,No,,55.89,54.19,61.71,56.32
420,ENS,232.98,335024,Industrials,Electrical Equipment & Parts,95.0,91.0,92.0,95.0,366225.0,352400.0,238.37,76.6,8585633280.0,No,,189.14,148.02,194.96,167.25
429,JNUG,222.85,147059,ETF,ETF,95.0,11.0,5.0,92.0,266336.0,226860.0,363.55,58.57,,No,,212.42,190.17,204.64,216.1
432,CRDO,189.36,6595174,Technology,Semiconductors,95.0,91.0,95.0,68.0,7032140.0,5398760.0,213.8,57.21,34927439872.0,No,,139.96,140.69,145.53,143.86
450,DIOD,101.96,572799,Technology,Semiconductors,95.0,90.0,92.0,98.0,571548.0,769410.0,117.8,42.28,4684525056.0,No,,83.92,61.72,86.93,65.79
465,AEIS,339.19,1173009,Industrials,Electrical Equipment & Parts,95.0,7.0,79.0,93.0,657210.0,861860.0,397.44,112.25,12899617792.0,No,,346.34,243.29,349.03,278.28
485,SII,142.66,94696,Financial Services,Asset Management,94.0,16.0,86.0,93.0,225048.0,203850.0,169.63,54.41,3678142976.0,No,,142.65,105.62,139.59,119.36
491,PLPC,347.12,63970,Industrials,Electrical Equipment & Parts,94.0,81.0,90.0,94.0,158726.0,129380.0,371.8,133.27,1696726656.0,No,,300.79,236.43,311.22,258.03
506,GDXU,214.9,680144,ETF,ETF,94.0,4.0,2.0,83.0,1179640.0,1236780.0,540.78,49.77,,No,,218.85,222.12,206.08,251.1
510,INDV,38.35,1730464,Healthcare,Drug Manufacturers - Specialty & Generic,94.0,90.0,83.0,83.0,2706120.0,3260810.0,41.0,10.63,4533145600.0,No,,33.0,30.2,33.18,33.22
539,QCMU,36.48,1125746,ETF,ETF,94.0,99.0,98.0,87.0,170941.0,696990.0,49.78,13.1,,No,,19.1,23.77,21.02,23.41
545,REMX,106.26,812045,ETF,ETF,94.0,80.0,85.0,93.0,1163338.0,1609340.0,111.55,35.72,,No,,95.8,78.65,95.75,85.58
547,NUGT,200.95,308308,ETF,ETF,94.0,8.0,5.0,89.0,659986.0,516800.0,320.79,57.1,,No,,196.24,175.98,190.8,197.97
553,SKM,39.63,1690235,Communication Services,Telecom Services,94.0,81.0,93.0,97.0,1834103.0,2025670.0,40.49,19.66,15209415680.0,No,,33.58,25.39,34.28,27.03
561,PLXS,261.91,323620,Technology,Electronic Components,94.0,89.0,91.0,96.0,344051.0,376240.0,275.83,115.35,7007774208.0,No,,223.57,171.56,229.56,187.1
577,ION,67.43,6194,ETF,ETF,94.0,76.0,82.0,93.0,7303.0,6360.0,69.55,25.49,,No,,60.21,49.49,60.73,55.22
589,AMSC,55.73,961399,Industrials,Specialty Industrial Machinery,93.0,97.0,97.0,92.0,1144123.0,1313840.0,70.49,22.78,2653432576.0,No,,39.32,42.31,41.59,36.94
606,KNSA,59.12,370302,Healthcare,Drug Manufacturers - Specialty & Generic,93.0,94.0,92.0,92.0,741141.0,725410.0,59.87,24.85,4548575232.0,No,,48.61,41.62,49.42,44.62
607,NVMI,503.65,473874,Technology,Semiconductor Equipment & Materials,93.0,23.0,71.0,94.0,352811.0,350510.0,550.0,179.0,16007493632.0,No,,479.75,374.7,486.39,411.33
619,CEVA,38.15,1025565,Technology,Semiconductors,93.0,98.0,96.0,91.0,584656.0,1264870.0,39.94,17.02,1062834944.0,No,,23.62,23.55,25.5,23.55
620,MEOH,63.54,423102,Basic Materials,Chemicals,93.0,86.0,91.0,95.0,1564125.0,1031940.0,66.75,31.57,4915725312.0,No,,58.72,44.52,59.43,48.24
624,AAMI,70.22,436029,Financial Services,Asset Management,93.0,81.0,93.0,93.0,313730.0,395200.0,73.1,28.98,2501867520.0,No,,59.9,51.15,60.95,53.25
645,FSTR,40.92,126482,Industrials,Railroads,93.0,96.0,92.0,91.0,84053.0,141310.0,42.53,18.18,427969152.0,No,,31.04,28.24,31.71,29.59
676,FTAI,267.09,980249,Industrials,Aerospace & Defense,93.0,31.0,50.0,94.0,1653660.0,1853040.0,323.51,108.47,27398887424.0,No,,249.63,207.69,245.48,228.73
677,ASA,69.92,112682,Financial Services,Asset Management,92.0,50.0,28.0,92.0,71530.0,60160.0,83.2,28.04,1313653888.0,No,,65.67,55.3,64.84,61.68
760,WCC,360.5,298268,Industrials,Industrial Distribution,92.0,90.0,88.0,89.0,601656.0,855880.0,371.67,161.7,17558114304.0,No,,298.91,260.38,305.54,282.09
762,MWH,46.77,1295620,Utilities,Utilities - Renewable,92.0,96.0,,,919445.0,1128080.0,48.4,26.42,9469835264.0,No,,33.55,,34.9,
772,B,44.87,10454497,Basic Materials,Gold,92.0,60.0,21.0,86.0,13555270.0,14778210.0,54.69,17.41,75360886784.0,No,,41.74,38.45,41.45,42.58
774,AU,102.37,1813751,Basic Materials,Gold,91.0,13.0,17.0,89.0,2916226.0,2570040.0,129.14,38.61,51759276032.0,No,,99.36,84.78,98.51,93.9
783,TNA,64.05,5621783,ETF,ETF,91.0,89.0,85.0,90.0,10786516.0,7118680.0,67.61,26.92,,No,,52.89,48.25,53.64,50.95
