Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
11,ASTC,40.3,5150647.0,Technology,Scientific & Technical Instruments,99.0,99.0,99.0,99.0,10.1153,8.8582,5883311.0,24390510.0,68.85,1.92,,70885848.0,No,7.02,4.59,11.43,5.9
31,BE,287.32,7617398.0,Industrials,Electrical Equipment & Parts,99.0,34.0,96.0,98.0,24.8168,22.4129,10502946.0,10599070.0,322.83,19.97,,81726414848.0,No,231.78,141.86,244.37,166.18
43,BEG,88.15,62749.0,ETF,ETF,99.0,14.0,98.0,,14.8049,13.0116,78503.0,122020.0,111.58,10.89,,,No,65.93,,70.87,
60,VPG,129.93,311676.0,Technology,Scientific & Technical Instruments,99.0,99.0,99.0,99.0,10.5057,10.3486,378746.0,717000.0,136.21,25.49,,1728198784.0,No,71.97,46.5,80.23,54.48
72,PENG,71.41,3217781.0,Technology,Information Technology Services,99.0,99.0,99.0,99.0,5.3809,5.1275,2226060.0,3217230.0,73.24,16.04,,3753320960.0,No,35.14,24.86,40.39,26.33
75,TSEM,267.91,1123933.0,Technology,Semiconductors,99.0,94.0,98.0,97.0,22.1493,21.1057,2910384.0,2109450.0,302.86,37.48,,31878350848.0,No,223.28,132.15,233.8,161.32
91,BEX,61.78,615906.0,ETF,ETF,99.0,12.0,98.0,99.0,10.741,9.5631,905328.0,773640.0,79.07,7.2,,,No,46.45,,49.86,29.29
98,PRAX,278.93,675866.0,Healthcare,Biotechnology,98.0,5.0,11.0,92.0,22.9899,21.8963,412803.0,426920.0,366.52,37.19,,7776226304.0,No,326.29,233.6,328.31,297.14
100,ICHR,72.45,697174.0,Technology,Semiconductor Equipment & Materials,98.0,70.0,95.0,99.0,4.7877,4.5596,902249.0,1263140.0,78.0,13.12,,2526117888.0,No,63.76,35.0,66.73,42.39
117,ARMH,172.58,3188.0,ETF,ETF,98.0,99.0,99.0,98.0,10.9259,8.1434,4396.0,7140.0,178.05,42.85,,,No,90.16,66.12,100.87,68.91
139,INBX,95.22,328003.0,Healthcare,Biotechnology,98.0,2.0,90.0,77.0,8.7994,8.7994,407068.0,328860.0,155.29,12.8,,1396990336.0,No,98.51,71.45,102.84,85.06
163,FORM,126.02,1539714.0,Technology,Semiconductor Equipment & Materials,98.0,15.0,92.0,97.0,8.3955,7.6755,1799569.0,1616030.0,159.09,26.08,,9823859712.0,No,126.91,75.97,131.04,92.94
185,DNTH,84.97,576943.0,Healthcare,Biotechnology,98.0,18.0,92.0,96.0,5.0114,4.8718,931323.0,665490.0,96.5,16.64,,4644989952.0,No,87.27,54.3,88.12,63.69
