Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
29,WDCX,43.94,3253998,ETF,ETF,98.0,97.0,98.0,,9.3061,7.1066,1586233.0,3068910.0,69.0,7.46,0,NO,31.52,,34.32,,106,4.41,3253998,NO,NO,2026-06-18,6292500.0
30,BE,275.01,16678048,Industrials,Electrical Equipment & Parts,98.0,16.0,96.0,97.0,33.0493,28.955,11454979.0,16011500.0,351.28,21.52,78224908288,NO,275.0,161.55,279.48,188.26,1992,8.11,16678048,YES,NO,2024-11-15,64722200.0
40,BEG,70.26,146888,ETF,ETF,98.0,2.0,98.0,98.0,18.1756,15.5225,90559.0,112420.0,121.25,10.89,0,NO,82.75,,82.55,,133,11.65,146888,NO,NO,2026-06-26,272900.0
71,ABVX,96.15,1367453,Healthcare,Biotechnology,98.0,1.0,9.0,3.0,7.2311,7.1264,1750404.0,2262160.0,148.83,7.41,7669903872,NO,111.05,111.25,110.04,116.76,673,0.0,1367453,NO,NO,2025-07-23,27831900.0
72,BEX,49.75,1735063,ETF,ETF,98.0,2.0,98.0,98.0,13.4011,11.8691,894282.0,915850.0,86.12,7.2,0,NO,58.44,,58.26,34.02,155,13.86,1735063,NO,NO,2026-04-28,1890000.0
80,SLGL,74.41,14446,Healthcare,Biotechnology,97.0,33.0,10.0,94.0,5.2753,5.2474,41219.0,31500.0,97.97,6.96,243245632,NO,72.81,58.65,74.36,69.61,2112,0.33,14446,NO,NO,2024-12-23,1837620.0
129,TWST,98.36,1658155,Healthcare,Diagnostics & Research,97.0,98.0,97.0,97.0,6.3407,5.98,1687490.0,2728450.0,104.23,23.3,6125006336,NO,67.22,45.21,72.5,53.47,1923,0.0,1658155,NO,NO,2022-11-15,7568500.0
134,VSXY,86.45,1765424,Consumer Cyclical,Apparel Retail,97.0,98.0,96.0,93.0,4.1168,3.9814,2396793.0,2122840.0,88.57,17.53,6872058880,NO,61.79,49.76,66.42,58.45,1240,0.0,1765424,NO,NO,2024-03-07,25901500.0
135,MANE,123.58,645359,Healthcare,Biotechnology,97.0,94.0,95.0,,7.9414,7.69,660317.0,995120.0,128.24,32.0,5163010560,NO,99.07,,104.15,,100,0.0,645359,NO,NO,2026-06-26,4047300.0
157,QURE,47.39,2283230,Healthcare,Biotechnology,96.0,98.0,98.0,95.0,4.0811,2.9675,2155925.0,4417460.0,71.5,8.73,3258266112,NO,27.84,28.43,32.18,24.11,3117,0.0,2283230,NO,NO,2025-09-24,70079700.0
162,STRL,813.77,719767,Industrials,Engineering & Construction,96.0,21.0,96.0,97.0,67.817,61.9527,711667.0,1117830.0,1005.68,217.07,24971309056,NO,758.7,466.64,804.19,527.03,8803,0.65,719767,NO,NO,2025-04-16,7646100.0
181,GTX,35.08,2946371,Consumer Cyclical,Auto Parts,96.0,77.0,96.0,96.0,1.3092,1.2521,2794903.0,3029930.0,35.41,10.23,6566572544,NO,29.61,20.17,32.19,23.1,1955,0.0,2946371,NO,NO,2020-09-24,34688500.0
193,APGE,132.61,3048554,Healthcare,Biotechnology,96.0,98.0,94.0,94.0,5.8193,2.81,2247787.0,9703670.0,133.16,34.34,9970112512,NO,90.12,72.22,93.9,81.59,742,0.0,3048554,NO,NO,2026-06-22,61663500.0
195,ARWR,80.5,1617301,Healthcare,Biotechnology,96.0,64.0,88.0,70.0,4.1012,4.1012,2015550.0,3648020.0,84.55,14.3,11338990592,NO,75.73,59.68,76.58,68.69,8187,1.14,1617301,NO,NO,2014-10-08,54778100.0
224,ATRO,85.66,528393,Industrials,Aerospace & Defense,96.0,94.0,94.0,95.0,5.1327,4.9213,705938.0,914556.0,88.72,21.76,4227184896,NO,67.36,52.89,70.82,60.52,11665,0.0,528393,NO,NO,2025-09-10,7185830.0
234,BTSG,68.98,3871295,Healthcare,Health Information Services,95.0,90.0,93.0,95.0,2.1003,1.9896,3025243.0,3965360.0,70.72,19.01,13537906688,NO,57.58,41.81,61.03,47.48,607,0.0,3871295,NO,NO,2024-01-26,24876200.0
242,KF,72.81,21985,Financial Services,Asset Management,95.0,23.0,93.0,96.0,4.9187,3.7315,24614.0,24590.0,81.94,26.38,302769312,NO,67.63,47.02,70.03,53.81,10543,0.0,21985,NO,NO,2011-12-27,557400.0
245,BTSGU,228.96,8998,Healthcare,Health Information Services,95.0,88.0,93.0,95.0,7.2696,5.3264,34501.0,2710.0,255.51,68.14,0,NO,190.32,139.91,201.62,157.88,607,0.24,8998,NO,NO,2024-12-13,2341300.0
297,VCYT,60.19,1422852,Healthcare,Diagnostics & Research,95.0,96.0,96.0,89.0,2.5929,2.4778,1135180.0,1762510.0,60.83,22.61,4802719232,NO,43.66,39.2,47.37,40.39,3183,0.0,1422852,NO,NO,2025-07-28,15571600.0
