Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
42,KEEX,112.39,7229,ETF,ETF,98.0,11.0,98.0,,23.538,21.9072,13769.0,23030.0,181.67,15.35,0,NO,89.09,,96.48,,,125,0.0,7229,NO,NO,2026-02-06,81800
74,PRAX,334.79,739992,Healthcare,Biotechnology,98.0,16.0,72.0,81.0,20.1036,19.4207,490108.0,762820.0,366.52,37.19,9333534720,NO,315.2,255.1,315.58,310.0,,1431,0.0,739992,NO,NO,2025-10-16,13741900
75,HUT,115.44,3169268,Financial Services,Capital Markets,98.0,11.0,97.0,96.0,10.4686,10.2686,4815366.0,4615880.0,140.8,18.03,12998427648,NO,105.27,62.96,110.26,73.1,,2089,0.0,3169268,NO,NO,2025-12-17,22652500
78,HUTG,30.75,31619,ETF,ETF,97.0,3.0,98.0,,5.5206,5.3217,70496.0,41430.0,48.1,5.37,0,NO,28.3,,29.97,,,116,0.0,31619,NO,NO,2026-05-06,846200
83,VSH,53.78,19707404,Technology,Semiconductors,97.0,69.0,98.0,98.0,6.245,5.2996,5963408.0,7344260.0,69.47,11.77,7319771136,NO,45.5,24.07,49.2,28.85,,11666,0.0,19707404,YES,NO,2010-11-04,49052300
143,STRO,33.2,329613,Healthcare,Biotechnology,97.0,90.0,86.0,97.0,2.6321,2.5843,324393.0,579990.0,43.85,6.7,550138560,NO,32.19,18.78,31.78,23.16,,1948,0.0,337492,NO,NO,2026-06-26,2773500
147,INBX,94.75,217001,Healthcare,Biotechnology,97.0,10.0,92.0,74.0,6.2539,6.2539,449250.0,366280.0,155.29,13.97,1390094848,NO,106.43,77.38,103.89,86.06,,523,0.0,217001,NO,NO,2025-10-24,6079600
148,MANE,122.94,503855,Healthcare,Biotechnology,97.0,94.0,96.0,,7.9022,7.7358,662298.0,1041310.0,128.24,32.0,5136271872,NO,100.0,,104.09,,,101,0.0,503855,NO,NO,2026-06-26,4047300
157,WYFI,38.85,2091192,Technology,Information Technology Services,96.0,96.0,98.0,96.0,5.9077,5.7849,1737309.0,3704860.0,46.87,10.51,1500162176,NO,26.6,22.24,28.56,20.6,,225,0.0,2091192,NO,NO,2025-08-07,14776600
170,POWL,286.36,591800,Industrials,Electrical Equipment & Parts,96.0,55.0,94.0,97.0,20.7136,18.7236,705688.0,1002420.0,328.0,67.82,10432566272,NO,284.36,176.3,288.4,207.38,,11666,1.3,591800,NO,NO,2024-07-31,5279700
181,NWPX,149.94,210282,Basic Materials,Steel,96.0,95.0,95.0,96.0,6.5621,6.4314,166285.0,253520.0,152.03,40.01,1444973056,NO,115.96,77.8,124.43,89.81,,7694,0.18,210282,NO,NO,2008-12-30,1481600
190,RIOX,58.98,154312,ETF,ETF,96.0,15.0,98.0,92.0,8.4361,7.9432,241132.0,207810.0,153.75,12.96,0,NO,50.11,51.83,53.45,37.46,,372,0.0,154312,NO,NO,2026-05-01,615600
209,ENLT,89.02,201231,Utilities,Utilities - Renewable,96.0,3.0,87.0,96.0,5.3486,4.1011,214172.0,358960.0,108.65,22.95,12441217024,NO,91.32,60.66,91.61,72.12,,875,0.29,201231,NO,NO,2023-02-10,4633700
212,WULX,46.17,58332,ETF,ETF,96.0,7.0,97.0,97.0,8.7349,8.2984,165270.0,78450.0,68.49,15.04,0,NO,47.75,,48.09,31.89,,171,0.0,58332,NO,NO,2026-02-13,1071200
234,SEZL,171.63,572787,Financial Services,Credit Services,95.0,97.0,97.0,97.0,10.9174,10.1445,718722.0,809230.0,186.74,49.5,5771405824,NO,114.38,80.92,125.56,87.65,,701,0.0,572787,NO,NO,2023-09-19,10405200
250,INTG,48.02,138545,Consumer Cyclical,Lodging,95.0,95.0,82.0,94.0,4.1121,4.095,54106.0,125420.0,52.0,9.57,103185952,NO,38.39,32.46,39.26,34.19,,11666,0.0,138545,NO,NO,2026-06-18,369500
255,CIFU,33.31,154586,ETF,ETF,95.0,21.0,98.0,89.0,7.1041,6.5231,197743.0,96860.0,51.21,9.99,0,NO,30.96,,31.99,25.22,,150,0.0,154586,NO,NO,2026-02-04,773200
259,APLD,37.3,16325521,Technology,Information Technology Services,95.0,2.0,95.0,92.0,3.8043,3.6164,23424893.0,21122020.0,50.73,9.02,10659203072,NO,41.25,32.13,41.59,33.87,,1056,0.0,16325521,YES,NO,2025-06-02,239746500
267,TXXH,50.23,7343,ETF,ETF,95.0,3.0,,,7.1921,4.8304,25934.0,21920.0,74.74,23.05,0,NO,,,43.61,,,42,0.0,7343,NO,NO,2026-06-05,72200
286,WGMI,63.07,402363,ETF,ETF,95.0,11.0,95.0,92.0,5.155,4.96,619654.0,731980.0,76.94,22.22,0,NO,60.61,48.89,62.19,48.74,,1101,0.0,402363,NO,NO,2025-03-04,2252000
294,EWTX,40.63,947059,Healthcare,Biotechnology,95.0,93.0,85.0,92.0,2.6066,2.5538,1415003.0,2158000.0,43.93,12.3,4371504128,NO,34.76,26.88,35.52,31.06,,1321,0.0,947059,NO,NO,2025-04-02,16114400
304,HNGE,83.0,1296484,Healthcare,Health Information Services,94.0,98.0,96.0,94.0,3.956,3.9089,1684714.0,3019810.0,84.62,30.08,6422550528,NO,57.95,48.5,62.78,49.09,,277,0.0,1296484,NO,NO,2025-05-22,9172800
