Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
5,SBTU,43.68,39.671,6086.0,ETF,ETF,98.0,98.0,98.0,98.0,4.8942,2.1228,142077.0,167430.0,48.31,1.3,0,NO,14.53,7.05,6.23,10.23,5.6,,216,0.0,6086,NO,NO,2026-08-19,636600.0
67,DELL,456.01,456.24,7614148.0,Technology,Computer Hardware,98.0,88.0,25.0,98.0,24.3656,22.5685,7373415.0,4648940.0,514.0,110.22,294647398400,NO,459.3,434.1,246.32,436.74,305.84,,2523,0.0,7614148,NO,NO,2016-09-07,147907159.0
75,MSTC,52.95,48.76,1760.0,ETF,ETF,98.0,98.0,,,4.5854,2.0104,2051.0,5300.0,57.42,23.4,0,NO,37.33,,,35.33,,,46,0.0,1760,NO,NO,2026-08-21,17900.0
81,LBRX,47.26,47.73,386949.0,Healthcare,Biotechnology,97.0,92.0,98.0,97.0,2.1692,2.121,325765.0,258590.0,50.16,13.36,1524568576,NO,47.08,39.08,28.03,41.13,31.95,,244,0.0,386949,NO,NO,2025-12-19,4085700.0
88,LINT,93.77,93.85,52481.0,ETF,ETF,97.0,10.0,0.0,98.0,10.318,8.7973,156357.0,112190.0,266.71,23.87,0,NO,109.46,138.54,,119.31,116.14,,195,0.0,52481,NO,NO,2026-01-23,456000.0
96,TXXH,68.5,62.29,36730.0,ETF,ETF,97.0,98.0,12.0,,6.3679,4.7857,18426.0,24540.0,74.74,23.05,0,NO,46.29,45.16,,46.14,,,85,3.78,36730,NO,NO,2026-06-05,72200.0
119,SOXL,112.79,111.34,33835849.0,ETF,ETF,97.0,20.0,0.0,96.0,11.7129,9.055,64596552.0,57843150.0,302.0,23.8,0,NO,128.74,156.77,107.43,139.07,131.07,,4144,0.96,33835849,YES,NO,2025-04-09,787748800.0
137,HPE,52.24,52.31,30250613.0,Technology,Communication Equipment,97.0,84.0,82.0,98.0,2.6432,2.4584,24326631.0,12787470.0,64.25,19.84,69176393728,NO,54.52,49.68,32.67,50.11,37.37,,2732,0.0,30250613,YES,NO,2026-06-02,153197800.0
138,MANE,98.41,97.93,678218.0,Healthcare,Biotechnology,97.0,8.0,21.0,97.0,5.8557,5.7486,719453.0,601640.0,131.24,32.0,4111583232,NO,106.74,111.31,,110.14,88.53,,144,0.0,678218,NO,NO,2026-06-26,4047300.0
151,OSCX,101.09,105.017,6725.0,ETF,ETF,97.0,2.0,96.0,98.0,9.3406,7.6043,6438.0,4230.0,136.0,17.62,0,NO,105.45,109.41,62.09,109.18,71.19,,234,0.0,6725,NO,NO,2025-11-24,357050.0
165,FTNT,170.93,166.0,6589077.0,Technology,Software - Infrastructure,96.0,77.0,87.0,97.0,6.5743,6.4071,5682409.0,4278470.0,173.89,73.55,125413670912,NO,160.42,157.97,108.55,159.98,122.62,,4220,0.0,6589077,NO,NO,2018-10-10,166853000.0
189,THYP,48.47,46.17,170169.0,ETF,ETF,96.0,98.0,85.0,,2.705,2.1221,135396.0,180050.0,50.3,22.54,0,NO,38.48,37.0,,37.8,,,77,2.38,170169,NO,NO,2026-05-21,1422400.0
198,AXTQ,53.62,57.5,87348.0,ETF,ETF,96.0,,,,,,75411.0,75411.0,57.65,25.89,0,NO,,,,,,,10,0.0,87348,NO,NO,2026-08-19,237000.0
209,KFRC,57.58,58.1,305941.0,Industrials,Staffing & Employment Services,96.0,52.0,90.0,97.0,2.01,1.9432,229420.0,211390.0,61.68,24.49,1031200256,NO,58.14,55.51,39.3,56.73,42.96,,7812,0.0,305941,NO,NO,2000-01-26,6210400.0
