IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
1,TJGC,16.9,Communication Services,Advertising Agencies,98.0,98.0,98.0,98.0,1.5611,1.5589,0.0,NO,NO
2,MGNI,24.8,Communication Services,Advertising Agencies,93.0,88.0,94.0,96.0,1.1536,1.0764,0.0,NO,NO
3,WPP,25.71,Communication Services,Advertising Agencies,92.0,37.0,96.0,94.0,0.8164,0.6371,0.0,NO,NO
4,ZD,58.2,Communication Services,Advertising Agencies,92.0,84.0,91.0,87.0,1.7564,1.7114,0.85,NO,NO
5,ADV,33.04,Communication Services,Advertising Agencies,66.0,28.0,5.0,94.0,1.5558,1.5558,0.99,NO,NO
1,SIF,21.57,Industrials,Aerospace & Defense,97.0,81.0,74.0,92.0,0.9793,0.9643,0.0,NO,NO
2,DCO,166.45,Industrials,Aerospace & Defense,92.0,4.0,56.0,88.0,6.6207,6.4814,0.0,NO,NO
3,ATRO,69.7,Industrials,Aerospace & Defense,91.0,7.0,6.0,86.0,3.3571,3.1629,0.55,NO,NO
4,VOYG,37.53,Industrials,Aerospace & Defense,88.0,40.0,83.0,87.0,2.2129,2.1121,0.0,NO,NO
5,EMBJ,76.93,Industrials,Aerospace & Defense,87.0,75.0,92.0,86.0,2.1221,2.0586,0.0,NO,NO
1,CF,120.59,Basic Materials,Agricultural Inputs,87.0,13.0,88.0,30.0,5.7425,5.3068,0.0,NO,NO
2,UAN,128.85,Basic Materials,Agricultural Inputs,84.0,80.0,87.0,32.0,3.5625,3.1532,0.0,NO,NO
3,NTR,75.43,Basic Materials,Agricultural Inputs,83.0,67.0,90.0,37.0,2.4486,2.3497,0.0,NO,NO
4,IPI,37.21,Basic Materials,Agricultural Inputs,80.0,23.0,83.0,14.0,1.8239,1.816,0.22,NO,NO
5,CTVA,80.34,Basic Materials,Agricultural Inputs,57.0,44.0,51.0,37.0,2.5611,2.4689,0.0,NO,NO
1,DAL,83.92,Industrials,Airlines,78.0,78.0,24.0,84.0,2.2014,1.9914,0.0,NO,NO
