Rank,Industry,Sector,RS,1M_RS,3M_RS,6M_RS,Ticker
1,Computer Hardware,Technology,148.36,135.23,137.28,131.45,
2,Utilities - Independent Power Producers,Utilities,146.22,132.94,126.0,143.14,
3,Uranium,Energy,144.76,140.18,92.02,101.2,
4,Consumer Electronics,Technology,135.47,88.95,86.52,95.11,
5,Beverages - Wineries & Distilleries,Consumer Defensive,129.44,128.68,155.97,125.43,
6,Capital Markets,Financial Services,128.44,128.89,122.08,136.54,
7,Internet Retail,Consumer Cyclical,127.97,125.75,136.58,113.36,
8,Medical Distribution,Healthcare,127.86,161.0,173.04,94.25,
9,Electrical Equipment & Parts,Industrials,127.13,126.87,105.55,129.89,
10,Airports & Air Services,Industrials,126.96,117.86,115.56,102.85,
11,Other Industrial Metals & Mining,Basic Materials,126.32,131.21,115.07,107.02,
12,Engineering & Construction,Industrials,126.01,129.04,105.08,111.89,
13,Gambling,Consumer Cyclical,124.0,121.93,102.28,108.14,
14,Aerospace & Defense,Industrials,123.3,129.8,118.64,126.77,
15,Other Precious Metals & Mining,Basic Materials,122.9,124.96,121.83,106.95,
16,Pollution & Treatment Controls,Industrials,122.59,117.15,93.65,101.92,
17,Electronic Components,Technology,121.78,131.83,109.35,112.58,
18,Farm & Heavy Construction Machinery,Industrials,120.44,113.28,102.95,101.62,
19,Publishing,Communication Services,118.07,89.63,97.58,90.36,
20,Silver,Basic Materials,118.0,128.37,105.08,108.39,
21,Gold,Basic Materials,117.78,139.57,140.17,112.28,
22,Advertising Agencies,Communication Services,116.61,107.09,95.86,126.19,
23,Tobacco,Consumer Defensive,116.16,114.95,129.93,118.16,
24,Communication Equipment,Technology,116.15,130.89,118.64,145.14,
25,Metal Fabrication,Industrials,115.22,129.19,123.25,107.24,
26,Semiconductors,Technology,113.77,118.0,90.96,104.5,
27,Solar,Technology,113.45,112.1,73.24,69.9,
28,Credit Services,Financial Services,113.25,114.52,119.94,128.87,
29,Education & Training Services,Consumer Defensive,111.65,113.13,119.5,117.85,
30,Banks - Diversified,Financial Services,111.48,113.62,114.05,107.74,
31,Specialty Industrial Machinery,Industrials,110.92,115.66,100.76,110.29,
32,Consulting Services,Industrials,109.69,113.15,92.19,138.42,
33,Financial Conglomerates,Financial Services,109.51,76.11,75.86,80.08,
34,Internet Content & Information,Communication Services,109.38,122.05,107.6,114.42,
35,Software - Infrastructure,Technology,108.24,118.78,111.34,120.55,
36,Auto Parts,Consumer Cyclical,107.56,111.08,99.77,94.47,
37,Luxury Goods,Consumer Cyclical,107.54,116.36,108.48,139.48,
38,Auto Manufacturers,Consumer Cyclical,107.13,101.46,105.2,94.99,
39,Entertainment,Communication Services,106.51,115.06,107.86,111.25,
40,Utilities - Regulated Electric,Utilities,106.34,103.44,112.08,103.69,
41,Travel Services,Consumer Cyclical,106.28,111.56,100.86,120.31,
42,Apparel Manufacturing,Consumer Cyclical,105.67,89.32,103.77,94.47,
43,Footwear & Accessories,Consumer Cyclical,105.19,100.22,96.83,106.83,
44,Software - Application,Technology,104.78,112.74,107.5,118.98,
45,Biotechnology,Healthcare,104.61,102.77,88.08,96.14,
46,Scientific & Technical Instruments,Technology,103.71,105.64,98.7,106.16,
47,Coking Coal,Basic Materials,103.45,84.99,80.99,69.62,
48,Information Technology Services,Technology,103.42,116.04,110.65,123.28,
49,Utilities - Renewable,Utilities,102.48,101.16,90.98,95.22,
50,Discount Stores,Consumer Defensive,102.34,101.86,109.93,98.9,
51,Electronic Gaming & Multimedia,Communication Services,102.3,102.13,98.39,89.54,
52,Confectioners,Consumer Defensive,101.44,94.78,106.85,80.78,
53,Industrial Distribution,Industrials,100.89,103.24,95.21,92.73,
54,Agricultural Inputs,Basic Materials,100.81,112.01,110.05,92.93,
55,Restaurants,Consumer Cyclical,100.61,102.71,92.41,106.77,
56,Health Information Services,Healthcare,100.52,110.0,99.8,107.94,
57,Diagnostics & Research,Healthcare,100.38,106.37,96.03,113.91,
58,Pharmaceutical Retailers,Healthcare,100.38,99.59,99.49,75.11,
59,Airlines,Industrials,100.16,103.54,94.64,120.43,
60,Food Distribution,Consumer Defensive,100.14,97.95,104.09,101.09,
61,Aluminum,Basic Materials,99.97,101.3,87.84,85.27,
62,Oil & Gas Refining & Marketing,Energy,99.88,102.61,86.9,81.5,
63,Mortgage Finance,Financial Services,99.85,98.07,98.16,95.68,
64,Rental & Leasing Services,Industrials,99.82,105.22,95.99,99.75,
65,Thermal Coal,Energy,99.64,99.29,109.8,91.71,
66,Financial Data & Stock Exchanges,Financial Services,99.59,104.97,101.39,96.68,
67,Household & Personal Products,Consumer Defensive,98.94,100.57,96.19,91.14,
68,Real Estate Services,Real Estate,98.8,96.56,97.17,93.84,
69,Personal Services,Consumer Cyclical,98.67,101.74,111.86,109.73,
70,Building Products & Equipment,Industrials,98.48,103.26,93.42,94.16,
71,Copper,Basic Materials,98.36,107.33,87.13,80.33,
72,Security & Protection Services,Industrials,98.17,107.22,108.08,102.86,
73,Resorts & Casinos,Consumer Cyclical,97.92,99.8,86.84,88.52,
74,Oil & Gas Integrated,Energy,97.27,92.44,93.8,97.53,
75,Telecom Services,Communication Services,97.27,98.39,101.88,91.58,
76,Insurance - Property & Casualty,Financial Services,97.14,102.16,118.34,111.34,
77,ETF,ETF,96.58,96.01,98.73,94.48,
78,Medical Care Facilities,Healthcare,96.57,103.68,97.04,95.4,
79,Beverages - Non-Alcoholic,Consumer Defensive,96.57,96.96,106.82,93.99,
80,Insurance - Diversified,Financial Services,95.95,92.71,101.75,97.47,
81,Specialty Business Services,Industrials,95.78,99.93,94.63,99.62,
82,Auto & Truck Dealerships,Consumer Cyclical,95.36,110.79,100.57,108.0,
83,Packaged Foods,Consumer Defensive,95.12,90.53,94.1,93.57,
84,Oil & Gas Equipment & Services,Energy,95.02,96.22,88.71,103.9,
85,Waste Management,Industrials,94.82,100.27,100.88,93.18,
86,Utilities - Regulated Gas,Utilities,94.77,95.34,109.77,100.17,
87,Building Materials,Basic Materials,94.71,95.26,98.05,101.56,
88,Shell Companies,Financial Services,94.65,92.6,100.5,92.79,
89,n/a,n/a,94.62,90.44,95.8,91.04,
90,Lodging,Consumer Cyclical,93.87,96.35,96.52,106.91,
91,Specialty Retail,Consumer Cyclical,93.79,98.23,84.82,91.56,
92,Oil & Gas Midstream,Energy,93.51,91.33,94.95,96.23,
93,Railroads,Industrials,93.5,101.78,89.5,110.32,
94,Leisure,Consumer Cyclical,93.41,98.78,97.53,124.55,
95,Semiconductor Equipment & Materials,Technology,93.28,96.97,74.69,87.8,
96,Insurance - Reinsurance,Financial Services,93.17,94.36,109.55,92.33,
97,Utilities - Diversified,Utilities,92.98,88.21,99.73,84.78,
98,Conglomerates,Industrials,92.97,92.61,91.74,90.34,
99,Banks - Regional,Financial Services,92.91,102.36,102.66,102.86,
100,Asset Management,Financial Services,92.75,91.57,97.22,94.38,
101,Marine Shipping,Industrials,92.66,85.94,81.83,77.24,
102,Home Improvement Retail,Consumer Cyclical,92.48,100.0,85.81,84.56,
103,Steel,Basic Materials,92.21,98.23,93.34,84.38,
104,Apparel Retail,Consumer Cyclical,92.15,91.96,78.03,90.48,
105,Specialty Chemicals,Basic Materials,92.1,95.79,84.49,86.22,
106,Department Stores,Consumer Cyclical,92.04,88.48,65.07,78.92,
107,REIT - Healthcare Facilities,Real Estate,91.87,87.91,100.3,92.02,
108,Grocery Stores,Consumer Defensive,91.86,99.14,123.82,117.63,
109,Drug Manufacturers - Specialty & Generic,Healthcare,91.32,97.09,106.37,103.48,
110,Tools & Accessories,Industrials,91.08,91.16,84.2,87.96,
111,Drug Manufacturers - General,Healthcare,91.04,85.69,85.2,82.46,
112,Farm Products,Consumer Defensive,91.0,88.47,96.98,92.41,
