Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
1,INTW,363.57,1551490.0,ETF,ETF,99.0,99.0,99.0,99.0,744420.0,1040590.0,393.48,13.74,,No,,109.63,60.04,126.96,77.86
2,KORU,942.18,489419.0,ETF,ETF,99.0,99.0,99.0,99.0,1023143.0,507680.0,944.34,43.2,,No,,448.65,249.25,452.3,319.58
3,LWLG,16.43,10410351.0,Basic Materials,Specialty Chemicals,99.0,99.0,99.0,99.0,6585088.0,9924950.0,18.28,0.92,2474533888.0,No,,9.54,5.22,10.2,6.12
4,SNDK,1562.34,19524383.0,Technology,Computer Hardware,99.0,98.0,99.0,99.0,18122832.0,16409110.0,1564.0,35.79,231366557696.0,No,,837.6,386.82,872.81,523.98
5,EDSA,16.3,288850.0,Healthcare,Biotechnology,99.0,99.0,99.0,99.0,4624801.0,1883760.0,20.32,0.72,144837216.0,No,,7.91,3.41,8.44,3.9
6,AXTI,116.36,12357394.0,Technology,Semiconductor Equipment & Materials,99.0,98.0,99.0,99.0,11705670.0,12409740.0,129.43,1.24,7612641792.0,No,,63.89,24.18,68.42,33.74
7,RLMD,7.32,827431.0,Healthcare,Biotechnology,99.0,13.0,98.0,99.0,1803140.0,887440.0,8.0,0.36,767796480.0,No,,6.64,3.75,6.68,4.73
8,MULL,475.95,436094.0,ETF,ETF,99.0,99.0,99.0,99.0,443796.0,369760.0,475.95,10.64,,No,,191.91,103.62,203.0,138.95
9,BWET,167.37,71895.0,ETF,ETF,99.0,19.0,99.0,99.0,113893.0,73070.0,216.5,9.6,,No,,118.69,45.86,125.51,60.5
10,MUU,542.72,2766006.0,ETF,ETF,99.0,99.0,99.0,99.0,2555712.0,2227870.0,542.72,11.92,,No,,217.87,117.6,230.69,157.67
11,BW,14.54,2310359.0,Industrials,Specialty Industrial Machinery,99.0,2.0,96.0,99.0,3955866.0,2865550.0,18.8,0.45,1973685888.0,No,,14.8,7.45,14.83,9.45
