Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
1,SNDK,1831.5,11560004.0,Technology,Computer Hardware,99.0,97.0,99.0,99.0,116.2002,112.2323,15974465.0,10463100.0,1861.0,37.33,,271226388480.0,No,1141.11,514.1,1262.64,712.24
2,BWET,188.0,99194.0,ETF,ETF,99.0,84.0,99.0,99.0,13.177,11.4763,129482.0,200030.0,216.5,9.66,,,No,154.37,59.8,162.58,81.55
3,AIXI,10.03,121236.0,Technology,Software - Application,99.0,99.0,99.0,99.0,1.8666,1.7435,54716179.0,189210.0,16.27,0.08,,9233497.0,No,4.69,1.76,5.33,2.04
4,MUU,1065.0,2338672.0,ETF,ETF,99.0,99.0,99.0,99.0,97.8996,80.9582,2900452.0,3279480.0,1081.71,16.73,,,No,386.23,174.13,459.42,247.37
5,DKI,5.89,20680.0,Communication Services,Electronic Gaming & Multimedia,99.0,99.0,99.0,99.0,0.7286,0.6999,5042782.0,147090.0,15.0,0.28,,12236204.0,No,2.3,1.88,2.63,1.15
6,AXTI,106.7,6029812.0,Technology,Semiconductor Equipment & Materials,99.0,51.0,99.0,99.0,16.7652,16.7409,11922447.0,9201420.0,143.16,1.67,,6980653568.0,No,88.2,33.97,96.26,48.63
7,MGRT,74.77,10864.0,Technology,Information Technology Services,99.0,1.0,99.0,99.0,10.7106,10.4396,76387.0,17670.0,170.0,1.5,,1028087424.0,No,91.18,27.18,96.64,36.73
8,MULL,929.96,265776.0,ETF,ETF,99.0,99.0,99.0,99.0,85.4278,70.7478,457787.0,441700.0,943.0,14.68,,,No,338.57,153.03,402.18,217.36
9,INTW,285.96,1358415.0,ETF,ETF,99.0,95.0,99.0,99.0,44.8276,38.9103,798379.0,714570.0,407.99,13.74,,,No,196.51,85.09,224.09,110.66
10,KORU,1196.72,342097.0,ETF,ETF,99.0,99.0,99.0,99.0,123.4907,94.3379,1055242.0,721450.0,1279.7,57.53,,,No,632.27,321.97,708.17,426.0
11,ASTC,40.3,5150647.0,Technology,Scientific & Technical Instruments,99.0,99.0,99.0,99.0,10.1153,8.8582,5883311.0,24390510.0,68.85,1.92,,70885848.0,No,7.02,4.59,11.43,5.9
12,MVLL,202.93,7116011.0,ETF,ETF,99.0,99.0,99.0,99.0,20.7791,17.2471,1113326.0,2305060.0,233.0,12.96,,,No,66.03,32.49,80.53,40.97
13,DUKR,6.41,37531.0,Industrials,Aerospace & Defense,99.0,1.0,99.0,99.0,0.7969,0.6883,21471.0,68080.0,14.2,0.15,,21845132.0,No,9.08,2.95,9.01,4.24
