Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
1,MI,10.58,618,Consumer Cyclical,Internet Retail,98.0,1.0,98.0,97.0,1.174,0.8461,138293.0,1160.0,19.84,0.18,2443821,NO,8.18,4.59,8.25,4.85,2660,-4.96,600.0,NO,NO,2026-03-25,59027800.0
2,QH,5.51,247625,Technology,Software - Application,98.0,98.0,98.0,98.0,2.162,1.8352,2134245.0,1837730.0,169.11,0.02,17943938,NO,3.98,2.63,4.7,2.01,1498,-7.58,348600.0,NO,NO,2026-03-04,85043700.0
3,MUU,1020.02,3296010,ETF,ETF,98.0,96.0,98.0,98.0,187.044,136.1811,3149556.0,3447720.0,1252.8,16.73,0,NO,627.61,245.51,658.55,324.32,428,-12.45,3393500.0,NO,NO,2026-06-09,5492900.0
4,SNDK,2090.71,16567766,Technology,Computer Hardware,98.0,97.0,98.0,98.0,217.247,166.3588,14124222.0,11391130.0,2354.39,40.1,309612740608,NO,1521.57,664.52,1613.54,889.09,343,-7.07,16799100.0,YES,NO,2025-11-26,43000900.0
5,DUKR,5.43,27771,Industrials,Aerospace & Defense,98.0,6.0,4.0,98.0,0.8171,0.8064,31272.0,52770.0,14.2,0.15,18505314,NO,8.39,3.4,8.03,4.82,1371,-2.24,66600.0,NO,NO,2025-08-06,701400.0
6,AXTI,70.15,16354193,Technology,Semiconductor Equipment & Materials,98.0,0.0,43.0,98.0,13.8421,12.8043,11704298.0,11015410.0,143.16,1.85,4589436416,NO,97.37,40.39,99.61,55.4,7067,4.9,9277700.0,YES,NO,2024-02-23,103105600.0
7,MGRT,77.11,12019,Technology,Information Technology Services,98.0,14.0,98.0,98.0,8.1921,7.865,74245.0,9640.0,170.0,1.5,1060262528,NO,106.7,33.05,100.93,43.53,239,1.47,12300.0,NO,NO,2025-12-17,3760600.0
8,AMIX,5.72,27150,Healthcare,Medical Devices,98.0,98.0,98.0,98.0,0.8431,0.3241,37018.0,24308.0,55.44,4.2,3107687,NO,1.07,0.8,1.7,0.89,604,-4.02,53100.0,NO,NO,2025-11-17,303678900.0
9,SNXX,36.5,38945106,ETF,ETF,98.0,98.0,98.0,,7.5694,5.7394,63212227.0,36611880.0,49.34,3.14,0,NO,23.34,,25.58,,105,-14.2,39677500.0,YES,NO,2026-05-01,141068800.0
10,QMMM,119.4,0,Communication Services,Advertising Agencies,98.0,46.0,28.0,32.0,0.0,0.0,0.0,0.0,303.0,1.18,6830437376,NO,119.4,118.21,119.4,119.4,485,0.0,773300.0,NO,NO,2024-11-25,95812300.0
