Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
1,LIME,25.0,1122422,n/a,n/a,98.0,98.0,98.0,98.0,1.5613,0.1905,,,26.5,25.0,0,NO,4.61,2.27,6.62,3.5,,5065,0.0,1122422,NO,NO,2014-08-07,5754245.0
2,AXTI,56.62,9997598,Technology,Semiconductor Equipment & Materials,98.0,0.0,79.0,98.0,11.8379,10.7429,11126026.0,10146340.0,143.16,1.85,3704260608,NO,96.46,41.98,97.77,56.93,,7072,0.0,9997598,YES,NO,2024-02-23,103105600.0
3,MUU,745.21,3796550,ETF,ETF,98.0,2.0,98.0,98.0,188.7141,137.6583,3070006.0,3522300.0,1252.8,16.73,0,NO,684.65,263.28,708.06,346.65,,432,0.0,3796550,NO,NO,2026-06-09,5492900.0
4,LAZR,42.38,93619,ETF,ETF,98.0,98.0,,,3.3074,0.3335,,,46.19,41.65,0,NO,,,,,,31,0.0,93619,NO,NO,2026-03-31,797300.0
5,MULL,25.79,15412626,ETF,ETF,98.0,1.0,98.0,98.0,6.6153,4.7222,10650893.0,10666200.0,43.53,0.59,0,NO,23.9,9.22,24.68,12.14,,409,0.0,15412626,YES,NO,2026-04-01,23787500.0
6,QMMM,119.4,0,Communication Services,Advertising Agencies,98.0,40.0,12.0,32.0,0.0,0.0,0.0,0.0,303.0,1.4,6830437376,NO,119.4,118.04,119.4,119.4,,488,0.0,773300,NO,NO,2024-11-25,95812300.0
7,SNDK,1745.0,16871368,Technology,Computer Hardware,98.0,64.0,98.0,98.0,233.5507,175.5975,13586273.0,12017880.0,2354.39,40.1,258416623616,NO,1610.45,703.36,1689.05,939.64,,347,0.0,16871368,YES,NO,2025-11-26,43000900.0
8,BSP,35.93,7274388,n/a,n/a,98.0,98.0,98.0,98.0,2.8777,0.4313,,,40.29,34.25,0,NO,0.72,0.18,3.6,1.2,,552,0.0,7274388,NO,YES,2026-07-02,7274388.0
9,MGRT,81.88,6190,Technology,Information Technology Services,98.0,85.0,98.0,98.0,7.2057,6.6193,39473.0,10550.0,170.0,1.5,1125849984,NO,102.86,34.49,95.42,46.08,,243,0.0,6190,NO,NO,2025-12-17,3760600.0
10,BWET,170.55,94689,ETF,ETF,98.0,19.0,92.0,98.0,21.4099,16.1179,129126.0,98180.0,223.03,10.09,0,NO,175.42,76.91,176.56,102.62,,794,3.0,94689,NO,NO,2024-01-30,657200.0
11,INTW,37.1,5611828,ETF,ETF,98.0,88.0,98.0,98.0,7.5163,6.4788,6595062.0,5010920.0,52.62,1.72,0,NO,36.67,14.42,38.37,18.39,,347,0.0,5611828,NO,NO,2025-09-18,79455200.0
12,QNCX,17.23,44634,Healthcare,Biotechnology,98.0,98.0,98.0,0.0,1.3702,0.3569,234897.0,33231.0,910.0,15.1,16850284,NO,1.75,12.6,2.71,9.35,,1796,0.0,44634,NO,NO,2026-02-10,159349540.0
13,AGL,111.01,167939,Healthcare,Medical Care Facilities,98.0,95.0,98.0,98.0,10.3598,10.2269,438737.0,389490.0,125.71,7.48,1852067072,NO,79.8,34.09,89.8,41.76,,1310,0.0,167939,NO,NO,2025-08-05,7008856.0
14,BBGI,25.35,34528,Communication Services,Broadcasting,98.0,96.0,98.0,98.0,2.7532,2.6654,1297573.0,43960.0,29.3,3.14,45880712,NO,19.73,9.06,19.6,11.0,,6636,0.0,34528,NO,NO,2026-04-08,52492000.0
15,SNXX,23.9,91546743,ETF,ETF,98.0,6.0,98.0,,8.3768,6.2746,58670785.0,39438640.0,49.34,3.14,0,NO,25.31,,26.92,,,109,0.0,91546743,YES,NO,2026-05-01,141068800.0
16,LINT,187.8,139305,ETF,ETF,98.0,88.0,98.0,98.0,37.2862,31.976,208719.0,174940.0,266.71,23.87,0,NO,185.82,,194.75,93.33,,154,0.0,139305,NO,NO,2026-01-23,456000.0
17,ERAS,18.47,3532009,Healthcare,Biotechnology,98.0,97.0,58.0,98.0,1.1661,1.1432,7006834.0,7330360.0,24.28,1.33,5743884288,NO,13.39,9.22,12.86,12.14,,1246,0.0,3532009,NO,NO,2026-04-28,51259600.0
