Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
1,BWET,210.96,203.35,126798,ETF,ETF,98.0,88.0,90.0,98.0,22.2883,15.5379,125029.0,122420.0,223.03,10.81,0,NO,183.82,181.66,82.3,183.83,114.8,,800,0.0,126798,NO,NO,2024-01-30,657200.0
2,SNDK,1673.97,1915.92,13665455,Technology,Computer Hardware,98.0,49.0,97.0,98.0,246.0468,179.6975,13300078.0,12795360.0,2354.39,40.1,247897817088,NO,1971.97,1700.44,753.06,1773.1,1044.51,,353,0.0,13665455,YES,NO,2025-11-26,43000900.0
3,MULL,23.52,25.81,7322579,ETF,ETF,98.0,12.0,98.0,98.0,5.8228,4.1836,10511508.0,10100200.0,43.53,0.59,0,NO,31.27,25.82,9.93,26.67,13.59,,415,0.0,7322579,NO,NO,2026-04-01,23787500.0
4,MUU,678.2,745.39,1718726,ETF,ETF,98.0,14.0,98.0,98.0,165.5479,120.9243,3027088.0,2789230.0,1252.8,16.73,0,NO,900.14,740.71,283.78,766.56,388.7,,438,0.0,1718726,NO,NO,2026-06-09,5492900.0
5,MGRT,80.56,84.6,45041,Technology,Information Technology Services,98.0,7.0,96.0,98.0,9.2481,9.1066,22081.0,13290.0,170.0,1.5,1107699968,NO,77.39,95.82,36.77,84.64,51.18,,249,0.0,45041,NO,NO,2025-12-17,3760600.0
6,QMMM,119.4,119.4,0,Communication Services,Advertising Agencies,98.0,46.0,26.0,35.0,0.0,0.0,0.0,0.0,303.0,1.57,6830437376,NO,119.4,119.4,119.06,119.4,119.4,,494,0.0,773300,NO,NO,2024-11-25,95812300.0
7,AXTI,50.46,57.21,12230392,Technology,Semiconductor Equipment & Materials,98.0,0.0,3.0,96.0,9.205,8.1293,10475991.0,8804410.0,143.16,1.85,3301253888,NO,73.73,94.53,43.61,87.3,59.54,,7078,0.0,12230392,YES,NO,2024-02-23,103105600.0
8,DLLL,24.04,24.97,974260,ETF,ETF,98.0,96.0,98.0,98.0,3.4584,3.1893,2448829.0,1799620.0,30.62,2.17,0,NO,23.47,17.96,7.33,20.31,9.59,,352,0.0,974260,NO,NO,2026-05-28,15772800.0
9,QTTB,21.38,11.21,27564473,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,2.2184,1.774,808221.0,656600.0,22.5,1.57,362528160,NO,13.11,10.24,5.55,11.96,7.27,,2083,63.51,27564473,YES,NO,2025-12-01,168133500.0
10,MXL,89.3,91.3,2397497,Technology,Semiconductors,98.0,95.0,98.0,98.0,13.1336,11.6993,5355867.0,4316280.0,128.3,12.77,7996454400,NO,93.84,90.47,36.77,90.89,48.73,,4100,0.0,2397497,NO,NO,2026-04-24,29044000.0
