Rank,Ticker,Price,Sector,Industry,Relative Strength Percentile,1 Month Ago Percentile,3 Months Ago Percentile,6 Months Ago Percentile
1,NAKA,10.97,Healthcare,Medical Care Facilities,99,,94.0,7.0
2,DRUG,35.46,Healthcare,Biotechnology,99,,,
3,TGEN,8.5,Industrials,Electrical Equipment & Parts,99,99.0,99.0,99.0
4,RGTI,15.44,Technology,Computer Hardware,99,99.0,99.0,
5,CRCL,192.86,Financial Services,Capital Markets,99,,99.0,99.0
6,PTIR,25.94,ETF,ETF,99,99.0,99.0,99.0
7,DBVT,9.45,Healthcare,Biotechnology,99,99.0,,99.0
8,SBDS,15.22,n/a,n/a,99,3.0,0.0,1.0
9,NEGG,34.31,Consumer Cyclical,Internet Retail,99,97.0,0.0,1.0
10,MNPR,44.97,Healthcare,Biotechnology,99,99.0,99.0,
11,BMNR,39.8,Financial Services,Capital Markets,99,1.0,99.0,99.0
12,SEZL,148.95,Financial Services,Credit Services,99,99.0,99.0,99.0
13,DGNX,51.23,Industrials,Consulting Services,99,99.0,,99.0
14,TMC,7.79,Basic Materials,Other Industrial Metals & Mining,99,99.0,99.0,93.0
15,TSSI,28.95,Technology,Information Technology Services,99,99.0,99.0,
16,PRCH,13.42,Technology,Software - Application,99,99.0,99.0,97.0
17,MFI,27.02,Technology,Software - Application,99,,5.0,2.0
18,RKLX,95.94,ETF,ETF,99,99.0,97.0,99.0
19,SBET,21.99,Consumer Cyclical,Gambling,99,97.0,0.0,1.0
20,ALMU,23.59,Technology,Semiconductors,99,99.0,99.0,98.0
21,AEVA,21.49,Technology,Software - Infrastructure,99,,99.0,80.0
22,AREN,6.1,Communication Services,Internet Content & Information,99,99.0,99.0,96.0
23,HOOX,106.34,ETF,ETF,99,99.0,91.0,99.0
24,TDUP,7.69,Consumer Cyclical,Internet Retail,99,99.0,99.0,98.0
25,QNTM,25.15,Healthcare,Biotechnology,99,99.0,96.0,0.0
26,GSRTR,7.01,n/a,n/a,99,99.0,98.0,87.0
27,HOOG,67.76,ETF,ETF,99,99.0,86.0,99.0
28,DDC,17.78,Consumer Defensive,Packaged Foods,99,98.0,0.0,0.0
29,AMPX,8.2,Industrials,Electrical Equipment & Parts,99,99.0,93.0,97.0
30,NEON,27.34,Technology,Electronic Components,99,99.0,99.0,99.0
31,PSIX,90.52,Industrials,Specialty Industrial Machinery,99,99.0,99.0,
32,OKLO,75.5,Utilities,Utilities - Regulated Electric,99,99.0,97.0,99.0
