Rank,Ticker,Price,Sector,Industry,Price_1y,Price_6m,Price_3m,Price_1m,IPO,Relative Strength
1,ANPA,30.00,Industrials,Specialty Business Services,,,,,Yes,99.00
2,TRON,8.24,Consumer Cyclical,Leisure,4.98,0.35,0.40,8.20,No,99.00
3,NEGG,55.09,Consumer Cyclical,Internet Retail,27.20,9.00,3.57,16.59,No,99.00
4,NAKA,6.59,Healthcare,Medical Care Facilities,3.02,1.30,2.17,12.75,No,99.00
5,ZEPP,12.61,Technology,Consumer Electronics,5.28,2.80,2.57,2.98,No,99.00
6,JL,6.19,Consumer Cyclical,Apparel Manufacturing,7.44,4.90,3.23,6.20,No,99.00
7,RGTI,14.06,Technology,Computer Hardware,3.25,13.17,10.63,13.45,No,99.00
8,YI,6.76,Healthcare,Medical Distribution,3.11,5.82,8.40,7.43,No,99.00
9,SUPX,18.86,Technology,Software - Infrastructure,4.06,3.87,11.50,10.37,No,99.00
10,CRCL,172.98,Financial Services,Capital Markets,,,,188.77,No,99.00
11,NNNN,42.95,Healthcare,Medical Instruments & Supplies,,,6.43,36.99,No,99.00
12,OKLO,71.16,Utilities,Utilities - Regulated Electric,10.33,41.61,26.24,53.72,No,99.00
13,RGC,13.19,Healthcare,Drug Manufacturers - Specialty & Generic,0.49,0.10,1.61,22.99,No,99.00
14,TMC,5.57,Basic Materials,Other Industrial Metals & Mining,1.57,1.63,2.98,7.11,No,99.00
15,RKLX,85.47,ETF,ETF,,,27.11,56.95,No,99.00
16,TSSI,27.85,Technology,Information Technology Services,0.40,14.41,7.61,28.09,No,99.00
17,AREN,5.93,Communication Services,Internet Content & Information,3.87,1.35,5.49,6.20,No,99.00
18,DBVT,9.38,Healthcare,Biotechnology,3.22,4.22,8.95,11.60,No,99.00
19,HOOX,95.10,ETF,ETF,,,25.48,88.21,No,99.00
20,DRUG,32.00,Healthcare,Biotechnology,3.93,34.00,32.17,28.37,No,99.00
21,GSRTR,6.60,n/a,n/a,,1.50,2.37,6.60,No,99.00
22,QBTS,16.57,Technology,Computer Hardware,2.70,5.94,7.91,16.79,No,99.00
23,ABVX,71.54,Healthcare,Biotechnology,8.30,5.97,7.19,7.96,No,99.00
24,PRCH,12.21,Technology,Software - Application,1.36,4.45,6.38,12.28,No,99.00
25,IBCA,25.61,ETF,ETF,,1.01,25.05,25.48,No,99.00
26,DAVE,231.09,Technology,Software - Application,6.50,95.82,104.72,281.79,No,99.00
27,PSIX,87.85,Industrials,Specialty Industrial Machinery,2.55,42.31,27.45,78.10,No,99.00
28,MFI,25.50,Technology,Software - Application,98.32,5.76,4.92,40.24,No,99.00
29,NUTX,82.40,Healthcare,Medical Care Facilities,60.00,47.63,114.63,118.37,No,99.00
30,CDTX,63.58,Healthcare,Biotechnology,20.80,18.58,21.69,48.78,No,99.00
31,ALMU,21.16,Technology,Semiconductors,3.87,6.95,12.90,17.34,No,99.00
32,PTIR,24.50,ETF,ETF,,10.02,17.60,18.81,No,99.00
33,TGEN,8.76,Industrials,Electrical Equipment & Parts,1.21,2.41,2.68,8.34,No,99.00
34,QNTM,22.99,Healthcare,Biotechnology,85.80,3.11,7.75,17.06,No,99.00
35,BMNR,30.50,Financial Services,Capital Markets,,,,135.00,No,99.00
36,RKLB,45.02,Industrials,Aerospace & Defense,7.26,29.05,22.99,35.66,No,99.00
37,SEZL,146.46,Financial Services,Credit Services,13.51,39.00,55.73,182.16,No,99.00
38,TDUP,8.33,Consumer Cyclical,Internet Retail,3.38,2.19,4.42,8.00,No,99.00
39,BULLW,5.20,Technology,Software - Application,0.14,0.51,2.49,5.45,No,99.00
40,DGNX,54.01,Industrials,Consulting Services,,29.25,90.05,44.11,No,99.00
41,DFDV,13.62,Technology,Software - Infrastructure,2.24,0.77,11.33,23.80,No,99.00
42,MB,14.72,Consumer Cyclical,Restaurants,,,3.20,8.20,No,99.00
43,SBET,17.33,Consumer Cyclical,Gambling,34.80,5.16,3.72,12.66,No,99.00
44,HOOG,60.58,ETF,ETF,,,16.20,55.99,No,99.00
45,QUBT,14.35,Technology,Computer Hardware,1.56,10.38,8.01,21.13,No,99.00
46,BKSY,18.89,Industrials,Specialty Business Services,15.76,14.99,8.84,21.48,No,98.00
47,MCVT,5.43,Financial Services,Credit Services,2.13,3.06,1.59,1.82,No,98.00
48,MTEN,14.12,Industrials,Metal Fabrication,3.70,5.17,7.92,9.80,No,98.00
49,ROBN,56.92,ETF,ETF,,24.02,15.22,52.40,No,98.00
50,DALN,14.85,Communication Services,Publishing,4.71,6.92,4.44,4.42,No,98.00
51,PLTR,154.53,Technology,Software - Infrastructure,19.99,82.49,124.28,134.36,No,98.00
52,CRDO,107.84,Technology,Semiconductors,16.82,70.02,48.26,93.61,No,98.00
53,AMDG,22.98,ETF,ETF,,13.21,8.23,15.27,No,98.00
54,MIMI,8.55,Industrials,Engineering & Construction,,5.76,3.91,6.98,No,98.00
55,FLYE,5.95,Consumer Cyclical,Auto Manufacturers,23.90,2.35,2.10,3.61,No,98.00
56,XGN,8.15,Healthcare,Diagnostics & Research,2.50,4.00,6.02,7.05,No,98.00
57,ONEG,5.48,Industrials,Engineering & Construction,,2.31,1.83,7.40,No,98.00
58,MSGY,10.38,Industrials,Engineering & Construction,,,,,Yes,98.00
59,BBAI,6.20,Technology,Information Technology Services,2.12,4.24,3.36,7.75,No,98.00
60,PHOE,8.42,Industrials,Engineering & Construction,,,2.63,8.58,No,98.00
61,CELC,39.81,Healthcare,Biotechnology,9.96,11.95,10.90,13.79,No,98.00
62,PAYS,7.12,Technology,Software - Infrastructure,1.88,2.66,2.33,8.10,No,98.00
63,GRPN,28.75,Communication Services,Internet Content & Information,7.69,10.47,17.82,35.78,No,98.00
64,DDC,10.93,Consumer Defensive,Packaged Foods,155.25,4.12,2.40,12.00,No,98.00
65,AMUU,47.77,ETF,ETF,,,17.20,31.77,No,98.00
66,APP,380.75,Communication Services,Advertising Agencies,31.43,369.59,307.58,341.64,No,98.00
67,CLS,195.29,Technology,Electronic Components,21.38,123.47,94.07,159.26,No,98.00
68,NBIS,52.12,Communication Services,Internet Content & Information,,32.66,25.40,50.25,No,98.00
69,IONQ,38.02,Technology,Computer Hardware,19.86,39.49,30.92,44.39,No,98.00
70,AMLX,8.00,Healthcare,Biotechnology,23.38,3.65,5.32,6.30,No,98.00
71,SDM,20.90,Communication Services,Advertising Agencies,,,6.11,10.76,No,98.00
72,NEON,20.88,Technology,Electronic Components,4.07,8.51,13.12,26.39,No,98.00
73,TNGX,6.35,Healthcare,Biotechnology,3.26,2.98,1.51,5.70,No,98.00
74,LEU,206.64,Energy,Uranium,37.06,82.30,73.42,175.65,No,98.00
75,RBLX,128.78,Communication Services,Electronic Gaming & Multimedia,39.43,71.07,74.09,103.59,No,98.00
76,ELWS,5.90,Technology,Software - Application,8.75,3.32,2.01,3.20,No,98.00
77,TZUP,12.71,Communication Services,Advertising Agencies,6.61,3.36,5.10,9.28,No,98.00
78,QBTX,81.00,ETF,ETF,,,28.00,89.99,No,98.00
79,ISSC,15.21,Industrials,Aerospace & Defense,8.20,11.67,7.10,14.00,No,98.00
80,SPCY,35.61,ETF,ETF,,,15.00,28.38,No,98.00
