SectorRank,Sector,LeaderRank,Ticker,Leader_Score,Setup_Type,Tightness,Setup_Price,Dist_52WH_%,ATR_%,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,IPO,Gap (%),HVE,SMA50,SMA200,SMA10W,SMA30W,Industry
3,Electronic technology,1,SIF,80.28,Stage 2 Watch,Loose,22.5,17.4,8.56,98.0,70.0,96.0,98.0,NO,0.0,NO,20.93,12.31,21.3,14.73,Aerospace & defense
3,Electronic technology,2,SILC,71.25,Pullback to 50D,Loose,44.06,16.79,11.49,97.0,24.0,97.0,98.0,NO,0.0,NO,43.7,25.07,43.71,29.27,Computer communications
4,Energy,1,DINO,97.64,Extended Near High,Normal,88.59,0.11,3.15,95.0,97.0,96.0,96.0,NO,0.47,NO,71.96,58.66,72.44,61.64,Oil & Gas Refining & Marketing
4,Energy,2,DK,97.3,Extended Near High,Loose,63.25,1.31,4.44,96.0,98.0,96.0,97.0,NO,2.65,NO,48.25,39.65,48.92,41.3,Oil & Gas Refining & Marketing
4,Energy,3,PBF,97.28,Extended Near High,Loose,62.75,1.34,5.0,96.0,98.0,96.0,97.0,NO,1.74,NO,44.43,38.0,45.17,40.35,Oil & Gas Refining & Marketing
4,Energy,4,VLO,97.07,Extended Near High,Normal,309.65,0.07,3.54,95.0,97.0,92.0,96.0,NO,2.0,NO,258.23,211.36,261.08,228.85,Oil & Gas Refining & Marketing
4,Energy,5,MPC,96.89,Extended Near High,Normal,312.6,0.18,2.9,94.0,96.0,95.0,96.0,NO,1.92,NO,261.71,215.63,264.37,226.74,Oil & Gas Refining & Marketing
5,Healthcare,1,CRNX,98.81,Extended Near High,Loose,83.86,0.17,4.63,97.0,98.0,98.0,94.0,NO,0.0,NO,44.87,43.98,45.88,43.86,Biotechnology
5,Healthcare,2,APGE,98.46,Extended Near High,Very Tight,134.0,0.24,0.33,97.0,98.0,96.0,95.0,NO,0.0,NO,102.39,78.45,104.32,85.33,Biotechnology
5,Healthcare,3,ETON,98.01,Extended Near High,Loose,42.32,0.77,4.68,97.0,97.0,97.0,98.0,NO,0.08,NO,33.16,22.43,33.86,24.61,Drug Manufacturers - Specialty & Generic
5,Healthcare,4,MNPR,97.62,Extended Near High,Loose,111.12,1.29,7.46,96.0,98.0,98.0,95.0,NO,0.0,NO,74.93,70.3,77.73,65.62,Biotechnology
5,Healthcare,5,CDNA,97.42,Extended Near High,Loose,39.73,1.83,4.99,97.0,98.0,97.0,97.0,NO,0.0,NO,24.95,19.8,26.21,21.49,Diagnostics & Research
