Rank,Ticker,Price,Sector,Industry,Relative Strength Percentile,1 Month Ago Percentile,3 Months Ago Percentile,6 Months Ago Percentile
1,DRUG,30.05,Healthcare,Biotechnology,99,,,
2,NAKA,11.35,Healthcare,Medical Care Facilities,99,,92.0,8.0
3,TGEN,8.44,Industrials,Electrical Equipment & Parts,99,99.0,99.0,99.0
4,RGTI,16.2,Technology,Computer Hardware,99,99.0,99.0,
5,CRCL,193.38,Financial Services,Capital Markets,99,,99.0,99.0
6,PTIR,24.24,ETF,ETF,99,99.0,99.0,99.0
7,DBVT,9.47,Healthcare,Biotechnology,99,99.0,,99.0
8,SBET,26.31,Consumer Cyclical,Gambling,99,98.0,1.0,1.0
9,BMNR,39.97,Financial Services,Capital Markets,99,1.0,99.0,99.0
10,MNPR,45.2,Healthcare,Biotechnology,99,99.0,99.0,
11,SY,5.22,Healthcare,Health Information Services,99,98.0,19.0,10.0
12,SBDS,18.82,n/a,n/a,99,3.0,0.0,1.0
13,DGNX,57.72,Industrials,Consulting Services,99,99.0,,99.0
14,TMC,8.59,Basic Materials,Other Industrial Metals & Mining,99,,99.0,93.0
15,RKLX,100.36,ETF,ETF,99,99.0,97.0,99.0
16,AEVA,24.28,Technology,Software - Infrastructure,99,,99.0,60.0
17,PRCH,14.04,Technology,Software - Application,99,99.0,99.0,97.0
18,MFI,28.99,Technology,Software - Application,99,,4.0,2.0
19,SEZL,139.0,Financial Services,Credit Services,99,99.0,99.0,99.0
20,NEGG,30.81,Consumer Cyclical,Internet Retail,99,95.0,0.0,1.0
21,TSSI,25.95,Technology,Information Technology Services,99,99.0,99.0,
22,TDUP,8.32,Consumer Cyclical,Internet Retail,99,99.0,99.0,98.0
23,DDC,17.28,Consumer Defensive,Packaged Foods,99,98.0,0.0,0.0
24,QBTX,118.02,ETF,ETF,99,99.0,43.0,99.0
25,NEON,28.85,Technology,Electronic Components,99,99.0,99.0,99.0
26,GSRTR,6.67,n/a,n/a,99,99.0,98.0,87.0
27,ALMU,19.46,Technology,Semiconductors,99,99.0,99.0,98.0
28,AREN,6.36,Communication Services,Internet Content & Information,99,99.0,99.0,95.0
