Ticker,Days,Start_Date,End_Date,Sufficient,3M_Return,6M_Return,9M_Return,12M_Return,Strength_Stock,Strength_Ref,RS,Recomputed_RS,Match
SNXX,102,2026-01-27,2026-06-23,Short: 102d,4.8193,9.3546,9.3546,9.3546,7.5405,0.1326,700.0,700.0,OK
INTW,340,2025-02-13,2026-06-23,Sufficient,6.0174,7.7579,10.8882,19.8212,10.1004,0.1326,700.0,700.0,OK
LINT,147,2025-11-19,2026-06-23,Short: 147d,5.9684,7.6852,7.871,7.871,7.0728,0.1326,700.0,700.0,OK
BWET,501,2024-06-24,2026-06-23,Sufficient,1.2178,7.743,12.9589,15.4516,7.7178,0.1326,700.0,700.0,OK
DUKR,501,2024-06-24,2026-06-23,Sufficient,-0.1589,22.3333,16.847,20.0,11.7725,0.1326,700.0,700.0,OK
QMMM,482,2024-07-19,2026-06-22,Sufficient,0.0,0.0,0.3413,123.375,24.7433,0.1326,700.0,700.0,OK
MUU,425,2024-10-10,2026-06-23,Sufficient,4.1266,10.7,21.9621,35.7877,15.3406,0.1326,700.0,700.0,OK
MI,500,2024-06-24,2026-06-22,Sufficient,34.277,2.0025,2.3705,4.4751,15.4804,0.1326,700.0,700.0,OK
MGRT,236,2025-07-16,2026-06-23,Short: 236d,8.7386,7.4852,17.1265,18.5538,12.1285,0.1326,700.0,700.0,OK
MRVU,90,2026-02-12,2026-06-23,Short: 90d,6.1374,8.0145,8.0145,8.0145,7.2637,0.1326,700.0,700.0,OK
QH,501,2024-06-24,2026-06-23,Sufficient,73.898,5.6126,0.2233,-0.9269,30.541,0.1326,700.0,700.0,OK
MULL,402,2024-11-12,2026-06-23,Sufficient,4.0602,10.3614,21.867,35.3255,15.1349,0.1326,700.0,700.0,OK
AXTI,501,2024-06-24,2026-06-23,Sufficient,0.209,4.561,16.9516,41.3424,12.6546,0.1326,700.0,700.0,OK
SNDK,340,2025-02-13,2026-06-23,Sufficient,1.7952,7.9474,18.2114,41.1554,14.1809,0.1326,700.0,700.0,OK
HQWWW,65,2026-03-20,2026-06-23,Short: 65d,7.3308,8.6267,8.6267,8.6267,8.1083,0.1326,700.0,700.0,OK
MVLL,325,2025-03-07,2026-06-23,Sufficient,5.9307,6.1401,7.1924,6.2761,6.294,0.1326,644.03,644.03,OK
DLLL,339,2025-02-14,2026-06-23,Sufficient,4.5086,7.9982,6.2506,7.4524,6.1437,0.1326,630.76,630.76,OK
BMGL,332,2025-02-25,2026-06-23,Sufficient,8.3271,8.24,2.7561,1.5955,5.8491,0.1326,604.75,604.75,OK
AGL,501,2024-06-24,2026-06-23,Sufficient,9.1573,5.3937,2.8528,1.1181,5.5358,0.1326,577.09,577.09,OK
SOXL,501,2024-06-24,2026-06-23,Sufficient,3.3639,4.9984,6.0085,9.9109,5.5291,0.1326,576.5,576.5,OK
AMDL,501,2024-06-24,2026-06-23,Sufficient,4.4375,3.8579,5.8427,8.5427,5.4237,0.1326,567.19,567.19,OK
BVC,501,2024-06-24,2026-06-23,Sufficient,0.2346,9.4384,5.9444,9.5263,5.0757,0.1326,536.46,536.46,OK
AMUU,306,2025-04-03,2026-06-23,Sufficient,4.4141,3.8041,5.0286,7.4047,5.0131,0.1326,530.94,530.94,OK
AMDG,354,2025-01-24,2026-06-23,Sufficient,4.4333,3.3563,5.0982,7.5082,4.9659,0.1326,526.76,526.76,OK
LESL,501,2024-06-24,2026-06-23,Sufficient,9.0816,3.8911,0.758,0.0041,4.5633,0.1326,491.22,491.22,OK
MXL,501,2024-06-24,2026-06-23,Sufficient,4.1972,4.1432,4.5022,5.7639,4.5607,0.1326,490.99,490.99,OK
RXT,501,2024-06-24,2026-06-23,Sufficient,3.7516,6.0583,4.0486,5.0583,4.5337,0.1326,488.6,488.6,OK
NUAI,501,2024-06-24,2026-06-23,Sufficient,0.2429,0.6983,10.3327,10.6321,4.4298,0.1326,479.43,479.43,OK
BW,501,2024-06-24,2026-06-23,Sufficient,0.1293,2.3056,3.8624,15.358,4.3569,0.1326,473.0,473.0,OK
BNAI,501,2024-06-24,2026-06-23,Sufficient,-0.4939,10.6163,5.5941,6.1103,4.2666,0.1326,465.02,465.02,OK
OPTX,501,2024-06-24,2026-06-23,Sufficient,0.5163,6.7832,5.5471,7.7638,4.2254,0.1326,461.38,461.38,OK
WDC,501,2024-06-24,2026-06-23,Sufficient,1.2753,2.8326,5.2904,10.313,4.1974,0.1326,458.91,458.91,OK
MAAS,501,2024-06-24,2026-06-23,Sufficient,2.8133,3.6991,4.7405,6.8667,4.1866,0.1326,457.96,457.96,OK
ERAS,501,2024-06-24,2026-06-23,Sufficient,0.0524,3.1861,7.1902,10.0,4.0962,0.1326,449.98,449.98,OK
CHRN,501,2024-06-24,2026-06-23,Sufficient,1.4358,4.3568,4.8416,7.9653,4.0071,0.1326,442.11,442.11,OK
KORU,501,2024-06-24,2026-06-23,Sufficient,0.8533,3.7698,5.612,8.833,3.9843,0.1326,440.09,440.09,OK
WDCX,102,2026-01-27,2026-06-23,Short: 102d,3.3786,4.274,4.274,4.274,3.9158,0.1326,434.05,434.05,OK
MU,501,2024-06-24,2026-06-23,Sufficient,1.6011,3.2316,5.4633,7.5095,3.8813,0.1326,431.0,431.0,OK
