
2025-07-25 06:42:54,786 - Starting RS calculation process
2025-07-25 06:42:54,793 - Found 8839 symbols in tmp/arctic_db
2025-07-25 06:42:54,821 - Starting RS calculation for 8839 tickers
2025-07-25 06:43:00,426 - MSTW: Skipped, insufficient data (1 days)
2025-07-25 06:43:01,816 - RGTIW: Skipped, insufficient data (1 days)
2025-07-25 06:43:05,419 - OCSAW: Skipped, insufficient data (1 days)
2025-07-25 06:43:08,701 - CORZZ: Skipped, insufficient data (1 days)
2025-07-25 06:43:10,059 - CMPOW: Skipped, insufficient data (1 days)
2025-07-25 06:43:19,537 - CORZW: Skipped, insufficient data (1 days)
2025-07-25 06:43:19,643 - EAI: Skipped, insufficient data (1 days)
2025-07-25 06:43:20,699 - GOOW: Skipped, insufficient data (1 days)
2025-07-25 06:43:22,204 - AMDW: Skipped, insufficient data (1 days)
2025-07-25 06:43:30,628 - ARX: Skipped, insufficient data (1 days)
2025-07-25 06:43:31,711 - NNAVW: Skipped, insufficient data (1 days)
2025-07-25 06:43:40,340 - NAKAW: Skipped, insufficient data (1 days)
2025-07-25 06:43:40,699 - GXPD: Skipped, insufficient data (1 days)
2025-07-25 06:43:51,314 - AVGW: Skipped, insufficient data (1 days)
2025-07-25 06:43:52,058 - DHCNL: Skipped, insufficient data (1 days)
2025-07-25 06:43:55,520 - SOUNW: Skipped, insufficient data (1 days)
2025-07-25 06:44:08,273 - PCTTW: Skipped, insufficient data (1 days)
2025-07-25 06:44:09,114 - SFB: Skipped, insufficient data (1 days)
2025-07-25 06:44:17,640 - MSFW: Skipped, insufficient data (1 days)
2025-07-25 06:44:24,297 - MH: Skipped, insufficient data (1 days)
2025-07-25 06:44:49,720 - MFICL: Skipped, insufficient data (1 days)
2025-07-25 06:44:57,265 - EMP: Skipped, insufficient data (1 days)
2025-07-25 06:44:58,989 - DVXP: Skipped, insufficient data (1 days)
2025-07-25 06:45:11,761 - ✅ RS calculation completed successfully.
