Metric,07/08/2026,07/09/2026,07/10/2026,07/13/2026,07/14/2026,07/15/2026,07/16/2026,07/17/2026,07/20/2026,07/21/2026,07/22/2026,07/23/2026,07/24/2026,07/27/2026,07/28/2026,07/29/2026,07/30/2026,07/31/2026,08/03/2026,08/04/2026,08/05/2026,08/06/2026,08/07/2026,08/10/2026,08/11/2026,08/12/2026,08/13/2026,08/14/2026,08/17/2026,08/18/2026,08/19/2026,08/20/2026,08/21/2026,08/24/2026,08/25/2026,08/26/2026,08/27/2026,08/28/2026
Total Stocks,2920.0,2934.0,2882.0,2922.0,2822.0,2301.0,2568.0,2893.0,2831.0,2780.0,2515.0,2884.0,2878.0,2894.0,2890.0,2867.0,2883.0,2881.0,2903.0,2925.0,2916.0,2913.0,2928.0,2920.0,2927.0,2928.0,2948.0,2947.0,2928.0,2927.0,2934.0,2925.0,2931.0,2933.0,2945.0,2934.0,2936.0,2892.0
UP 4.5% Today,99.0,209.0,59.0,80.0,129.0,80.0,142.0,70.0,54.0,288.0,50.0,74.0,112.0,292.0,207.0,110.0,414.0,86.0,345.0,422.0,138.0,151.0,300.0,161.0,115.0,153.0,183.0,108.0,83.0,55.0,237.0,61.0,153.0,50.0,129.0,59.0,130.0,21.0
Down 4.5% Today,148.0,38.0,94.0,206.0,77.0,76.0,202.0,62.0,89.0,55.0,112.0,139.0,181.0,111.0,187.0,344.0,165.0,116.0,31.0,54.0,150.0,168.0,67.0,152.0,72.0,59.0,86.0,55.0,83.0,250.0,140.0,155.0,21.0,140.0,28.0,63.0,57.0,226.0
Net 4.5% Today,-49.0,171.0,-35.0,-126.0,52.0,4.0,-60.0,8.0,-35.0,233.0,-62.0,-65.0,-69.0,181.0,20.0,-234.0,249.0,-30.0,314.0,368.0,-12.0,-17.0,233.0,9.0,43.0,94.0,97.0,53.0,0.0,-195.0,97.0,-94.0,132.0,-90.0,101.0,-4.0,73.0,-205.0
UP 4.5% Today %,3.39,7.12,2.05,2.74,4.57,3.48,5.53,2.42,1.91,10.36,1.99,2.57,3.89,10.09,7.16,3.84,14.36,2.99,11.88,14.43,4.73,5.18,10.25,5.51,3.93,5.23,6.21,3.66,2.83,1.88,8.08,2.09,5.22,1.7,4.38,2.01,4.43,0.73
Down 4.5% Today %,5.07,1.3,3.26,7.05,2.73,3.3,7.87,2.14,3.14,1.98,4.45,4.82,6.29,3.84,6.47,12.0,5.72,4.03,1.07,1.85,5.14,5.77,2.29,5.21,2.46,2.02,2.92,1.87,2.83,8.54,4.77,5.3,0.72,4.77,0.95,2.15,1.94,7.81
UP 20% in 5Days,7.0,11.0,9.0,8.0,13.0,10.0,11.0,9.0,9.0,6.0,8.0,19.0,9.0,9.0,16.0,40.0,41.0,28.0,33.0,95.0,144.0,73.0,121.0,93.0,60.0,55.0,50.0,28.0,39.0,17.0,17.0,17.0,25.0,22.0,36.0,7.0,13.0,5.0
Down 20% in 5Days,64.0,13.0,10.0,17.0,5.0,4.0,24.0,18.0,9.0,9.0,2.0,6.0,10.0,8.0,41.0,92.0,25.0,19.0,11.0,12.0,17.0,21.0,20.0,33.0,46.0,25.0,14.0,11.0,13.0,9.0,11.0,13.0,18.0,42.0,11.0,7.0,7.0,10.0
UP 20% in 5Days %,0.24,0.37,0.31,0.27,0.46,0.43,0.43,0.31,0.32,0.22,0.32,0.66,0.31,0.31,0.55,1.4,1.42,0.97,1.14,3.25,4.94,2.51,4.13,3.18,2.05,1.88,1.7,0.95,1.33,0.58,0.58,0.58,0.85,0.75,1.22,0.24,0.44,0.17
Down 20% in 5Days %,2.19,0.44,0.35,0.58,0.18,0.17,0.93,0.62,0.32,0.32,0.08,0.21,0.35,0.28,1.42,3.21,0.87,0.66,0.38,0.41,0.58,0.72,0.68,1.13,1.57,0.85,0.47,0.37,0.44,0.31,0.37,0.44,0.61,1.43,0.37,0.24,0.24,0.35
Above 20SMA,1577.0,1743.0,1765.0,1775.0,1652.0,1410.0,1701.0,1712.0,1513.0,1514.0,1240.0,1239.0,1433.0,1634.0,1754.0,1547.0,1556.0,1496.0,1800.0,2025.0,1923.0,1834.0,1913.0,1784.0,1815.0,1882.0,1979.0,1990.0,1812.0,1624.0,1598.0,1385.0,1466.0,1422.0,1488.0,1420.0,1343.0,1210.0
Below 20SMA,1319.0,1167.0,1099.0,1124.0,1141.0,872.0,846.0,1161.0,1297.0,1243.0,1254.0,1618.0,1424.0,1241.0,1115.0,1306.0,1304.0,1368.0,1080.0,885.0,972.0,1056.0,996.0,1110.0,1092.0,1020.0,938.0,930.0,1087.0,1272.0,1308.0,1509.0,1437.0,1481.0,1429.0,1481.0,1561.0,1660.0
Above 20SMA %,54.01,59.41,61.24,60.75,58.54,61.28,66.24,59.18,53.44,54.46,49.3,42.96,49.79,56.46,60.69,53.96,53.97,51.93,62.0,69.23,65.95,62.96,65.33,61.1,62.01,64.28,67.13,67.53,61.89,55.48,54.46,47.35,50.02,48.48,50.53,48.4,45.74,41.84
Below 20SMA %,45.17,39.78,38.13,38.47,40.43,37.9,32.94,40.13,45.81,44.71,49.86,56.1,49.48,42.88,38.58,45.55,45.23,47.48,37.2,30.26,33.33,36.25,34.02,38.01,37.31,34.84,31.82,31.56,37.12,43.46,44.58,51.59,49.03,50.49,48.52,50.48,53.17,57.4
Above 50SMA,1813.0,1869.0,1887.0,1880.0,1804.0,1479.0,1746.0,1887.0,1763.0,1787.0,1624.0,1716.0,1782.0,1875.0,1925.0,1752.0,1776.0,1737.0,1876.0,2008.0,1973.0,1886.0,1958.0,1883.0,1889.0,1914.0,1985.0,2032.0,1908.0,1800.0,1793.0,1652.0,1714.0,1680.0,1698.0,1685.0,1637.0,1529.0
Below 50SMA,1062.0,1020.0,947.0,994.0,975.0,786.0,785.0,958.0,1023.0,955.0,858.0,1129.0,1056.0,982.0,925.0,1081.0,1070.0,1106.0,991.0,874.0,903.0,982.0,928.0,990.0,994.0,967.0,912.0,867.0,975.0,1084.0,1098.0,1232.0,1177.0,1215.0,1208.0,1212.0,1264.0,1328.0
Above 50SMA %,62.09,63.7,65.48,64.34,63.93,64.28,67.99,65.23,62.27,64.28,64.57,59.5,61.92,64.79,66.61,61.11,61.6,60.29,64.62,68.65,67.66,64.74,66.87,64.49,64.54,65.37,67.33,68.95,65.16,61.5,61.11,56.48,58.48,57.28,57.66,57.43,55.76,52.87
Below 50SMA %,36.37,34.76,32.86,34.02,34.55,34.16,30.57,33.11,36.14,34.35,34.12,39.15,36.69,33.93,32.01,37.7,37.11,38.39,34.14,29.88,30.97,33.71,31.69,33.9,33.96,33.03,30.94,29.42,33.3,37.03,37.42,42.12,40.16,41.43,41.02,41.31,43.05,45.92
Above 200SMA,1910.0,1961.0,1931.0,1949.0,1870.0,1519.0,1784.0,1943.0,1860.0,1847.0,1683.0,1864.0,1896.0,1962.0,1981.0,1903.0,1943.0,1918.0,1990.0,2060.0,2024.0,2009.0,2056.0,2037.0,2045.0,2036.0,2077.0,2070.0,2021.0,1992.0,2059.0,2001.0,2009.0,2014.0,2039.0,2023.0,2007.0,1941.0
Below 200SMA,905.0,867.0,846.0,868.0,844.0,698.0,692.0,840.0,867.0,829.0,741.0,916.0,879.0,826.0,799.0,857.0,835.0,854.0,802.0,749.0,775.0,788.0,755.0,766.0,764.0,773.0,750.0,755.0,784.0,810.0,755.0,805.0,805.0,801.0,795.0,800.0,816.0,841.0
