Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Sector,Industry,"High, 52 weeks","High, 52 weeks - Currency","Low, 52 weeks","Low, 52 weeks - Currency",Exchange,Free float %,"Performance %, Year to date"
UACJF,UACJ Corp.,15.44,USD,482.6415094339622,100,0.010653257766224913,Non-energy minerals,Aluminum,15.44,USD,15.44,USD,OTC,84.6419,0
PNOCF,Penta Ocean Construction Company,12.618,USD,125.32142857142858,400,,Industrial services,Engineering & construction,12.618,USD,12.618,USD,OTC,84.4126,0
GKTRF,GEK TERNA S A,54.04,USD,103.92452830188678,100,0.010029285513700005,Industrial services,Engineering & construction,54.04,USD,25.64,USD,OTC,58.186499999999995,0
ABHBY,Alfen Beheer B.V.,8.08,USD,64.39471007121058,100,0.30303030303030304,Producer manufacturing,Electrical products,8.08,USD,4.915,USD,OTC,,47.04276615104641
NVVE,Nuvve Holding Corp.,8.49,USD,63.583815028901725,37841334,791.3795418312129,Producer manufacturing,Electrical products,792,USD,3.7909,USD,NASDAQ,79.3648,-79.49275362318839
TVRD,"Tvardi Therapeutics, Inc.",5,USD,61.29032258064515,39146568,5.00881013709298,Health technology,Biotechnology,43.65,USD,1.5,USD,NASDAQ,64.8253,14.942528735632191
GLU/PA,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,79.99,USD,55.32038834951455,7212,2.9157064887810793,Miscellaneous,Investment trusts,99.99,USD,42.5,USD,NYSE Arca,98.48079999999999,56.0780487804878
BKYI,"BIO-key International, Inc.",5.3114,USD,53.50867052023121,71261,1.14638906187084,Technology services,Information technology services,19.7,USD,3.4,USD,NASDAQ,88.5374,-3.429090909090911
TZMOF,"Tazmo Co., Ltd.",30.22,USD,49.30830039525692,100,,Producer manufacturing,Industrial machinery,30.22,USD,17.15,USD,OTC,72.2034,76.20991253644316
ATHGF,AUCTION TECHNOLOGY GROUP PLC,5.4456,USD,42.55497382198953,4700,,Technology services,Internet software/Services,6,USD,3.82,USD,OTC,65.16959999999999,-0.6440548085168555
CMTOY,Cementos Argos S.A.,19.91,USD,42.214285714285715,1007,1.4197095728182716,Non-energy minerals,Construction materials,23.69,USD,11.1,USD,OTC,,35.90443686006826
WBTMU,WESTBROOK THOMPSON OVERRIDING RYT U UNITS,175.05,USD,40.040000000000006,10,0.07007708479327261,Miscellaneous,Investment trusts,205,USD,117.5,USD,OTC,,45.87500000000001
RSLDS,RSE ARCHIVE LLC.,5.95,USD,40,118,,Retail trade,Specialty stores,5.95,USD,5.95,USD,OTC,,40.00000000000001
OKAMF,Okamura Corp.,13.84,USD,39.09547738693468,3000,,Producer manufacturing,Office equipment/Supplies,13.84,USD,13.84,USD,OTC,55.2888,0
NURPF,Neuren Pharmaceuticals Ltd.,12,USD,37.142857142857146,310,0.47284929835265405,Health technology,Pharmaceuticals: generic,14.7965,USD,7.7,USD,OTC,86.32409999999999,-7.04879938032533
OSGCF,Osg Corp. Co. Ltd.,25.73,USD,34.853249475891005,300,1.539250897896357,Producer manufacturing,Industrial machinery,25.81,USD,13.663,USD,OTC,67.7995,34.853249475891
RRETY,Robinsons Retail Holdings Inc.,10,USD,31.752305665349144,100,0.21231422505307856,Retail trade,Food retail,10,USD,5.435,USD,OTC,,73.91304347826087
VTTGF,VAT Group AG,796.5,USD,31.312088856326938,50,2.336448598130841,Producer manufacturing,Industrial machinery,796.5,USD,355.6,USD,OTC,89.7988,13.785714285714286
MNSH,MNSN HOLDINGS INC,84,USD,31.25,20000,,Miscellaneous,Miscellaneous,84,USD,35,USD,OTC,,140
CCOJY,Coca-Cola Bottlers Japan Inc.,13.85,USD,31.15530303030302,143,0.21604471974618522,Consumer non-durables,Beverages: non-alcoholic,13.91,USD,7.15,USD,OTC,,36.31889763779527
TMEEF,TIMEE INC.,9.8,USD,30.666666666666675,201,,Technology services,Packaged software,9.8,USD,7.5,USD,OTC,62.2282,30.666666666666675
RNDOF,Round One Corp.,7,USD,27.157129881925524,100,0.1859427296392711,Consumer services,Movies/Entertainment,11.55,USD,5.29,USD,OTC,58.14109999999999,-2.097902097902103
SENEM,Seneca Foods Corp.,178,USD,27.142857142857142,572,2.756626506024096,Consumer non-durables,Food: specialty/candy,178,USD,101.43,USD,OTC,87.9091,42.4
PRSI,"Portsmouth Square, Inc.",6.61,USD,26.62835249042147,200,1.146788990825688,Consumer services,Hotels/Resorts/Cruise lines,9.71,USD,2.01,USD,OTC,21.602399999999996,-31.92584963954686
PENG,"Penguin Solutions, Inc.",78.47,USD,25.1315579652368,13795203,3.569182309390229,Electronic technology,Semiconductors,80,USD,16.04,USD,NASDAQ,95.6327,294.71830985915494
HLTC,"National Healthcare Properties, Inc.",11,USD,24.99999999999999,805,0.9978926490640885,Finance,Real estate investment trusts,12.807,USD,5.35,USD,OTC,99.09890000000001,48.64864864864864
LINS,Life Insurance Co. Of Alabama,55,USD,24.971597364235407,200,3.316749585406302,Finance,Life/Health insurance,55,USD,29.02,USD,OTC,,13.37868480725624
DLMAY,"Dollarama, Inc.",13.2,USD,21.323529411764692,1314,0.777560802414344,Retail trade,Department stores,40,USD,10,USD,OTC,,-11.86485945115845
