Symbol,Security Name,Listing Exchange,Financial Status,Test Issue,Market Category,Round Lot Size
AAM.W,"AA Mission Acquisition Corp. Warrants, each whole warrant entitles the holder to purchase one Class A ordinary share at a price of $11.50 per share",N,N,N, ,100.0
ABLVW,Able View Global Inc. - Warrant,Q,N,N,S,100.0
ABPWW,"Abpro Holdings, Inc - Warrant",Q,N,N,S,100.0
ABVEW,Above Food Ingredients Inc. - Warrant,Q,E,N,G,100.0
ACHR.W,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",N,N,N, ,100.0
ACONW,"Aclarion, Inc. - Warrant",Q,N,N,S,100.0
ADSEW,ADS-TEC ENERGY PLC - Warrant,Q,N,N,S,100.0
AENTW,Alliance Entertainment Holding Corporation - Warrants,Q,N,N,S,100.0
AERTW,"Aeries Technology, Inc. - Warrant",Q,N,N,S,100.0
AEVAW,"Aeva Technologies, Inc. - Redeemable Warrants",Q,N,N,Q,100.0
AFRIW,Forafric Global PLC - Warrants,Q,N,N,S,100.0
AIIOW,Robo.ai Inc. - Warrant,Q,N,N,S,100.0
AIRJW,AirJoule Technologies Corporation - Warrant,Q,N,N,S,100.0
AISPW,"Airship AI Holdings, Inc - Warrants",Q,N,N,S,100.0
ALCYW,Alchemy Investments Acquisition Corp 1 - Warrants,Q,N,N,S,100.0
ALDFW,Aldel Financial II Inc. - Warrants,Q,N,N,G,100.0
ALFUW,Centurion Acquisition Corp. - Warrant,Q,N,N,G,100.0
ALUB.W,"Alussa Energy Acquisition Corp. II Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share",N,N,N, ,100.0
ALUR.W,"Allurion Technologies, Inc. Warrants, each whole warrant exercisable to purchase 1.420455 shares of common stock at an exercise price of $8.10 per share of common stock",N,N,N, ,100.0
ALVOW,Alvotech - Warrant,Q,N,N,G,100.0
AMODW,"Alpha Modus Holdings, Inc. - Warrant",Q,N,N,S,100.0
