Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
27,MRVU,108.29,104.81,112604,ETF,ETF,98.0,0.0,96.0,,20.9143,16.3779,359208.0,204710.0,308.77,20.8,0,NO,145.43,161.36,,159.39,,,110,0.0,112604,NO,NO,2026-06-03,1251400
36,SNDU,28.8,28.42,9402369,ETF,ETF,98.0,0.0,98.0,,8.3,6.7271,3729054.0,8341180.0,79.0,5.72,0,NO,40.79,42.81,,43.1,,,91,0.0,9402369,YES,NO,2026-07-17,16223600
76,MANE,109.85,109.49,306165,Healthcare,Biotechnology,97.0,84.0,96.0,,10.19,9.5743,710872.0,684530.0,131.24,32.0,4589388800,NO,117.83,106.77,,108.16,,,116,0.0,306165,NO,NO,2026-06-26,4047300
79,SPCG,34.99,30.96,554541,ETF,ETF,97.0,,,,2.9129,2.8014,2973221.0,1373790.0,35.12,12.12,0,NO,24.07,,,,,,24,0.45,554541,NO,NO,2026-07-01,8717600
87,SSPC,20.78,18.34,11255600,ETF,ETF,97.0,98.0,,,1.7357,1.675,30806944.0,12482230.0,20.78,6.0,0,NO,14.29,,,,,,26,0.11,11255600,YES,NO,2026-06-16,129144400
93,SNK,34.24,30.31,1407562,ETF,ETF,97.0,98.0,,,2.8514,2.7493,5355248.0,2068260.0,34.31,9.94,0,NO,23.61,,,,,,26,0.0,1407562,NO,NO,2026-06-16,23539500
100,SPCQ,26.64,23.78,1764940,ETF,ETF,97.0,98.0,,,2.2657,2.1643,3366648.0,1384190.0,26.79,7.98,0,NO,18.62,,,,,,26,0.0,1764940,NO,NO,2026-06-16,14670200
113,TRAX,38.17,37.37,580142,Healthcare,Biotechnology,97.0,98.0,98.0,,4.0507,3.9643,682232.0,1264360.0,42.9,14.72,1331842048,NO,27.2,21.15,,23.11,,,75,0.0,580142,NO,NO,2026-07-09,4512600
121,SHAZ,70.49,71.0,1287462,Technology,Information Technology Services,97.0,2.0,98.0,,9.2171,8.33,1175647.0,1998270.0,97.48,16.55,2202813184,NO,74.25,70.61,,72.5,,,107,0.0,1287462,NO,NO,2026-06-17,3956900
125,UNHU,58.98,60.57,6466,ETF,ETF,97.0,90.0,96.0,,2.6779,1.7936,5504.0,8060.0,67.11,22.15,0,NO,57.4,53.23,,54.39,,,82,0.0,6466,NO,NO,2026-07-16,57000
136,STXX,49.7,47.69,78230,ETF,ETF,96.0,0.0,,,7.895,6.1521,102903.0,89600.0,86.89,22.23,0,NO,49.32,52.32,,51.63,,,61,0.0,78230,NO,NO,2026-05-06,240300
143,STXL,40.21,38.66,210097,ETF,ETF,96.0,0.0,,,6.4718,5.1068,267540.0,188230.0,70.41,18.2,0,NO,39.84,42.46,,41.81,,,62,0.0,210097,NO,NO,2026-04-29,1211700
150,DRAM,57.77,58.85,37720643,ETF,ETF,96.0,1.0,97.0,,5.0543,3.3914,50257267.0,82273410.0,81.34,26.14,0,NO,62.82,61.99,,61.96,,,76,0.0,37720643,YES,NO,2026-07-17,136040800
197,TXNU,50.51,49.29,92276,ETF,ETF,96.0,1.0,96.0,,4.2657,3.0886,38927.0,26330.0,70.29,22.9,0,NO,51.89,55.28,,54.01,,,82,0.0,92276,NO,NO,2026-04-23,220800
224,AMA,33.21,34.49,113536,ETF,ETF,95.0,1.0,,,5.6857,4.6764,312261.0,355030.0,62.0,19.25,0,NO,40.05,33.96,,34.64,,,56,0.0,113536,NO,NO,2026-05-14,1954200
300,TXXH,38.71,40.45,14918,ETF,ETF,94.0,1.0,,,4.3936,2.6014,21323.0,8560.0,74.74,23.05,0,NO,48.08,47.8,,48.37,,,57,0.0,14918,NO,NO,2026-06-05,72200
329,RMIX,18.28,19.28,214782,Basic Materials,Building Materials,94.0,2.0,96.0,,1.3771,1.3771,387226.0,267250.0,25.5,9.2,1766080640,NO,20.34,19.34,,19.9,,,76,0.0,214782,NO,NO,2026-04-08,5786800
429,THYP,34.25,34.93,65650,ETF,ETF,92.0,6.0,,,1.905,1.295,290556.0,63840.0,44.12,22.54,0,NO,37.44,,,36.31,,,49,0.0,65650,NO,NO,2026-05-21,1422400
431,PS,35.27,35.56,59301,Financial Services,Asset Management,92.0,81.0,,,2.3154,2.2161,506868.0,132890.0,54.94,22.01,14108000256,NO,33.72,36.02,,34.64,,,58,0.0,59301,NO,NO,2026-04-29,3286100
445,LILAP,18.86,19.06,260390,Communication Services,Telecom Services,92.0,15.0,,,0.6243,0.6164,324717.0,189840.0,29.4,11.19,0,YES,19.83,,,,,,36,0.0,260390,NO,NO,2026-06-30,2000600
451,COAG,49.23,48.28,240730,Healthcare,Biotechnology,92.0,98.0,,,3.9264,3.9264,354827.0,353090.0,52.15,23.0,2299307264,NO,38.16,31.44,,33.38,,,56,0.0,240730,NO,NO,2026-05-01,4113600
537,XA,36.22,36.94,2393,ETF,ETF,90.0,93.0,,,1.12,0.7736,2909.0,2720.0,40.65,26.03,0,NO,36.91,34.11,,34.86,,,53,0.0,2393,NO,NO,2026-05-06,47800
545,XBIX,34.6,34.17,60,ETF,ETF,90.0,96.0,,,1.4564,0.7929,1930.0,910.0,41.02,25.13,0,NO,36.85,,,,,,33,1.79,1100,NO,NO,2026-06-26,30300
